dataset,task,scheme,metric,mean,sd,n,score
bc_jackson2020,response,cv,auc_roc,0.6741048640050367,0.08088786725802564,15,0.674 +/- 0.081
bc_jackson2020,clinical_type,cv,balanced_acc,0.49251352996579373,0.06029687095570567,15,0.493 +/- 0.060
bc_jackson2020,clinical_type,Basel_to_Zurich,balanced_acc,0.38661116117004785,0.009891012924494508,3,0.387 +/- 0.010
bc_metabric_ali2020,DSS,cv,c_index,0.5989449016009123,0.049000706718486955,15,0.599 +/- 0.049
bc_metabric_ali2020,ER_status,cv,auc_roc,0.8813223438674151,0.04110514619856582,15,0.881 +/- 0.041
crc_schurch2020,CLR_DII,cv,auc_roc,0.5972222222222222,0.1313553152839273,15,0.597 +/- 0.131
crc_schurch2020,OS,cv,c_index,0.6317074901541814,0.08641081814804503,15,0.632 +/- 0.086
hnc_wu2022,primary_outcome,cv,auc_roc,0.668917029237576,0.10941946841088437,15,0.669 +/- 0.109
hnc_wu2022,hpv_status,cv,auc_roc,0.7571745872178365,0.07356959739113557,15,0.757 +/- 0.074
hnc_wu2022,OS,cv,c_index,0.6160392013872469,0.07467176145977296,15,0.616 +/- 0.075
hnc_wu2022,primary_outcome,UPMC_to_DFCI,auc_roc,0.655959595959596,0.020865860741293454,3,0.656 +/- 0.021
luad_sorin2023,OS,cv,c_index,0.5508338676443181,0.04220568863618928,15,0.551 +/- 0.042
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,auc_roc,0.392512077294686,0.01633786142327137,3,0.393 +/- 0.016
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,auc_roc,0.5120370370370371,0.025204921460770746,3,0.512 +/- 0.025
nsclc_gnn_hoebel2026,OS,cv,c_index,0.7184042869105387,0.02657720959732207,15,0.718 +/- 0.027
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,0.7782457061176011,0.03186514680746189,15,0.778 +/- 0.032
tnbc_wang2023,pCR_all,cv,auc_roc,0.5994628882352991,0.07972784395990073,15,0.599 +/- 0.080
