dataset,task,scheme,mask_mode,k_neighbors,n_neighborhoods,metric,mean,sd,score,n
bc_jackson2020,OS,cv,with_secondary_mask,20,20,c_index,0.5394136861323916,0.07978713104366411,0.539 +/- 0.080,15
bc_jackson2020,OS,cv,without_secondary_mask,20,20,c_index,0.4911564415254535,0.062042690439301315,0.491 +/- 0.062,15
bc_jackson2020,DFS,cv,with_secondary_mask,20,20,c_index,0.5389209037990356,0.06523688084646664,0.539 +/- 0.065,15
bc_jackson2020,DFS,cv,without_secondary_mask,20,20,c_index,0.5709462261140336,0.04773014920628505,0.571 +/- 0.048,15
bc_jackson2020,response,cv,with_secondary_mask,20,20,auc_roc,0.6318676640115851,0.06632982067941755,0.632 +/- 0.066,15
bc_jackson2020,response,cv,without_secondary_mask,20,20,auc_roc,0.5880775516465729,0.08250169608640187,0.588 +/- 0.083,15
bc_jackson2020,clinical_type,cv,with_secondary_mask,20,20,balanced_acc,0.36728386731071055,0.06170944720241098,0.367 +/- 0.062,15
bc_jackson2020,clinical_type,cv,without_secondary_mask,20,20,balanced_acc,0.47260969498639543,0.06503761253332921,0.473 +/- 0.065,15
bc_jackson2020,clinical_type,Basel_to_Zurich,with_secondary_mask,20,20,balanced_acc,0.27646900853988865,0.0,0.276 +/- 0.000,3
bc_jackson2020,clinical_type,Basel_to_Zurich,without_secondary_mask,20,20,balanced_acc,0.5080755989510302,0.0,0.508 +/- 0.000,3
bc_metabric_ali2020,DSS,cv,with_secondary_mask,20,20,c_index,0.5480616811413598,0.0385045443710533,0.548 +/- 0.039,15
bc_metabric_ali2020,DSS,cv,without_secondary_mask,20,20,c_index,0.6231642651900106,0.06495450719135244,0.623 +/- 0.065,15
bc_metabric_ali2020,OS,cv,with_secondary_mask,20,20,c_index,0.5587326347070101,0.05399296859198051,0.559 +/- 0.054,15
bc_metabric_ali2020,OS,cv,without_secondary_mask,20,20,c_index,0.6056263065090995,0.03383267297247519,0.606 +/- 0.034,15
bc_metabric_ali2020,ER_status,cv,with_secondary_mask,20,20,auc_roc,0.8825627617856678,0.057278941522359544,0.883 +/- 0.057,15
bc_metabric_ali2020,ER_status,cv,without_secondary_mask,20,20,auc_roc,0.9043365441853174,0.02803369395537819,0.904 +/- 0.028,15
crc_schurch2020,CLR_DII,cv,with_secondary_mask,20,20,auc_roc,0.628125,0.12798397678417428,0.628 +/- 0.128,15
crc_schurch2020,CLR_DII,cv,without_secondary_mask,20,20,auc_roc,0.6114583333333333,0.08300250552012901,0.611 +/- 0.083,15
crc_schurch2020,OS,cv,with_secondary_mask,20,20,c_index,0.5510816035816036,0.0909917092982904,0.551 +/- 0.091,15
crc_schurch2020,OS,cv,without_secondary_mask,20,20,c_index,0.568594067969068,0.06456634090253545,0.569 +/- 0.065,15
crc_schurch2020,DFS,cv,with_secondary_mask,20,20,c_index,0.41156106624856625,0.13066763889631405,0.412 +/- 0.131,15
crc_schurch2020,DFS,cv,without_secondary_mask,20,20,c_index,0.44443169099419105,0.21417360403120966,0.444 +/- 0.214,15
crc_wu2022,primary_outcome,cv,with_secondary_mask,20,20,auc_roc,0.5233327169095888,0.06416238943111248,0.523 +/- 0.064,15
crc_wu2022,primary_outcome,cv,without_secondary_mask,20,20,auc_roc,0.5143361360280443,0.11393559349454642,0.514 +/- 0.114,15
crc_wu2022,DFS,cv,with_secondary_mask,20,20,c_index,0.4912082263528404,0.07671925982266821,0.491 +/- 0.077,15
crc_wu2022,DFS,cv,without_secondary_mask,20,20,c_index,0.5242904905104195,0.09519564447266991,0.524 +/- 0.095,15
hnc_wu2022,primary_outcome,cv,with_secondary_mask,20,20,auc_roc,0.6579473356112728,0.06653540038095931,0.658 +/- 0.067,15
hnc_wu2022,primary_outcome,cv,without_secondary_mask,20,20,auc_roc,0.7127798811668321,0.07508245246512703,0.713 +/- 0.075,15
hnc_wu2022,hpv_status,cv,with_secondary_mask,20,20,auc_roc,0.7612505093604158,0.07877959260160552,0.761 +/- 0.079,15
hnc_wu2022,hpv_status,cv,without_secondary_mask,20,20,auc_roc,0.7912361323197407,0.12368539154330949,0.791 +/- 0.124,15
hnc_wu2022,OS,cv,with_secondary_mask,20,20,c_index,0.6220147207713426,0.06610007034826441,0.622 +/- 0.066,15
hnc_wu2022,OS,cv,without_secondary_mask,20,20,c_index,0.666391247821602,0.09706259175092767,0.666 +/- 0.097,15
hnc_wu2022,primary_outcome,UPMC_to_DFCI,with_secondary_mask,20,20,auc_roc,0.692121212121212,1.3597399555105182e-16,0.692 +/- 0.000,3
hnc_wu2022,primary_outcome,UPMC_to_DFCI,without_secondary_mask,20,20,auc_roc,0.8496969696969697,0.0,0.850 +/- 0.000,3
hnc_wu2022,OS,UPMC_to_DFCI,with_secondary_mask,20,20,c_index,0.46050670640834573,0.0,0.461 +/- 0.000,3
hnc_wu2022,OS,UPMC_to_DFCI,without_secondary_mask,20,20,c_index,0.46646795827123694,0.0,0.466 +/- 0.000,3
luad_sorin2023,progression,cv,with_secondary_mask,20,20,auc_roc,0.4710658622423329,0.08395415907975802,0.471 +/- 0.084,15
luad_sorin2023,progression,cv,without_secondary_mask,20,20,auc_roc,0.5047637003519356,0.06045801773110833,0.505 +/- 0.060,15
luad_sorin2023,OS,cv,with_secondary_mask,20,20,c_index,0.5712193534384267,0.04246775055641409,0.571 +/- 0.042,15
luad_sorin2023,OS,cv,without_secondary_mask,20,20,c_index,0.5527633600315051,0.04126907268601604,0.553 +/- 0.041,15
luad_sorin2023,progression,Discovery_to_Validation,with_secondary_mask,20,20,auc_roc,0.5625925925925925,0.0,0.563 +/- 0.000,3
luad_sorin2023,progression,Discovery_to_Validation,without_secondary_mask,20,20,auc_roc,0.48740740740740734,6.798699777552591e-17,0.487 +/- 0.000,3
nsclc_aung2025,immunotherapy_response,cv,with_secondary_mask,20,20,auc_roc,0.7933333333333333,0.2789435853528878,0.793 +/- 0.279,15
nsclc_aung2025,immunotherapy_response,cv,without_secondary_mask,20,20,auc_roc,0.39999999999999997,0.31622776601683794,0.400 +/- 0.316,15
nsclc_aung2025,PFS,cv,with_secondary_mask,20,20,c_index,0.7319701213818862,0.13495767602702832,0.732 +/- 0.135,15
nsclc_aung2025,PFS,cv,without_secondary_mask,20,20,c_index,0.6033146591970122,0.11955448176518534,0.603 +/- 0.120,15
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,with_secondary_mask,20,20,auc_roc,0.5869565217391305,0.0,0.587 +/- 0.000,3
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,without_secondary_mask,20,20,auc_roc,0.5036231884057971,0.0,0.504 +/- 0.000,3
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,with_secondary_mask,20,20,auc_roc,0.4666666666666666,0.0,0.467 +/- 0.000,3
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,without_secondary_mask,20,20,auc_roc,0.5611111111111111,0.0,0.561 +/- 0.000,3
nsclc_gnn_hoebel2026,OS,cv,with_secondary_mask,20,20,c_index,0.7077850595452682,0.024375806177008193,0.708 +/- 0.024,15
nsclc_gnn_hoebel2026,OS,cv,without_secondary_mask,20,20,c_index,0.6354616338824772,0.05786816597154166,0.635 +/- 0.058,15
nsclc_gnn_hoebel2026,stage_binary,cv,with_secondary_mask,20,20,auc_roc,0.7380625252346583,0.035619136223191454,0.738 +/- 0.036,15
nsclc_gnn_hoebel2026,stage_binary,cv,without_secondary_mask,20,20,auc_roc,0.7370986963180288,0.03710390911753644,0.737 +/- 0.037,15
nsclc_ici_monkman2024,immunotherapy_response,cv,with_secondary_mask,20,20,auc_roc,0.6677777777777778,0.21862364075345625,0.668 +/- 0.219,15
nsclc_ici_monkman2024,immunotherapy_response,cv,without_secondary_mask,20,20,auc_roc,0.5111111111111112,0.11913488864779155,0.511 +/- 0.119,15
nsclc_ici_monkman2024,OS,cv,with_secondary_mask,20,20,c_index,0.5029365079365079,0.2463824424875592,0.503 +/- 0.246,15
nsclc_ici_monkman2024,OS,cv,without_secondary_mask,20,20,c_index,0.48275372775372766,0.22956426982287495,0.483 +/- 0.230,15
tnbc_wang2023,pCR_arm_C,cv,with_secondary_mask,20,20,auc_roc,0.43459912222624814,0.09763421905888915,0.435 +/- 0.098,15
tnbc_wang2023,pCR_arm_C,cv,without_secondary_mask,20,20,auc_roc,0.4618462425112254,0.08054033793937455,0.462 +/- 0.081,15
tnbc_wang2023,pCR_arm_CI,cv,with_secondary_mask,20,20,auc_roc,0.6099020849562623,0.081165213577952,0.610 +/- 0.081,15
tnbc_wang2023,pCR_arm_CI,cv,without_secondary_mask,20,20,auc_roc,0.6477221502376211,0.08875130134579447,0.648 +/- 0.089,15
tnbc_wang2023,pCR_all,cv,with_secondary_mask,20,20,auc_roc,0.5726178089076563,0.0588573988707342,0.573 +/- 0.059,15
tnbc_wang2023,pCR_all,cv,without_secondary_mask,20,20,auc_roc,0.5808406227290343,0.07459515212024806,0.581 +/- 0.075,15
