dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,tcn_fraction__1,0.022912842883772384,0.04784470180186425,0.4666666666666667,15,0.3333333333333333,0.05663571859647259,0.14033010493052508,-0.18911274543716788,0.4030838642560495,3000,0.661,positive,crosses zero
BC-Jackson2020,response,1,tcn_fraction__2,-0.050640423766103636,0.06796949698882716,0.8,15,1.0,-0.03216374492532382,0.13213995621761404,-0.33090913370184655,0.24462477907157437,3000,0.6653333333333333,negative,crosses zero
BC-Jackson2020,response,1,tcn_fraction__3,-0.22113542447627482,0.0764022037256708,1.0,15,1.0,-0.20806203438236612,0.16171946710073712,-0.5391741905870916,0.037084085215604114,3000,0.914,negative,crosses zero
BC-Jackson2020,response,1,tcn_fraction__4,0.02768481944355385,0.040109935535959484,0.5333333333333333,15,0.6666666666666666,0.054999234064249135,0.13748838847202977,-0.2187678837264871,0.36508424992546895,3000,0.7186666666666667,positive,crosses zero
BC-Jackson2020,response,1,tcn_fraction__5,0.016824776506592313,0.03018759266765623,0.4666666666666667,15,0.3333333333333333,0.03812478451726525,0.13016414358101644,-0.23932262992065542,0.3204360260421127,3000,0.719,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,0.08728299510017695,0.09091259003530822,0.6,15,0.6666666666666666,0.10832931778523806,0.16738414428584633,-0.16391307283861128,0.4841638493346426,3000,0.735,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,0.02105030424806851,0.04871973212472186,0.2,15,0.0,0.01986902505384665,0.16568237795721658,-0.36841205638970603,0.36211170567402134,3000,0.6943333333333334,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,-0.07936171299475224,0.06653109641342722,0.9333333333333333,15,1.0,-0.07763812004774047,0.13820682753423352,-0.4235932517289131,0.10993544698838871,3000,0.7193333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,0.03335464583438368,0.04471821906217418,0.6,15,1.0,0.05846726063880976,0.13683938248131672,-0.1958684385403351,0.3862674281702631,3000,0.6836666666666666,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,-0.1553951661583936,0.10814815577553732,1.0,15,1.0,-0.17538092125781046,0.2298844781158422,-0.7576938461495968,0.0892861887326709,3000,0.7996666666666666,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,-0.00870460345087415,0.01906937843479923,0.26666666666666666,15,0.0,-0.006724265633637111,0.06735437234583846,-0.1728598547170011,0.14065581203686323,3000,0.5126666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,0.00046835218700908666,0.003490727955081737,0.2,15,0.0,-0.007058571661823014,0.0839672857617084,-0.2088996478859609,0.18552561241467116,3000,0.6233333333333333,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,-0.021484944536124907,0.03320200509692449,0.8,15,1.0,-0.05443955997103692,0.10174728918124115,-0.30620365688877427,0.09808843980944164,3000,0.7313333333333333,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,0.028701971565841256,0.045662564834222465,0.7333333333333333,15,1.0,0.03803221484143062,0.09784567481131627,-0.1186956550882393,0.2934319649090381,3000,0.6436666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__5,0.08008271685228031,0.07659060333041888,0.9333333333333333,15,1.0,0.08741166569383059,0.12364295306306396,-0.06014910211502436,0.39492948225521496,3000,0.7516666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__1,-0.20940095323344401,0.08087488302141278,1.0,15,1.0,-0.23268439683429393,0.22100615090866677,-0.7565368555844065,0.0,3000,0.8343333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__2,0.08499178169537717,0.11274666648027,0.6666666666666666,15,0.6666666666666666,0.09337692070959651,0.19114160163577,-0.24248907002734335,0.557493284427103,3000,0.704,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__3,0.21582136428012974,0.07225090373697288,1.0,15,1.0,0.20619908424754416,0.2226011514762779,-0.11292990869206271,0.687849660036831,3000,0.844,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__4,-4.705926299848895e-05,0.021810326277157035,0.3333333333333333,15,0.0,0.016687562660977526,0.1652424396769853,-0.3147570831179272,0.3667175680298752,3000,0.6303333333333333,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__5,-0.06995801739351032,0.11190940110147263,0.7333333333333333,15,1.0,-0.10733836379573157,0.26931350506086477,-0.8272880137701122,0.27879847307047106,3000,0.733,negative,crosses zero
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__1,0.01717567832285092,0.035064200119378844,0.3333333333333333,15,0.0,0.05252296613872628,0.10712635325832566,-0.10082073010453192,0.3298927005638085,3000,0.591,positive,crosses zero
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__2,-0.09301146132574122,0.07607518355240052,0.8,15,1.0,-0.0797973842540065,0.1312345660497547,-0.40897312334001307,0.11460296884462204,3000,0.7073333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__3,0.04763322211275754,0.06079887805236514,0.7333333333333333,15,1.0,0.04142589166725289,0.1547953397162517,-0.29112269710513405,0.37996047823422696,3000,0.736,positive,crosses zero
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__4,-0.19039490348858254,0.09773559244888001,0.9333333333333333,15,1.0,-0.18981809416380224,0.22772520872540877,-0.7404932174126218,0.09067210141599788,3000,0.8066666666666666,negative,crosses zero
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__5,0.05026569687519023,0.0472024407547041,0.6666666666666666,15,1.0,0.06810558032648326,0.14251249750875555,-0.2208677704603904,0.3933964499339741,3000,0.7493333333333333,positive,crosses zero
BC-METABRIC-Ali2020,ER_status,1,tcn_fraction__1,0.019619056279066502,0.029992920301045473,0.3333333333333333,15,0.3333333333333333,0.0499291223639466,0.10857923224149978,-0.13649266793081904,0.32949292448381756,3000,0.571,positive,crosses zero
BC-METABRIC-Ali2020,ER_status,1,tcn_fraction__2,-0.11514965795412115,0.044740395914248436,1.0,15,1.0,-0.09681849561318512,0.11837500088055102,-0.3607359006108557,0.09362581272044053,3000,0.7726666666666666,negative,crosses zero
BC-METABRIC-Ali2020,ER_status,1,tcn_fraction__3,0.02195168147793384,0.04056049584912557,0.4666666666666667,15,0.3333333333333333,0.042688196241409467,0.10193658443187008,-0.14681732600413167,0.2848659676679748,3000,0.626,positive,crosses zero
BC-METABRIC-Ali2020,ER_status,1,tcn_fraction__4,0.1764769007096,0.06105260352909363,1.0,15,1.0,0.20076518250408595,0.1454389089539592,0.0,0.5155720361478586,3000,0.928,positive,crosses zero
BC-METABRIC-Ali2020,ER_status,1,tcn_fraction__5,-0.27825714931248113,0.04902694309287623,1.0,15,1.0,-0.26111544253744984,0.13373513018699928,-0.524079390655248,0.0,3000,0.973,negative,crosses zero
CRC-Schurch2020,CLR_DII,1,tcn_fraction__1,0.06760555380832368,0.07276857968778822,0.6666666666666666,15,1.0,0.06107574209344195,0.1950539552506487,-0.331068432662464,0.4973445177568248,3000,0.6573333333333333,positive,crosses zero
CRC-Schurch2020,CLR_DII,1,tcn_fraction__2,0.005910382242347235,0.04399070408145309,0.7333333333333333,15,0.6666666666666666,-0.0016058205993116621,0.16098021432351978,-0.34864972782850856,0.3551778197000956,3000,0.6693333333333333,positive,crosses zero
CRC-Schurch2020,CLR_DII,1,tcn_fraction__3,-0.010810472612980331,0.062117063787655205,0.5333333333333333,15,0.3333333333333333,-0.024712301829914494,0.1751388395292881,-0.4270774003493997,0.3225320714668619,3000,0.699,negative,crosses zero
CRC-Schurch2020,CLR_DII,1,tcn_fraction__4,-0.07755906923834191,0.09319465547967364,0.5333333333333333,15,0.6666666666666666,-0.10004173849841637,0.2068168776825481,-0.6030045651756866,0.23895129437087118,3000,0.7233333333333334,negative,crosses zero
CRC-Schurch2020,CLR_DII,1,tcn_fraction__5,-0.023377839617434743,0.07234054175207809,0.5333333333333333,15,0.6666666666666666,-0.044232508812083106,0.2094157833584368,-0.5452908327936811,0.36151904003413404,3000,0.759,negative,crosses zero
CRC-Wu2022,primary_outcome,1,tcn_fraction__1,0.010123890799688546,0.042817167847084156,0.2,15,0.0,0.0025142616231982923,0.15631201358648025,-0.3344238012680589,0.37817399007508773,3000,0.6076666666666667,positive,crosses zero
CRC-Wu2022,primary_outcome,1,tcn_fraction__2,-0.0711523819762351,0.10240286439213897,0.8666666666666667,15,1.0,-0.1012289358999931,0.18921735517359797,-0.584198529497712,0.20592045825194977,3000,0.724,negative,crosses zero
CRC-Wu2022,primary_outcome,1,tcn_fraction__3,0.11431157489794115,0.09007991488350302,0.8,15,1.0,0.1250341622794741,0.18989850631627922,-0.19641527909587206,0.5769917594593182,3000,0.7546666666666667,positive,crosses zero
CRC-Wu2022,primary_outcome,1,tcn_fraction__4,-0.182714592880948,0.060282080407893436,1.0,15,1.0,-0.18287990231049742,0.19274697678291025,-0.5946750207822581,0.12509553999122794,3000,0.8506666666666667,negative,crosses zero
CRC-Wu2022,primary_outcome,1,tcn_fraction__5,0.05058575331148337,0.05448034872409511,0.7333333333333333,15,1.0,0.06183030946989364,0.16671909273531524,-0.25672640753781506,0.447357627752868,3000,0.72,positive,crosses zero
HNC-Wu2022,primary_outcome,1,tcn_fraction__1,0.0591337004343384,0.05058545436579057,0.7333333333333333,15,1.0,0.0620428144988162,0.12044843058937309,-0.15692349400779373,0.3526910425478527,3000,0.6723333333333333,positive,crosses zero
HNC-Wu2022,primary_outcome,1,tcn_fraction__2,-0.053924881495272636,0.0625134300991949,0.6666666666666666,15,0.6666666666666666,-0.06259404991256401,0.12086023603337977,-0.3688011117673811,0.13767579838615376,3000,0.654,negative,crosses zero
HNC-Wu2022,primary_outcome,1,tcn_fraction__3,-0.1562377394843872,0.05349866205921373,1.0,15,1.0,-0.16996944792547497,0.16555207197493035,-0.5276094812751504,0.08296540206150621,3000,0.868,negative,crosses zero
HNC-Wu2022,primary_outcome,1,tcn_fraction__4,0.1572202791217646,0.0592814088244437,1.0,15,1.0,0.16249206253066073,0.14745214937917467,-0.04437101600973507,0.4779256565026561,3000,0.865,positive,crosses zero
HNC-Wu2022,primary_outcome,1,tcn_fraction__5,-0.0022591632236437717,0.029391098044221204,0.4,15,0.3333333333333333,-0.008357081721430841,0.1387218817181663,-0.33745540411634845,0.27380596329610996,3000,0.7,negative,crosses zero
HNC-Wu2022,hpv_status,1,tcn_fraction__1,-0.03411920152157409,0.04907164576654201,0.5333333333333333,15,0.6666666666666666,-0.03739505014449878,0.10939459135216029,-0.30635759779714855,0.17161362516308437,3000,0.614,negative,crosses zero
HNC-Wu2022,hpv_status,1,tcn_fraction__2,-0.18737589492810056,0.07843790885258087,1.0,15,1.0,-0.2032978138905477,0.16186944144932625,-0.5756428605250058,0.0,3000,0.8953333333333333,negative,crosses zero
HNC-Wu2022,hpv_status,1,tcn_fraction__3,0.06679777007442964,0.0800770494368137,0.7333333333333333,15,1.0,0.08696926704958302,0.15815086128980332,-0.19179354409268892,0.44992881718041866,3000,0.7336666666666667,positive,crosses zero
HNC-Wu2022,hpv_status,1,tcn_fraction__4,0.1686678565799775,0.07193613210650705,1.0,15,1.0,0.17339242392374504,0.15218689073088756,-0.05040740854327862,0.4995553614754281,3000,0.8783333333333333,positive,crosses zero
HNC-Wu2022,hpv_status,1,tcn_fraction__5,-0.006683719559532789,0.05620824347833728,0.4,15,0.3333333333333333,-0.006077347085217876,0.12450999659880035,-0.2897568916578516,0.2521603309215993,3000,0.656,negative,crosses zero
LUAD-Sorin2023,progression,1,tcn_fraction__1,-0.06686748264557411,0.10416231077873117,0.8,15,1.0,-0.044030761683491654,0.14417319609155452,-0.39937677051055787,0.21033189781817233,3000,0.6543333333333333,negative,crosses zero
LUAD-Sorin2023,progression,1,tcn_fraction__2,-0.2825095033589779,0.11695610728791239,1.0,15,1.0,-0.2695746629075221,0.22727808752115491,-0.7837726428187087,0.05348855570709362,3000,0.913,negative,crosses zero
LUAD-Sorin2023,progression,1,tcn_fraction__3,0.056896125787587806,0.06990970025858541,0.8,15,1.0,0.09367194602433719,0.14992005384989285,-0.179553926250253,0.43185598206566916,3000,0.7966666666666666,positive,crosses zero
LUAD-Sorin2023,progression,1,tcn_fraction__4,0.012013164013735098,0.04313633315179693,0.4666666666666667,15,0.6666666666666666,0.03339112776555428,0.14930459140742378,-0.2842509377181959,0.34283477270816903,3000,0.7676666666666667,positive,crosses zero
LUAD-Sorin2023,progression,1,tcn_fraction__5,0.03381298554299469,0.038812937143025104,0.7333333333333333,15,1.0,0.047066242484776914,0.14965499402530197,-0.29767371757136957,0.34919745222455256,3000,0.7646666666666667,positive,crosses zero
NSCLC-Aung2025,immunotherapy_response,1,tcn_fraction__1,-0.07596381059610333,0.14785200677787483,0.6,15,0.6666666666666666,-0.15408462378194276,0.5352359294672532,-1.3026203074420633,0.9801382273153932,2992,0.6473930481283422,negative,crosses zero
NSCLC-Aung2025,immunotherapy_response,1,tcn_fraction__2,-0.1747391953832777,0.1836432965486621,0.6666666666666666,15,1.0,-0.29380274632001424,0.6230509881465457,-1.8501748604904782,0.8388564352396248,2992,0.7118983957219251,negative,crosses zero
