dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__1,0.051402121163567946,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__2,-0.028858878610688646,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__3,-0.17888812174017546,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__5,0.018242065578790847,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__1,0.02929641392485411,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__2,-0.0740026000742349,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__3,-0.21502339665415543,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__1,-0.011129486528618629,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__3,-0.2942336300123677,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__4,0.09522776933403225,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__2,-0.2347369696116504,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__3,-0.3882331382579508,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__4,0.0203418933110215,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__5,0.005973631909506872,True
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__3,-0.07281409396696371,True
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__2,-0.0816262826580631,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__3,-0.12712582680733103,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__4,0.0072302402741350885,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__1,-0.01095353173325152,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__2,0.07449160569446318,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__3,-0.3019560541513532,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__5,0.033313877035331396,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__1,0.1701610362115191,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__2,-0.07298907069260921,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__3,-0.20749417246003293,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__5,0.08028756110058502,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__2,-0.044494788089261494,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__3,-0.2531395073558355,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__4,0.06326455577562998,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__2,-0.05555608755424158,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__3,-0.18416895794342,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__4,0.09256603185243165,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__1,0.039841901867168655,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__2,-0.024974839497082936,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__3,-0.2335955823966394,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__5,0.03780070777085836,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__2,-0.029000956140185528,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__3,-0.20153964566165414,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__4,0.10506981525359617,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__5,0.08688121242158502,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__2,-0.09088543438802466,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__3,-0.21579175115240207,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__4,0.0020618741434117235,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__1,0.07507418835134608,True
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__3,-0.16619187891240433,True
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__5,-0.010127408217772828,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__2,-0.0969720548699752,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__3,-0.27683560967143656,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__4,0.02951011170904939,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__1,0.023576976747648182,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__3,-0.11707293404231137,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__5,-0.351313669661676,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__3,-0.009037129781022666,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__4,0.08445891268718486,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__5,0.044925264795404374,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__1,-0.17201310986638058,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__2,0.1385130257557297,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__3,0.2590490084410676,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__2,-0.03932723688173577,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__3,0.037335345768376896,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__4,-0.12038673835233163,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__1,0.24636882289252937,True
