dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,tcn_fraction__1,0,0.013913809711960684,0.025769909273501295,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__1,1,0.03184150089565351,0.07746830352726485,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__1,2,0.022983218043702947,0.033846600061101115,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__2,0,-0.06751968965931479,0.09825492625871692,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__2,1,-0.036034924659942444,0.06346837762872212,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__2,2,-0.048366656979053665,0.0431041533320985,0.8,5,True
BC-Jackson2020,response,1,tcn_fraction__3,0,-0.22983847612632263,0.11906687891702827,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__3,1,-0.21477690374359454,0.06660422177097766,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__3,2,-0.2187908935589073,0.04080938810842486,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__4,0,0.02311393252901075,0.041263940950405864,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__4,1,0.03261216558043935,0.04273576934368021,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__4,2,0.027328360221211455,0.04522324549827005,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__5,0,0.0048431394976595436,0.007924285989952578,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__5,1,0.022720287627183283,0.03526630658750525,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__5,2,0.02291090239493411,0.04017230306529872,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,0,0.10772245440857534,0.10603129425771847,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,1,0.07765021392142504,0.07282951230615899,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,2,0.0764763169705305,0.10768885987746954,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,0,0.02970178252934762,0.06641520478853692,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,1,0.025484531743393907,0.05698514535298,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,2,0.007964598471463991,0.017809383595684403,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,0,-0.05486971222652269,0.03625628991298398,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,1,-0.08739138919532821,0.07767371037301195,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,2,-0.09582403756240584,0.08351917449861412,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,0,0.061275393421442816,0.06684271204916029,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,1,0.020319367125737675,0.027262319646439624,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,2,0.018469176955970563,0.018000136222520568,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,0,-0.1354319537981695,0.13183283002344576,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,1,-0.16245148339850948,0.09533126955777271,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,2,-0.16830206127850184,0.1170448623875461,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,0,-0.005061976139401538,0.011318922748183791,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,1,-0.018036029513672513,0.030549426014968788,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,2,-0.003015804699548401,0.006743544315053554,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,0,0.0,0.0,0.0,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,1,0.00019413594778277667,0.0004341011761186382,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,2,0.0012109206132444833,0.006434457765463823,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,0,-0.014065464892689625,0.022109105868067278,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,1,-0.026139241830464947,0.046308049679206834,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,2,-0.02425012688522014,0.03346059215831968,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,0,0.04746699247874413,0.0646138954854028,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,1,0.010501429644595467,0.021457581738482372,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,2,0.028137492574184176,0.04251741555763206,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__5,0,0.08822774025705485,0.08638125512553134,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__5,1,0.06949570716483866,0.03037720798268204,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__5,2,0.08252470313494743,0.10916244302042456,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__1,0,-0.226322556919752,0.08909486449778921,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__1,1,-0.19272885415815483,0.09255238831097515,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__1,2,-0.20915144862242516,0.07538780894014423,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__2,0,0.06400977177044319,0.06075814249390468,0.8,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__2,1,0.11914666994286752,0.19074339067217946,0.4,5,False
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__2,2,0.07181890337282085,0.04681172422887466,0.8,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__3,0,0.21025956256195136,0.05724432955925391,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__3,1,0.23587226533913372,0.09461471379649092,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__3,2,0.20133226493930417,0.07237531101956658,1.0,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__4,0,0.0051030301664882925,0.02429370281341768,0.4,5,False
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__4,1,0.0030521757901126392,0.024502187833270267,0.4,5,False
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__4,2,-0.008296383745596398,0.018551278022577868,0.2,5,False
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__5,0,-0.0780385774677928,0.08820572885143234,0.6,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__5,1,-0.044728439553636604,0.04245032641727504,0.8,5,True
BC-Jackson2020,clinical_type,HR-HER2+,tcn_fraction__5,2,-0.08710703515910152,0.1816750493400216,0.8,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__1,0,0.011425874844462006,0.025491457141102045,0.4,5,False
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__1,1,0.01854905120041519,0.04147693940225244,0.2,5,False
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__1,2,0.021552108923675553,0.043191065549552696,0.4,5,False
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__2,0,-0.10122203922138455,0.0827976113151231,1.0,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__2,1,-0.07962146583900172,0.09555357778652962,0.6,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__2,2,-0.09819087891683739,0.0626751294190174,0.8,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__3,0,0.044148921941455414,0.05109211118186639,0.8,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__3,1,0.05485474014836304,0.08034345374518329,0.8,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__3,2,0.04389600424845417,0.061436685164754874,0.6,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__4,0,-0.18321212432581166,0.1465810788124478,0.8,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__4,1,-0.19637595235954017,0.1061666800599824,1.0,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__4,2,-0.19159663378039574,0.02375863457035282,1.0,5,True
BC-Jackson2020,clinical_type,TripleNeg,tcn_fraction__5,0,0.049595471927822085,0.060386139411702566,0.6,5,True
