dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,tcn_fraction__1,0.0229128428837723,0.0478447018018642,0.4666666666666667,15,0.3333333333333333,0.0566357185964725,0.140330104930525,-0.1891127454371678,0.4030838642560495,3000,0.661,positive,crosses zero
BC-Jackson2020,response,1,tcn_fraction__2,-0.0506404237661036,0.0679694969888271,0.8,15,1.0,-0.0321637449253238,0.132139956217614,-0.3309091337018465,0.2446247790715743,3000,0.6653333333333333,negative,crosses zero
BC-Jackson2020,response,1,tcn_fraction__3,-0.2211354244762748,0.0764022037256708,1.0,15,1.0,-0.2080620343823661,0.1617194671007371,-0.5391741905870916,0.0370840852156041,3000,0.914,negative,crosses zero
BC-Jackson2020,response,1,tcn_fraction__4,0.0276848194435538,0.0401099355359594,0.5333333333333333,15,0.6666666666666666,0.0549992340642491,0.1374883884720297,-0.2187678837264871,0.3650842499254689,3000,0.7186666666666667,positive,crosses zero
BC-Jackson2020,response,1,tcn_fraction__5,0.0168247765065923,0.0301875926676562,0.4666666666666667,15,0.3333333333333333,0.0381247845172652,0.1301641435810164,-0.2393226299206554,0.3204360260421127,3000,0.719,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,0.0872829951001769,0.0909125900353082,0.6,15,0.6666666666666666,0.108329317785238,0.1673841442858463,-0.1639130728386112,0.4841638493346426,3000,0.735,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,0.0210503042480685,0.0487197321247218,0.2,15,0.0,0.0198690250538466,0.1656823779572165,-0.368412056389706,0.3621117056740213,3000,0.6943333333333334,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,-0.0793617129947522,0.0665310964134272,0.9333333333333332,15,1.0,-0.0776381200477404,0.1382068275342335,-0.4235932517289131,0.1099354469883887,3000,0.7193333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,0.0333546458343836,0.0447182190621741,0.6,15,1.0,0.0584672606388097,0.1368393824813167,-0.1958684385403351,0.3862674281702631,3000,0.6836666666666666,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,-0.1553951661583936,0.1081481557755373,1.0,15,1.0,-0.1753809212578104,0.2298844781158422,-0.7576938461495968,0.0892861887326709,3000,0.7996666666666666,negative,crosses zero
