dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__1,0.0514021211635679,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__2,-0.0288588786106886,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__3,-0.1788881217401754,True
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,tcn_fraction__5,0.0182420655787908,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__1,0.0292964139248541,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__2,-0.0740026000742349,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__3,-0.2150233966541554,True
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__1,-0.0111294865286186,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__3,-0.2942336300123677,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__4,0.0952277693340322,True
BC-Jackson2020,response,0,2,1.0,175,44,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__2,-0.2347369696116504,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__3,-0.3882331382579508,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__4,0.0203418933110215,True
BC-Jackson2020,response,0,3,1.0,174,45,1,tcn_fraction__5,0.0059736319095068,True
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__3,-0.0728140939669637,True
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__2,-0.0816262826580631,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__3,-0.127125826807331,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__4,0.007230240274135,True
BC-Jackson2020,response,1,0,1.0,176,43,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__1,-0.0109535317332515,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__2,0.0744916056944631,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__3,-0.3019560541513532,True
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,tcn_fraction__5,0.0333138770353313,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__1,0.1701610362115191,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__2,-0.0729890706926092,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__3,-0.2074941724600329,True
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,1,2,1.0,177,42,1,tcn_fraction__5,0.080287561100585,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__2,-0.0444947880892614,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__3,-0.2531395073558355,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__4,0.0632645557756299,True
BC-Jackson2020,response,1,3,1.0,168,51,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__2,-0.0555560875542415,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__3,-0.18416895794342,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__4,0.0925660318524316,True
BC-Jackson2020,response,1,4,1.0,179,40,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__1,0.0398419018671686,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__2,-0.0249748394970829,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__3,-0.2335955823966394,True
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,2,0,1.0,172,47,1,tcn_fraction__5,0.0378007077708583,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__2,-0.0290009561401855,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__3,-0.2015396456616541,True
BC-Jackson2020,response,2,1,1.0,181,38,1,tcn_fraction__4,0.1050698152535961,True
