dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,tcn_fraction__1,0,0.0139138097119606,0.0257699092735012,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__1,1,0.0318415008956535,0.0774683035272648,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__1,2,0.0229832180437029,0.0338466000611011,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__2,0,-0.0675196896593147,0.0982549262587169,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__2,1,-0.0360349246599424,0.0634683776287221,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__2,2,-0.0483666569790536,0.0431041533320985,0.8,5,True
BC-Jackson2020,response,1,tcn_fraction__3,0,-0.2298384761263226,0.1190668789170282,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__3,1,-0.2147769037435945,0.0666042217709776,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__3,2,-0.2187908935589073,0.0408093881084248,1.0,5,True
BC-Jackson2020,response,1,tcn_fraction__4,0,0.0231139325290107,0.0412639409504058,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__4,1,0.0326121655804393,0.0427357693436802,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__4,2,0.0273283602212114,0.04522324549827,0.6,5,True
BC-Jackson2020,response,1,tcn_fraction__5,0,0.0048431394976595,0.0079242859899525,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__5,1,0.0227202876271832,0.0352663065875052,0.4,5,False
BC-Jackson2020,response,1,tcn_fraction__5,2,0.0229109023949341,0.0401723030652987,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,0,0.1077224544085753,0.1060312942577184,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,1,0.077650213921425,0.0728295123061589,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__1,2,0.0764763169705305,0.1076888598774695,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,0,0.0297017825293476,0.0664152047885369,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,1,0.0254845317433939,0.05698514535298,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__2,2,0.0079645984714639,0.0178093835956844,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,0,-0.0548697122265226,0.0362562899129839,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,1,-0.0873913891953282,0.0776737103730119,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__3,2,-0.0958240375624058,0.0835191744986141,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,0,0.0612753934214428,0.0668427120491602,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,1,0.0203193671257376,0.0272623196464396,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__4,2,0.0184691769559705,0.0180001362225205,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,0,-0.1354319537981695,0.1318328300234457,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,1,-0.1624514833985094,0.0953312695577727,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,tcn_fraction__5,2,-0.1683020612785018,0.1170448623875461,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,0,-0.0050619761394015,0.0113189227481837,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,1,-0.0180360295136725,0.0305494260149687,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__1,2,-0.0030158046995484,0.0067435443150535,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,0,0.0,0.0,0.0,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,1,0.0001941359477827,0.0004341011761186,0.2,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__2,2,0.0012109206132444,0.0064344577654638,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,0,-0.0140654648926896,0.0221091058680672,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,1,-0.0261392418304649,0.0463080496792068,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__3,2,-0.0242501268852201,0.0334605921583196,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,0,0.0474669924787441,0.0646138954854028,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,1,0.0105014296445954,0.0214575817384823,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2-,tcn_fraction__4,2,0.0281374925741841,0.042517415557632,0.6,5,True
