dataset,tcn,n_cells,top_enriched,top_abundant
bc_jackson2020,3,229113,"Tumor (CK lo HR hi p53+) (1.9%,2.3x); Tumor (Proliferative) (5.3%,1.3x); Tumor (CK7+ CK hi Ecadh hi) (4.1%,1.2x); Tumor (CK lo HR lo) (11.3%,1.2x); Macrophage (3.4%,1.1x)",Tumor (CK lo HR lo) (11.3%); T cell (9.9%); Stroma (Small elongated) (9.8%); Stroma (Vimentin hi) (7.8%); Tumor (CK+ HR lo) (5.6%)
bc_jackson2020,4,188493,"Tumor (CK7+) (5.2%,1.3x); Tumor (Apoptotic) (2.6%,1.3x); Tumor (Myoepithelial) (2.2%,1.1x); Tumor (CK7+ CK hi Ecadh hi) (3.8%,1.1x); B cell (3.5%,1.1x)",T cell (11.1%); Stroma (Small elongated) (10.0%); Tumor (CK lo HR lo) (9.3%); Stroma (Vimentin hi) (7.6%); Tumor (CK+ HR lo) (6.3%)
bc_jackson2020,5,140638,"Tumor (Proliferative) (5.8%,1.5x); Stroma (Large elongated) (0.0%,1.4x); Tumor (CK+ HR hi) (6.3%,1.3x); Macrophage (3.5%,1.1x); Stroma (Small elongated) (11.1%,1.1x)",Stroma (Small elongated) (11.1%); T cell (10.6%); Tumor (CK lo HR lo) (8.0%); Stroma (Vimentin hi) (7.3%); Tumor (CK+ HR lo) (6.9%)
bc_metabric_ali2020,2,112219,"B cells (1.0%,1.3x); Hypoxia (1.7%,1.2x); Macrophages Vim+ Slug- (1.8%,1.1x); Vascular SMA+ (0.8%,1.1x); Myoepithelial (1.1%,1.1x)",HR+ CK7- (28.0%); Myofibroblasts (12.8%); Fibroblasts (11.2%); HR- CK7- (8.8%); HR- CK7+ (7.2%)
bc_metabric_ali2020,5,52709,"HR- Ki67+ (4.9%,1.7x); B cells (0.9%,1.2x); Macrophages Vim+ Slug- (1.8%,1.1x); T cells (5.2%,1.1x); Endothelial (0.9%,1.1x)",HR+ CK7- (27.0%); Myofibroblasts (14.1%); Fibroblasts (11.9%); HR- CK7- (8.4%); HR- CK7+ (6.5%)
crc_schurch2020,2,63336,"CD11b+ monocytes (0.7%,2.1x); CD11b+CD68+ macrophages (0.7%,1.3x); smooth muscle (12.4%,1.2x); B cells (5.7%,1.1x); NK cells (0.1%,1.1x)",tumor cells (19.3%); CD68+CD163+ macrophages (14.4%); smooth muscle (12.4%); granulocytes (9.2%); stroma (7.3%)
crc_schurch2020,4,43435,"tumor cells / immune cells (1.6%,2.2x); dirt (5.5%,1.9x); CD163+ macrophages (0.0%,1.7x); adipocytes (1.0%,1.4x); CD3+ T cells (0.1%,1.3x)",tumor cells (19.5%); CD68+CD163+ macrophages (14.1%); smooth muscle (9.2%); granulocytes (8.7%); stroma (7.3%)
hnc_wu2022,2,480186,"Tumor (PanCK low) (1.0%,1.5x); Stroma (0.3%,1.3x); T cell (CD45RO+/FoxP3+/ICOS+) (0.6%,1.2x); APC/macrophage (0.1%,1.2x); CD4 T cell (ICOS+/FoxP3+) (0.5%,1.1x)",Tumor (Ki67+) (11.8%); Macrophage (10.1%); Tumor (9.4%); CD4 T cell (9.1%); CD8 T cell (7.4%)
hnc_wu2022,3,450349,"Naive B cell (0.4%,1.8x); Unclassified (0.1%,1.7x); T cell (CD45RO+/FoxP3+/ICOS+) (0.7%,1.3x); Naive lymphocyte (CD45RA+/CD38+) (0.5%,1.3x); Naive immune cell (3.6%,1.2x)",Tumor (Ki67+) (12.7%); Tumor (10.2%); Macrophage (9.6%); CD4 T cell (8.4%); Stromal / Fibroblast (7.3%)
hnc_wu2022,4,416734,"Unknown (TCF1+) (0.2%,2.1x); Dendritic cell (0.2%,2.0x); NK cell (0.1%,1.3x); Lymph vessel (0.7%,1.2x); Naive lymphocyte (CD45RA+/CD38+) (0.5%,1.2x)",Tumor (Ki67+) (12.1%); Macrophage (9.6%); Tumor (9.4%); CD4 T cell (8.5%); CD8 T cell (7.6%)
luad_sorin2023,2,495489,"Cl Mo (3.3%,1.1x); Mast cell (0.9%,1.1x); NK cell (0.2%,1.1x); Endothelial cell (7.1%,1.0x); Alt MAC (2.5%,1.0x)",Cancer (43.1%); Cl MAC (9.1%); Th (9.0%); Unknown (8.9%); Endothelial cell (7.1%)
nsclc_aung2025,5,29831,"DCs (4.4%,3.0x); B_Cells (5.4%,1.9x); M1_mac (7.5%,1.5x); Ki67 (4.4%,1.2x); Cytotoxic CD8 (0.8%,1.2x)",Tumour (31.9%); Stroma (11.8%); M2_mac (11.6%); Vessels (9.0%); M1_mac (7.5%)
nsclc_gnn_hoebel2026,2,1982283,"PD-L1+ tumor (7.0%,1.0x); PD-1+ CD8+ (0.8%,1.0x); PD-1+ (CD8-) (1.1%,1.0x); PD-L1- tumor (34.9%,1.0x); Unspecified (43.5%,1.0x)",Unspecified (43.5%); PD-L1- tumor (34.9%); PD-L1+ immune (7.7%); PD-L1+ tumor (7.0%); PD-1- CD8+ (3.5%)
tnbc_wang2023,5,135821,"Neutrophils (1.9%,1.6x); CD20^+B (2.6%,1.6x); CD4^+TCF1^+T (5.3%,1.4x); PD-L1^{+}IDO^{+} (1.4%,1.4x); CD56^{+}NE (3.8%,1.3x)",Fibroblasts (6.3%); Basal (5.9%); CD79a^+Plasma (5.5%); CD4^+TCF1^+T (5.3%); Vimentin^{+}EMT (5.2%)
