dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,composition__B cell,0.4478856036950812,0.16151821663480764,1.0,15,1.0,0.532295409893778,0.4722129373870291,-0.03257974709146627,1.666119485441792,3000,0.892,positive,crosses zero
BC-Jackson2020,response,1,composition__Endothelial,-0.02328898105322723,0.0637205432523468,0.4666666666666667,15,0.3333333333333333,0.01370146202901793,0.2895477318204711,-0.5823101247232965,0.7085737716368636,3000,0.5636666666666666,negative,crosses zero
BC-Jackson2020,response,1,composition__Macrophage,0.08022486780411178,0.08373360174873529,0.6,15,1.0,0.06523369573603746,0.29713923313879925,-0.6081028159809642,0.7477376690718908,3000,0.589,positive,crosses zero
BC-Jackson2020,response,1,composition__Stroma (Fibronectin hi),-0.5743685864507634,0.14602117639690793,1.0,15,1.0,-0.5722348120956068,0.4431307582311488,-1.5392816875876583,0.0,3000,0.9026666666666666,negative,crosses zero
BC-Jackson2020,response,1,composition__Stroma (Large elongated),-0.3530422343663746,0.1287982328952431,0.9333333333333333,15,1.0,-0.4487231729405659,0.3254226510192762,-1.205526657215045,0.0024206353285811683,3000,0.9476666666666667,negative,crosses zero
BC-Jackson2020,response,1,composition__Stroma (SMA hi Vimentin hi),0.07514325057247069,0.06710480612974705,0.7333333333333333,15,1.0,0.199740101975165,0.32802093256640547,-0.3037004207075591,1.0204294550989728,3000,0.7123333333333334,positive,crosses zero
BC-Jackson2020,response,1,composition__Stroma (Small circular),0.18235532777085225,0.15494658931976632,0.9333333333333333,15,1.0,0.251287949841177,0.41124847795322916,-0.32134784774207314,1.2961432272465943,3000,0.6236666666666667,positive,crosses zero
BC-Jackson2020,response,1,composition__Stroma (Small elongated),0.02304386815855003,0.07159824722175841,0.4666666666666667,15,0.3333333333333333,0.05581590542383452,0.33660220266075175,-0.6445007643615149,0.8364896409864796,3000,0.6493333333333333,positive,crosses zero
BC-Jackson2020,response,1,composition__Stroma (Vimentin hi),0.1980881460670351,0.20209298850478905,0.8,15,1.0,0.2879784551755781,0.3888139516755251,-0.13638726101374038,1.2682697674960175,3000,0.654,positive,crosses zero
BC-Jackson2020,response,1,composition__T & B cells,-0.30611060338917806,0.27840210835580653,0.8666666666666667,15,1.0,-0.28398668505381147,0.47889103782875564,-1.5548268809840426,0.30489219164264403,3000,0.656,negative,crosses zero
