dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__B cell,0.574009866803971,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Endothelial,-0.012612671849396118,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Macrophage,0.23214967285412602,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (Fibronectin hi),-0.6031078247809868,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (Large elongated),-0.3135584491919679,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (SMA hi Vimentin hi),0.1652957618524924,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (Small circular),0.32512232082465375,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (Small elongated),0.07973243308531028,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Stroma (Vimentin hi),0.17295631080835686,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__T & B cells,-0.19161647315266225,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__T cell,0.10401794091028731,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (Apoptotic),0.6032759464337311,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK lo HR hi p53+),-0.5396915772024637,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK lo HR lo),-0.0008839774927217574,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK+ HR hi),-0.38890996855799276,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK+ HR lo),-0.2179081596117544,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK7+ CK hi Ecadh hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (CK7+),0.15710477528762268,True
BC-Jackson2020,response,0,0,1.0,179,40,1,composition__Tumor (Epithelial low),-0.2644810829606889,True
