dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,composition__B cell,0,0.4293160584896814,0.16727381603482297,1.0,5,True
BC-Jackson2020,response,1,composition__B cell,1,0.4774969446142368,0.1577097038035216,1.0,5,True
BC-Jackson2020,response,1,composition__B cell,2,0.4368438079813254,0.19177099336585354,1.0,5,True
BC-Jackson2020,response,1,composition__Endothelial,0,-0.012963203323934608,0.0727088919689637,0.6,5,True
BC-Jackson2020,response,1,composition__Endothelial,1,-0.004611112172472881,0.006663617988900948,0.4,5,False
BC-Jackson2020,response,1,composition__Endothelial,2,-0.052292627663274194,0.08520105604891813,0.4,5,False
BC-Jackson2020,response,1,composition__Macrophage,0,0.08064871729432163,0.10263915180640217,0.6,5,True
BC-Jackson2020,response,1,composition__Macrophage,1,0.09793693135741238,0.09304940187154807,0.6,5,True
BC-Jackson2020,response,1,composition__Macrophage,2,0.062088954760601334,0.06740259128645894,0.6,5,True
BC-Jackson2020,response,1,composition__Stroma (Fibronectin hi),0,-0.5768761573526366,0.19597258508811788,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Fibronectin hi),1,-0.539284522739435,0.116455734640799,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Fibronectin hi),2,-0.6069450792602187,0.14066784443402516,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Large elongated),0,-0.35098542016637313,0.11600913281864283,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Large elongated),1,-0.3604173849379816,0.07975380379550921,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Large elongated),2,-0.347723897994769,0.19527934768334682,0.8,5,True
BC-Jackson2020,response,1,composition__Stroma (SMA hi Vimentin hi),0,0.07310081443033992,0.07507814233445641,0.6,5,True
BC-Jackson2020,response,1,composition__Stroma (SMA hi Vimentin hi),1,0.1136062544930019,0.07412596730065085,0.8,5,True
BC-Jackson2020,response,1,composition__Stroma (SMA hi Vimentin hi),2,0.03872268279407022,0.033418050043801856,0.8,5,True
BC-Jackson2020,response,1,composition__Stroma (Small circular),0,0.16651743210068753,0.14697460799518053,0.8,5,True
BC-Jackson2020,response,1,composition__Stroma (Small circular),1,0.21521780126657203,0.15695004291618359,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Small circular),2,0.16533074994529726,0.18912677319090068,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Small elongated),0,0.03380107061892752,0.04640677013585036,0.4,5,False
BC-Jackson2020,response,1,composition__Stroma (Small elongated),1,0.015101544995237363,0.11672659872977184,0.6,5,True
BC-Jackson2020,response,1,composition__Stroma (Small elongated),2,0.0202289888614852,0.04393168040843573,0.4,5,False
BC-Jackson2020,response,1,composition__Stroma (Vimentin hi),0,0.18880182227621659,0.21897811137602674,0.8,5,True
BC-Jackson2020,response,1,composition__Stroma (Vimentin hi),1,0.24381951578797692,0.23887614202480772,1.0,5,True
BC-Jackson2020,response,1,composition__Stroma (Vimentin hi),2,0.1616431001369118,0.18316658352612628,0.6,5,True
BC-Jackson2020,response,1,composition__T & B cells,0,-0.3169197048930913,0.3524017524374796,0.8,5,True
BC-Jackson2020,response,1,composition__T & B cells,1,-0.31940629008145616,0.28358395859570956,0.8,5,True
BC-Jackson2020,response,1,composition__T & B cells,2,-0.28200581519298684,0.2560798627735665,1.0,5,True
BC-Jackson2020,response,1,composition__T cell,0,0.02795408534943039,0.045251568580865334,0.4,5,False
BC-Jackson2020,response,1,composition__T cell,1,0.16577682089764595,0.19563762501778248,0.6,5,True
BC-Jackson2020,response,1,composition__T cell,2,0.08664305434490956,0.09882118310337776,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (Apoptotic),0,0.5601100653681138,0.06276996849942164,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Apoptotic),1,0.5445489311074365,0.15217564938585829,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Apoptotic),2,0.637506388497538,0.31984209126268975,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Basal CK),0,-0.02893810968226952,0.107089427963022,0.4,5,False
BC-Jackson2020,response,1,composition__Tumor (Basal CK),1,-0.001212950199440547,0.015106273485749378,0.4,5,False
BC-Jackson2020,response,1,composition__Tumor (Basal CK),2,-0.02464821693273713,0.050922598961773785,0.4,5,False
BC-Jackson2020,response,1,composition__Tumor (CK lo HR hi p53+),0,-0.3578502370986313,0.11373503428410268,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (CK lo HR hi p53+),1,-0.33945447536543166,0.0761606351152402,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (CK lo HR hi p53+),2,-0.3936800145583564,0.17813591819774272,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (CK lo HR lo),0,-0.12124413900548488,0.173299739546904,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK lo HR lo),1,-0.13106722437764567,0.10542683532174099,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK lo HR lo),2,-0.1803075049297524,0.11556764843670553,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR hi),0,-0.10857255277626159,0.17030298789941337,0.4,5,False
BC-Jackson2020,response,1,composition__Tumor (CK+ HR hi),1,-0.08774033018642287,0.0968170205115287,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR hi),2,-0.14630936691578636,0.13738097442682898,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR lo),0,-0.11249973604256436,0.13654119570801598,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR lo),1,-0.11085877222044585,0.09704447063980502,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR lo),2,-0.16552923734045993,0.20538373611673702,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR+),0,-0.04376091754282624,0.16828986195740417,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK+ HR+),1,-0.03154740077955194,0.04456886418752804,0.4,5,False
BC-Jackson2020,response,1,composition__Tumor (CK+ HR+),2,-0.09089817124721289,0.20325448993918485,0.2,5,False
BC-Jackson2020,response,1,composition__Tumor (CK7+ CK hi Ecadh hi),0,0.08500641295275484,0.14146421394226305,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK7+ CK hi Ecadh hi),1,0.0730812444331683,0.13227991954868185,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK7+ CK hi Ecadh hi),2,0.08372406832983617,0.12682166155012142,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (CK7+),0,0.42060616377158555,0.49809579774904544,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (CK7+),1,0.3202024567831606,0.2031574588068278,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (CK7+),2,0.32889352280112616,0.1482192768098571,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Epithelial low),0,-0.33412201945715875,0.1197055007561944,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Epithelial low),1,-0.3639177333686209,0.31122278127290853,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Epithelial low),2,-0.41018985515222406,0.2218782425680775,1.0,5,True
BC-Jackson2020,response,1,composition__Tumor (Hypoxic),0,-0.12558481614969155,0.2808161858525237,0.2,5,False
BC-Jackson2020,response,1,composition__Tumor (Hypoxic),1,0.023443561679005725,0.11532355719171697,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (Hypoxic),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,composition__Tumor (Myoepithelial),0,0.07826318397026573,0.09845880995907667,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (Myoepithelial),1,0.09518550595857758,0.09672194673357555,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (Myoepithelial),2,0.06953683676655671,0.08129623522773649,0.6,5,True
BC-Jackson2020,response,1,composition__Tumor (Proliferative),0,-0.13596235636786794,0.08304830513364272,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (Proliferative),1,-0.13640266835892464,0.13101476608484405,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (Proliferative),2,0.008752379711716118,0.16137474924387185,0.8,5,True
BC-Jackson2020,response,1,composition__Tumor (p53+ EGFR+),0,-0.00580170329410261,0.01297300295089789,0.2,5,False
BC-Jackson2020,response,1,composition__Tumor (p53+ EGFR+),1,-0.010930480508740067,0.024441297444279274,0.2,5,False
BC-Jackson2020,response,1,composition__Tumor (p53+ EGFR+),2,-0.016857483943561662,0.03769448002741511,0.2,5,False
BC-Jackson2020,response,1,expression__CD20,0,-0.08345317008837576,0.11462343353287523,0.4,5,False
BC-Jackson2020,response,1,expression__CD20,1,-0.0781980837333178,0.12118137473892536,0.4,5,False
BC-Jackson2020,response,1,expression__CD20,2,-0.10801744384838419,0.17010562192498696,0.4,5,False
BC-Jackson2020,response,1,expression__CD3,0,-0.02914261173927407,0.046924862269214995,0.4,5,False
BC-Jackson2020,response,1,expression__CD3,1,-0.16178040691530238,0.22153087377027403,0.4,5,False
BC-Jackson2020,response,1,expression__CD3,2,-0.10245523003675117,0.1403345868873295,0.4,5,False
BC-Jackson2020,response,1,expression__CD44,0,0.09913369230152073,0.09093353908097213,0.6,5,True
BC-Jackson2020,response,1,expression__CD44,1,0.1377275583930997,0.20386494158522486,0.4,5,False
BC-Jackson2020,response,1,expression__CD44,2,0.11659198920458554,0.17047253557449346,0.6,5,True
BC-Jackson2020,response,1,expression__CD45,0,-0.0034265952399524222,0.007662099887910819,0.2,5,False
BC-Jackson2020,response,1,expression__CD45,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,expression__CD45,2,0.024780335904061,0.05541051558675911,0.2,5,False
BC-Jackson2020,response,1,expression__CD68,0,0.2141989165652009,0.27049577933424673,0.6,5,True
BC-Jackson2020,response,1,expression__CD68,1,0.20257556099746923,0.13823811373732303,0.8,5,True
BC-Jackson2020,response,1,expression__CD68,2,0.15164316071203404,0.20942714859364325,0.4,5,False
BC-Jackson2020,response,1,expression__Carbonic Anhydrase IX,0,-0.7599725677569678,0.11508297796850513,1.0,5,True
BC-Jackson2020,response,1,expression__Carbonic Anhydrase IX,1,-0.8341609576985769,0.4136421648571889,1.0,5,True
BC-Jackson2020,response,1,expression__Carbonic Anhydrase IX,2,-0.8450179666282175,0.27592154265545027,1.0,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 19,0,-0.18973323805359443,0.17049745525272794,0.8,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 19,1,-0.15958641480591357,0.15230312747175442,0.8,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 19,2,-0.22749342949143098,0.08873440583926095,1.0,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 5,0,0.10665203790163642,0.14991990617402998,0.4,5,False
BC-Jackson2020,response,1,expression__Cytokeratin 5,1,0.14629250355324144,0.32711998254367736,0.2,5,False
BC-Jackson2020,response,1,expression__Cytokeratin 5,2,0.13053617846362503,0.18369648458710616,0.4,5,False
BC-Jackson2020,response,1,expression__Cytokeratin 7,0,0.2801847274858368,0.11796836360943921,1.0,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 7,1,0.27004216784390356,0.16115314466782535,0.8,5,True
BC-Jackson2020,response,1,expression__Cytokeratin 7,2,0.25205562293552486,0.23935485343118668,0.8,5,True
