dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,CD20,-0.2784351754156378,0.09957866530096746,0.9333333333333333,15,1.0,-0.3675551743475313,0.39482452760769027,-1.3311922346588696,0.21936336496676534,3000,0.8876666666666667,negative,crosses zero
BC-Jackson2020,response,1,CD3,0.11523179010334929,0.10715350546815532,0.8,15,1.0,0.1532208796731997,0.31492686348940735,-0.39613061522908105,0.8593546359801106,3000,0.6636666666666666,positive,crosses zero
BC-Jackson2020,response,1,CD44,0.11698757645563611,0.13528465131403075,0.6,15,0.6666666666666666,0.13625957999287552,0.30017808858092304,-0.4226515186714096,0.8226981717984947,3000,0.771,positive,crosses zero
BC-Jackson2020,response,1,CD45,0.06154316831474592,0.09256500418856214,0.4,15,0.0,0.06665194787661836,0.30874853966428106,-0.6122775900932204,0.7937290465752613,3000,0.5446666666666666,positive,crosses zero
BC-Jackson2020,response,1,CD68,0.16590028243927318,0.12586079822623772,0.9333333333333333,15,1.0,0.2427825572978572,0.30003130829073815,-0.24986426198229764,0.943082018249573,3000,0.824,positive,crosses zero
BC-Jackson2020,response,1,Carbonic Anhydrase IX,-0.7251433408081169,0.33355893358427896,1.0,15,1.0,-0.8803755240189876,0.6581919609633268,-2.4232746251618447,0.0,3000,0.9406666666666667,negative,crosses zero
BC-Jackson2020,response,1,Cytokeratin 19,0.032727726066238354,0.06917707197244248,0.4666666666666667,15,0.6666666666666666,0.08560705618615645,0.3296538436737505,-0.5631819560065521,0.8591308460647091,3000,0.6843333333333333,positive,crosses zero
BC-Jackson2020,response,1,Cytokeratin 5,0.15248278474747526,0.18225541238338833,0.5333333333333333,15,0.6666666666666666,0.1318085678104855,0.33967745894645845,-0.4178869714060587,1.0290441005116453,3000,0.528,positive,crosses zero
BC-Jackson2020,response,1,Cytokeratin 7,0.39412411832842376,0.14740890126588746,1.0,15,1.0,0.45622886096245635,0.33689361711125004,-0.021561047611724383,1.1688712203699416,3000,0.9203333333333333,positive,crosses zero
BC-Jackson2020,response,1,Cytokeratin 8/18,-0.13947626471879732,0.18549608043656857,0.8666666666666667,15,1.0,-0.151936806246658,0.4052649654538227,-1.047771756117591,0.6532802623218732,3000,0.716,negative,crosses zero
BC-Jackson2020,response,1,DNA1,-0.3179583196800665,0.1310104033538335,1.0,15,1.0,-0.3427475501952757,0.300488804988593,-0.9695884520970871,0.1836614458871922,3000,0.9236666666666666,negative,crosses zero
BC-Jackson2020,response,1,EGFR,0.09267395990460905,0.1475980239731452,0.5333333333333333,15,0.6666666666666666,0.11916179058627087,0.35334005836320087,-0.5880745583953131,1.0050362340947205,3000,0.579,positive,crosses zero
BC-Jackson2020,response,1,Ecadherin,0.851956298910921,0.30242848372995174,1.0,15,1.0,0.9392538523560776,0.5492088706093554,0.0,2.154785514323974,3000,0.9683333333333334,positive,crosses zero
BC-Jackson2020,response,1,Estrogen,0.14559968844374255,0.17315375122839552,0.8,15,1.0,0.19101614697863256,0.37067699897867745,-0.45384919830405124,1.0837493835508647,3000,0.7526666666666667,positive,crosses zero
BC-Jackson2020,response,1,Fibronectin,-0.29655639731911554,0.08792713946316133,1.0,15,1.0,-0.33928934945564476,0.26939163619467876,-0.8928872427079614,0.09205019870341019,3000,0.923,negative,crosses zero
BC-Jackson2020,response,1,GATA3,0.5089101799447169,0.34815455933634804,1.0,15,1.0,0.5752881659765607,0.5814259957310735,-0.10021770670747045,2.0096164020023544,3000,0.844,positive,crosses zero
BC-Jackson2020,response,1,Histone H3,-0.034303120973624084,0.06537914324108024,0.3333333333333333,15,0.0,0.008115376091628948,0.27996526137379846,-0.6186822126381895,0.6022057844449715,3000,0.721,negative,crosses zero
BC-Jackson2020,response,1,Keratin 14 (KRT14),-0.37353206375507736,0.20740739083940793,0.9333333333333333,15,1.0,-0.3570071359453707,0.4182458793709441,-1.2719906801842773,0.31134753685229033,3000,0.798,negative,crosses zero
BC-Jackson2020,response,1,Ki-67,-0.14151228442079133,0.10805065871614737,0.8666666666666667,15,1.0,-0.20424002464805607,0.3212918428253709,-0.9571600365070891,0.3294384835828111,3000,0.8196666666666667,negative,crosses zero
BC-Jackson2020,response,1,Progesterone Receptor A/B,0.1773118863204686,0.1214637430305605,1.0,15,1.0,0.24169427991352394,0.33247593353575206,-0.30242873822945443,1.018868926049633,3000,0.805,positive,crosses zero
BC-Jackson2020,response,1,SMA,0.4017828328686586,0.1425985401880649,1.0,15,1.0,0.4347664350654867,0.3652898621042305,-0.12923155674445508,1.2076110693656819,3000,0.8983333333333333,positive,crosses zero
BC-Jackson2020,response,1,Slug,0.5407513608587337,0.2390298869944294,1.0,15,1.0,0.6106257649975049,0.48765455392802004,0.0,1.7622985494694952,3000,0.9273333333333333,positive,crosses zero
BC-Jackson2020,response,1,Twist,0.016172246832298957,0.03636232442248889,0.2,15,0.0,0.11864917237522722,0.4333463397099786,-0.7193670240787416,1.1870667642546597,3000,0.617,positive,crosses zero
BC-Jackson2020,response,1,Vimentin,-0.16838184508596896,0.0963297494491036,1.0,15,1.0,-0.2430658129930169,0.278143063436155,-0.875114302437598,0.18195367476505597,3000,0.796,negative,crosses zero
BC-Jackson2020,response,1,c-Myc,-0.37296690111699715,0.2022307729411273,1.0,15,1.0,-0.4473621055390358,0.42093351840939036,-1.3825198818566153,0.1082241471127898,3000,0.833,negative,crosses zero
BC-Jackson2020,response,1,c-erbB-2 - Her2,-0.6547873241031971,0.17410726556060327,1.0,15,1.0,-0.7221350133626503,0.4625514240075523,-1.6771864614249834,0.0,3000,0.9246666666666666,negative,crosses zero
BC-Jackson2020,response,1,cleaved PARP,-0.11399743963317484,0.1554147939924506,0.6,15,1.0,-0.13341292268681004,0.4219966861983247,-1.1463771387822927,0.6735534065352555,3000,0.6833333333333333,negative,crosses zero
BC-Jackson2020,response,1,p53,-0.17265514602240814,0.2194696966020892,0.4666666666666667,15,0.3333333333333333,-0.3794009984856711,0.5559018479945075,-1.7733713494061654,0.365313118825524,3000,0.6563333333333333,negative,crosses zero
BC-Jackson2020,response,1,pan Cytokeratin,-0.5975279247272856,0.2715630479906153,1.0,15,1.0,-0.7115471812941326,0.5826193316467395,-2.082336796185725,0.0,3000,0.8746666666666667,negative,crosses zero
BC-Jackson2020,response,1,phospho-Histone,0.12987812316848846,0.12518803679790583,0.7333333333333333,15,1.0,0.14683653286103987,0.3473837636705474,-0.48471749683316284,0.9762270357175644,3000,0.759,positive,crosses zero
BC-Jackson2020,response,1,phospho-S6,0.05668428881613664,0.09244772488786662,0.7333333333333333,15,1.0,0.12516713305659669,0.3196983712898756,-0.4789677030702033,0.8729330051776543,3000,0.7726666666666666,positive,crosses zero
BC-Jackson2020,response,1,phospho-mTOR,-0.2782066298580092,0.2179055299628999,0.8,15,1.0,-0.370820051549037,0.4635575574883984,-1.3859487880061274,0.38433773803912014,3000,0.7856666666666666,negative,crosses zero
BC-Jackson2020,response,1,vWF,0.12369066623442095,0.2346251535460474,0.5333333333333333,15,0.6666666666666666,0.22070571384615445,0.4878507634434704,-0.5966899354216945,1.3684203753772641,3000,0.7986666666666666,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,CD20,0.4824467356088487,0.3085220468718492,1.0,15,1.0,0.70301473948675,0.5995207331474858,0.0,2.1293558325258344,3000,0.8853333333333333,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,CD3,0.03990954537466616,0.13991280843074483,0.5333333333333333,15,0.6666666666666666,0.001899243297268094,0.5237586236222875,-1.2917369881672605,1.1992156875574562,3000,0.599,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,CD44,0.053161250346495666,0.17845134103457747,0.5333333333333333,15,0.6666666666666666,0.04371521925043361,0.3706288313137013,-0.7136386867184362,0.9278503644960643,3000,0.6796666666666666,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,CD45,-0.858671605395482,0.38892158331076093,1.0,15,1.0,-0.9700036991344224,0.8716955580777552,-3.018243839917421,0.0,3000,0.869,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,CD68,-0.1415770174549877,0.32798667673717824,0.7333333333333333,15,1.0,-0.2511324924866853,0.5152167820240137,-1.7821042118196044,0.390158683682422,3000,0.7043333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,Carbonic Anhydrase IX,-0.14957624349112367,0.20309926978721327,0.6666666666666666,15,0.6666666666666666,-0.25819357736280096,0.45563848178530236,-1.4594566991407787,0.3185997387951686,3000,0.718,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,Cytokeratin 19,-0.5472327314194028,0.208781340111431,1.0,15,1.0,-0.5807635296888127,0.5720299237938065,-1.9247093403585667,0.0,3000,0.7853333333333333,negative,crosses zero
