dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,CD20,-0.38612440615733534,True
BC-Jackson2020,response,0,0,1.0,179,40,1,CD3,0.010878712795327811,True
BC-Jackson2020,response,0,0,1.0,179,40,1,CD44,0.12664359098821734,True
BC-Jackson2020,response,0,0,1.0,179,40,1,CD45,0.2536700980701968,True
BC-Jackson2020,response,0,0,1.0,179,40,1,CD68,0.0035192595700540303,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Carbonic Anhydrase IX,-0.6616929804975035,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Cytokeratin 19,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,Cytokeratin 5,0.15531385549524931,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Cytokeratin 7,0.15254890308680583,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Cytokeratin 8/18,-0.13929348059980212,True
BC-Jackson2020,response,0,0,1.0,179,40,1,DNA1,-0.308865827584312,True
BC-Jackson2020,response,0,0,1.0,179,40,1,EGFR,0.006825235456502295,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Ecadherin,1.0493167509907684,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Estrogen,0.10816188104491459,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Fibronectin,-0.3396437373353965,True
BC-Jackson2020,response,0,0,1.0,179,40,1,GATA3,0.19212606873410099,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Histone H3,-0.08434713045323734,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Keratin 14 (KRT14),-0.34534030817286526,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Ki-67,-0.23443408179657468,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Progesterone Receptor A/B,0.06950438917338526,True
BC-Jackson2020,response,0,0,1.0,179,40,1,SMA,0.34302136788557025,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Slug,0.4729347061204609,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Twist,0.12327973103788543,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Vimentin,-0.09106841836725482,True
BC-Jackson2020,response,0,0,1.0,179,40,1,c-Myc,-0.012755424065696047,True
BC-Jackson2020,response,0,0,1.0,179,40,1,c-erbB-2 - Her2,-0.7120006032871734,True
BC-Jackson2020,response,0,0,1.0,179,40,1,cleaved PARP,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,p53,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,pan Cytokeratin,-0.35480747968072346,True
BC-Jackson2020,response,0,0,1.0,179,40,1,phospho-Histone,0.07239775793249033,True
BC-Jackson2020,response,0,0,1.0,179,40,1,phospho-S6,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,phospho-mTOR,-0.2554019944879439,True
BC-Jackson2020,response,0,0,1.0,179,40,1,vWF,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,CD20,-0.2960847543630311,True
BC-Jackson2020,response,0,1,1.0,177,42,1,CD3,0.3376401402592815,True
BC-Jackson2020,response,0,1,1.0,177,42,1,CD44,0.3082730407311781,True
BC-Jackson2020,response,0,1,1.0,177,42,1,CD45,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,CD68,0.2631420156044819,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Carbonic Anhydrase IX,-1.1607983450386337,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Cytokeratin 19,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Cytokeratin 5,0.3247318347604162,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Cytokeratin 7,0.48485287111913705,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Cytokeratin 8/18,-0.13684971198731655,True
BC-Jackson2020,response,0,1,1.0,177,42,1,DNA1,-0.4492551095604232,True
BC-Jackson2020,response,0,1,1.0,177,42,1,EGFR,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Ecadherin,0.989849227157989,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Estrogen,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Fibronectin,-0.1946993550605342,True
BC-Jackson2020,response,0,1,1.0,177,42,1,GATA3,0.7239534074708378,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Histone H3,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Keratin 14 (KRT14),-0.3249576246238695,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Ki-67,-0.14167839839187138,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Progesterone Receptor A/B,0.39749347908846133,True
BC-Jackson2020,response,0,1,1.0,177,42,1,SMA,0.14981846468704565,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Slug,0.7289500405581021,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Twist,0.06738417660046654,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Vimentin,-0.042251362230791234,True
BC-Jackson2020,response,0,1,1.0,177,42,1,c-Myc,-0.37822032734187666,True
BC-Jackson2020,response,0,1,1.0,177,42,1,c-erbB-2 - Her2,-0.4327281789717857,True
BC-Jackson2020,response,0,1,1.0,177,42,1,cleaved PARP,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,p53,-0.3372859462577566,True
BC-Jackson2020,response,0,1,1.0,177,42,1,pan Cytokeratin,-0.7421452185898336,True
BC-Jackson2020,response,0,1,1.0,177,42,1,phospho-Histone,0.05525651647216647,True
BC-Jackson2020,response,0,1,1.0,177,42,1,phospho-S6,0.1529270847561201,True
BC-Jackson2020,response,0,1,1.0,177,42,1,phospho-mTOR,-0.30122944035838073,True
BC-Jackson2020,response,0,1,1.0,177,42,1,vWF,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,CD20,-0.3223355000844317,True
BC-Jackson2020,response,0,2,1.0,175,44,1,CD3,0.160626058709408,True
BC-Jackson2020,response,0,2,1.0,175,44,1,CD44,0.24477542481810943,True
BC-Jackson2020,response,0,2,1.0,175,44,1,CD45,0.0,False
