dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,CD20,0,-0.2549743135933874,0.14889219866495282,0.8,5,True
BC-Jackson2020,response,1,CD20,1,-0.31088401874295235,0.0777142637881396,1.0,5,True
BC-Jackson2020,response,1,CD20,2,-0.2694471939105737,0.0662732172048984,1.0,5,True
BC-Jackson2020,response,1,CD3,0,0.10988324699302228,0.1424518173511907,0.8,5,True
BC-Jackson2020,response,1,CD3,1,0.09993095099702642,0.09614885624591732,0.6,5,True
BC-Jackson2020,response,1,CD3,2,0.13588117231999916,0.0989345024472328,1.0,5,True
BC-Jackson2020,response,1,CD44,0,0.1337560096372755,0.14287371760644416,0.8,5,True
BC-Jackson2020,response,1,CD44,1,0.11812212731355101,0.1633263907095745,0.4,5,False
BC-Jackson2020,response,1,CD44,2,0.09908459241608183,0.12733671703786975,0.6,5,True
BC-Jackson2020,response,1,CD45,0,0.05664999670536645,0.11087986476924112,0.4,5,False
BC-Jackson2020,response,1,CD45,1,0.07716418848714993,0.10567013143693682,0.4,5,False
BC-Jackson2020,response,1,CD45,2,0.05081531975172139,0.07777950401188152,0.4,5,False
BC-Jackson2020,response,1,CD68,0,0.15324790228685167,0.19569607815558135,0.8,5,True
BC-Jackson2020,response,1,CD68,1,0.18023034297187274,0.10794905780380193,1.0,5,True
BC-Jackson2020,response,1,CD68,2,0.16422260205909517,0.07094383558137256,1.0,5,True
BC-Jackson2020,response,1,Carbonic Anhydrase IX,0,-0.7199691538128844,0.2838187750711879,1.0,5,True
BC-Jackson2020,response,1,Carbonic Anhydrase IX,1,-0.7358035033940341,0.420956015795746,1.0,5,True
BC-Jackson2020,response,1,Carbonic Anhydrase IX,2,-0.7196573652174324,0.3625538157074689,1.0,5,True
BC-Jackson2020,response,1,Cytokeratin 19,0,0.022610066434922645,0.022493611414059825,0.6,5,True
BC-Jackson2020,response,1,Cytokeratin 19,1,0.05121735880905498,0.11452549592504462,0.2,5,False
BC-Jackson2020,response,1,Cytokeratin 19,2,0.024355752954737443,0.049841542618670166,0.6,5,True
BC-Jackson2020,response,1,Cytokeratin 5,0,0.11990556915125199,0.13412905737693948,0.6,5,True
BC-Jackson2020,response,1,Cytokeratin 5,1,0.1547729500245397,0.21554884357483753,0.4,5,False
BC-Jackson2020,response,1,Cytokeratin 5,2,0.18276983506663405,0.22209892872055298,0.6,5,True
BC-Jackson2020,response,1,Cytokeratin 7,0,0.4009163485501916,0.17680823186355712,1.0,5,True
BC-Jackson2020,response,1,Cytokeratin 7,1,0.39210462196198226,0.07105248863765302,1.0,5,True
BC-Jackson2020,response,1,Cytokeratin 7,2,0.38935138447309736,0.1991280942643923,1.0,5,True
BC-Jackson2020,response,1,Cytokeratin 8/18,0,-0.07582929173019912,0.06014287529016407,1.0,5,True
BC-Jackson2020,response,1,Cytokeratin 8/18,1,-0.13450414360992907,0.1085965409366281,0.8,5,True
BC-Jackson2020,response,1,Cytokeratin 8/18,2,-0.2080953588162638,0.30665960331770764,0.8,5,True
BC-Jackson2020,response,1,DNA1,0,-0.2969604531668429,0.1428452672534527,1.0,5,True
BC-Jackson2020,response,1,DNA1,1,-0.3377518433728185,0.10033335826530809,1.0,5,True
BC-Jackson2020,response,1,DNA1,2,-0.31916266250053815,0.16899351044307773,1.0,5,True
BC-Jackson2020,response,1,EGFR,0,0.08923851238754422,0.1957502688073385,0.4,5,False
BC-Jackson2020,response,1,EGFR,1,0.05125121575644914,0.05445820906873111,0.6,5,True
BC-Jackson2020,response,1,EGFR,2,0.13753215156983375,0.174038429290058,0.6,5,True
BC-Jackson2020,response,1,Ecadherin,0,0.8638620578810523,0.1496768842390645,1.0,5,True
BC-Jackson2020,response,1,Ecadherin,1,0.8535484775292407,0.30345091462311785,1.0,5,True
BC-Jackson2020,response,1,Ecadherin,2,0.8384583613224701,0.45301957394508274,1.0,5,True
BC-Jackson2020,response,1,Estrogen,0,0.16064943618137326,0.2543858480701379,0.8,5,True
BC-Jackson2020,response,1,Estrogen,1,0.1144263745921025,0.06960868292522673,1.0,5,True
BC-Jackson2020,response,1,Estrogen,2,0.16172325455775183,0.18318691903098525,0.6,5,True
BC-Jackson2020,response,1,Fibronectin,0,-0.3072684277728045,0.07223512842438067,1.0,5,True
BC-Jackson2020,response,1,Fibronectin,1,-0.2784787337318093,0.11280167141183137,1.0,5,True
BC-Jackson2020,response,1,Fibronectin,2,-0.30392203045273275,0.09218054595182067,1.0,5,True
BC-Jackson2020,response,1,GATA3,0,0.4652569495943676,0.19177575672456632,1.0,5,True
BC-Jackson2020,response,1,GATA3,1,0.5014057750003065,0.27579370648326557,1.0,5,True
BC-Jackson2020,response,1,GATA3,2,0.5600678152394766,0.5528803671882087,1.0,5,True
BC-Jackson2020,response,1,Histone H3,0,-0.036870914308757476,0.0507902674716244,0.4,5,False
BC-Jackson2020,response,1,Histone H3,1,-0.022096741703287365,0.049409816529805035,0.2,5,False
BC-Jackson2020,response,1,Histone H3,2,-0.04394170690882741,0.0981270480729794,0.4,5,False
BC-Jackson2020,response,1,Keratin 14 (KRT14),0,-0.342580766979388,0.10349634971120404,1.0,5,True
BC-Jackson2020,response,1,Keratin 14 (KRT14),1,-0.355181040070158,0.2502688318130426,0.8,5,True
BC-Jackson2020,response,1,Keratin 14 (KRT14),2,-0.42283438421568587,0.26936885598515675,1.0,5,True
BC-Jackson2020,response,1,Ki-67,0,-0.1297643133731943,0.08700933189946362,0.8,5,True
BC-Jackson2020,response,1,Ki-67,1,-0.1374305297622217,0.12511458558582128,0.8,5,True
BC-Jackson2020,response,1,Ki-67,2,-0.15734201012695798,0.13088718006979677,1.0,5,True
BC-Jackson2020,response,1,Progesterone Receptor A/B,0,0.1697723779443427,0.13540748330922722,1.0,5,True
BC-Jackson2020,response,1,Progesterone Receptor A/B,1,0.19413200006968154,0.11592594340119,1.0,5,True
BC-Jackson2020,response,1,Progesterone Receptor A/B,2,0.16803128094738154,0.13903477837364353,1.0,5,True
BC-Jackson2020,response,1,SMA,0,0.3907640073515156,0.15302622350609463,1.0,5,True
BC-Jackson2020,response,1,SMA,1,0.379764493818478,0.19996875798761193,1.0,5,True
BC-Jackson2020,response,1,SMA,2,0.4348199974359823,0.07512375493375402,1.0,5,True
BC-Jackson2020,response,1,Slug,0,0.5094872279820191,0.19108468403382467,1.0,5,True
BC-Jackson2020,response,1,Slug,1,0.5688070335572134,0.34182749789046757,1.0,5,True
BC-Jackson2020,response,1,Slug,2,0.5439598210369684,0.21070247516786347,1.0,5,True
BC-Jackson2020,response,1,Twist,0,0.0381327815276704,0.055830041657048385,0.4,5,False
BC-Jackson2020,response,1,Twist,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,Twist,2,0.010383958969226469,0.023219238130759032,0.2,5,False
