dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,patch_max_composition__B cell,0.6560633666499379,0.3302361969833633,0.9333333333333333,15,1.0,0.399167869704183,0.46695593969689514,0.0,1.5789685588568847,3000,0.6573333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Endothelial,0.4794060124468373,0.2459855656087265,0.9333333333333333,15,1.0,0.45096006177233783,0.43949148766324436,0.0,1.4630448655218629,3000,0.7536666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Macrophage,-0.0097202728452783,0.07547008783061877,0.13333333333333333,15,0.0,-0.03987203152018463,0.24034911955078844,-0.6881780534561986,0.48203110570665103,3000,0.325,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),-0.0760460483790577,0.11207155078938662,0.4666666666666667,15,0.6666666666666666,-0.14693224720451084,0.25561311915566814,-0.8653633764734024,0.0,3000,0.432,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),-0.142895784876891,0.20517580665553456,0.4666666666666667,15,0.3333333333333333,-0.21170850780884373,0.295689527353808,-0.9345049870950016,0.0,3000,0.537,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),0.0007199529291260849,0.002788365704558576,0.06666666666666667,15,0.0,0.08688561277603651,0.22491472167871204,-0.05167415535516868,0.7635168366502738,3000,0.2886666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),0.17322913473099544,0.20603088176318732,0.6666666666666666,15,1.0,0.21219182254007524,0.33960513533774583,0.0,1.136976343586116,3000,0.46,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),0.37305421872419314,0.22137795262943322,1.0,15,1.0,0.2598801001189457,0.3564728514219399,0.0,1.1446464194836794,3000,0.5666666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),0.07321712918464908,0.17818929226137475,0.2,15,0.0,0.02949056910891052,0.1404003961606251,0.0,0.46944975434372,3000,0.116,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__T & B cells,0.02874772369337412,0.11133945510581034,0.06666666666666667,15,0.0,0.027084705882457105,0.19063123918929623,-0.2795928532393523,0.6090315851968068,3000,0.18233333333333332,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__T cell,0.058780586682336704,0.16161451387327522,0.13333333333333333,15,0.0,0.09957061553643633,0.23022121325492229,0.0,0.8110762553052021,3000,0.295,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),0.09243794130845631,0.13816880317953945,0.4,15,0.3333333333333333,0.0773893485537906,0.23268563642151663,-0.20796834055669253,0.7518908248005741,3000,0.30966666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),-0.038261017765347426,0.0674070811446758,0.4,15,0.0,-0.049957946583148526,0.23531682599360182,-0.647179547547149,0.4419521012252896,3000,0.423,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),-0.6900967598142819,0.3268395868157311,0.9333333333333333,15,1.0,-0.42960241706613556,0.4483955826800245,-1.4844785367697277,0.0,3000,0.7016666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),-0.09618915286089719,0.17433542162122131,0.3333333333333333,15,0.3333333333333333,-0.15887911585117018,0.2725136768920564,-0.931643197951701,0.0,3000,0.40066666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),-0.11374611787554675,0.22513723822281137,0.3333333333333333,15,0.0,-0.09646555927135884,0.22514695510343996,-0.7865812929133288,0.03388102946221745,3000,0.3253333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),-0.04490945823732238,0.07187756723425939,0.4,15,0.0,-0.033934416842028865,0.18695669712460125,-0.585385281197828,0.30922640859616923,3000,0.2613333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),0.0,0.0,0.0,15,0.0,-0.0028408595300470794,0.09895279119817124,-0.223363110599034,0.19662293900036906,3000,0.13533333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),-0.27825780444469994,0.2190780536316674,0.8,15,1.0,-0.11269840362719524,0.24267095480858428,-0.8086990182301238,0.04981690341513824,3000,0.37266666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),0.41660112725285375,0.1914211778415525,1.0,15,1.0,0.3854751933452717,0.4053423142108821,0.0,1.331429397766076,3000,0.7046666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),-0.03070189726537092,0.09003038174045047,0.26666666666666666,15,0.0,-0.07192254214628371,0.22005046404444972,-0.7242826083925531,0.20689297412661573,3000,0.2926666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Hypoxic),-0.26903453206969485,0.17639025049590207,0.8,15,1.0,-0.3378962722757042,0.3660250601100346,-1.1949651038828613,0.0,3000,0.672,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Myoepithelial),-0.10572389659390817,0.14843179266487036,0.5333333333333333,15,0.6666666666666666,-0.10600560224667575,0.24553890273947315,-0.8480595212179304,0.025065690176411585,3000,0.325,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Proliferative),0.013814614176988295,0.05350377064175654,0.06666666666666667,15,0.0,0.03782325344925144,0.174321238502279,-0.17765727437176218,0.5782055952171223,3000,0.21,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (p53+ EGFR+),-0.05662000931204827,0.08647975863540777,0.4666666666666667,15,0.3333333333333333,-0.0877342365887348,0.2073688221036605,-0.7105055788894296,0.008266791727293594,3000,0.33266666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD20,-0.004619073737636605,0.017889595660770616,0.06666666666666667,15,0.0,-0.05320129560265461,0.15016031846183733,-0.5192736997851546,0.0,3000,0.197,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD3,-0.19956107360828412,0.21845345315144887,0.7333333333333333,15,1.0,-0.17540964126316255,0.2996853377119153,-0.9861996030825949,0.0320646781129116,3000,0.4666666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD44,-0.04804634027073001,0.12863301774480215,0.3333333333333333,15,0.0,-0.05721880297872705,0.18123870010771104,-0.642213107286363,0.036190828851688,3000,0.22333333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD45,-0.061399031530332264,0.16532423658228898,0.13333333333333333,15,0.0,-0.03004595369664248,0.15010970012917133,-0.4945327126489968,0.0,3000,0.13866666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD68,0.0,0.0,0.0,15,0.0,0.009121500853900583,0.12782544762039902,-0.11039201768925513,0.30192366278280436,3000,0.109,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Carbonic Anhydrase IX,-0.001396144293826428,0.005407243598892271,0.06666666666666667,15,0.0,-0.026547299317371195,0.11006069436902999,-0.38072258974519463,0.0,3000,0.09933333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 19,-0.2586236792212386,0.24727948581314718,0.6666666666666666,15,1.0,-0.09932995207838345,0.22299342901755517,-0.7437795031294987,0.0,3000,0.2806666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 5,0.0,0.0,0.0,15,0.0,0.004467147409666826,0.05501150310783943,0.0,0.06481534092658735,3000,0.051333333333333335,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 7,0.10935831257129927,0.16559257251234863,0.5333333333333333,15,0.6666666666666666,0.09076719088684994,0.21806994718438433,0.0,0.7749514097590623,3000,0.265,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 8/18,0.040453858720893805,0.061023894238868934,0.4,15,0.3333333333333333,0.036065851847939936,0.14177175755890284,0.0,0.48332776697567054,3000,0.16,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__DNA1,-0.0012942077475768543,0.00501244505289777,0.06666666666666667,15,0.0,-0.07162628560707966,0.20410521551267105,-0.7047155069607588,0.036216825766448864,3000,0.24833333333333332,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__EGFR,-0.15320705284841812,0.18714223735699778,0.6,15,0.6666666666666666,-0.10597521463623334,0.2551371159626254,-0.9378455380960166,0.0,3000,0.26166666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Ecadherin,0.17696492257637983,0.15768926337183586,0.7333333333333333,15,1.0,0.190566465338819,0.3192777143441287,0.0,1.0753814169267926,3000,0.431,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Estrogen,0.0024371189858513214,0.009438921244928076,0.06666666666666667,15,0.0,0.021619385097313957,0.11018861461020511,0.0,0.3652157567774794,3000,0.106,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Fibronectin,-0.0072388785712962705,0.023361627205096346,0.13333333333333333,15,0.0,-0.06038549025269207,0.1690212501739532,-0.5865551285846831,0.0,3000,0.218,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__GATA3,0.6440902606940128,0.24703787762117183,1.0,15,1.0,0.3904066664736334,0.4468214703175521,0.0,1.4880474783188216,3000,0.653,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Histone H3,0.0,0.0,0.0,15,0.0,0.018131560703005194,0.13818156470889406,-0.2025968382066307,0.4169697855188737,3000,0.19333333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Keratin 14 (KRT14),-0.011508922529346934,0.04457386528895202,0.06666666666666667,15,0.0,-0.012095492585290192,0.08070026556627485,-0.23550632765159482,0.0,3000,0.09133333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Ki-67,-0.03019916833242361,0.10109656633220404,0.13333333333333333,15,0.0,-0.009880902105200994,0.14633345230834408,-0.3813831774737558,0.2835996006943299,3000,0.19366666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Progesterone Receptor A/B,-0.0038650342217994497,0.014969213173551012,0.06666666666666667,15,0.0,-0.032283370128664744,0.12255758231802844,-0.45382270563050375,0.0,3000,0.15166666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__SMA,0.11796614521968532,0.18526327066113107,0.4,15,0.0,0.08459970464928163,0.2181622952723433,0.0,0.7848614588095,3000,0.22433333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Slug,0.3287529048429754,0.24096735512510267,0.8,15,1.0,0.21345499666313042,0.31209011826634603,0.0,0.9911242602698885,3000,0.48233333333333334,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Twist,0.1371168916311501,0.2104678850950541,0.4,15,0.0,0.11836529923196035,0.24465744742147813,0.0,0.855337842071475,3000,0.30633333333333335,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Vimentin,0.009708445937361561,0.037600649432956386,0.06666666666666667,15,0.0,0.0009935510909927906,0.11860905540974373,-0.20236053986710262,0.2291015725060272,3000,0.118,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__c-Myc,-0.12980338647506315,0.21745019741073787,0.4666666666666667,15,0.3333333333333333,-0.17447404688614102,0.30479776033084943,-1.0607509782701026,0.0,3000,0.401,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__c-erbB-2 - Her2,-0.27740781098743367,0.3439176022994615,0.6,15,0.6666666666666666,-0.2178367822623218,0.37369907013236525,-1.3023736970592579,0.0,3000,0.42633333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__cleaved PARP,-0.08632089615550291,0.17174853949291208,0.26666666666666666,15,0.0,-0.06559271942496181,0.2097838165212486,-0.7255356030500768,0.00985285327600449,3000,0.21433333333333332,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__p53,-0.06990163233156008,0.09936593537989949,0.4,15,0.3333333333333333,-0.12447600279974118,0.26854088741514315,-0.9428242202085731,0.0,3000,0.316,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__pan Cytokeratin,-0.02126638592442937,0.05678323786272649,0.13333333333333333,15,0.0,-0.040318848307777676,0.14977577323502814,-0.5240792799357171,0.0,3000,0.13866666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-Histone,0.0,0.0,0.0,15,0.0,-0.006391909266725914,0.12048432260776436,-0.312151633452974,0.1877843206186325,3000,0.13033333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-S6,-0.030917628015315664,0.09531581471883038,0.2,15,0.0,0.008157444670512574,0.09724766529424904,-0.042608735299822585,0.22491523215399775,3000,0.08766666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-mTOR,-0.00858995807661512,0.03326876457535025,0.06666666666666667,15,0.0,-0.051824814465824244,0.1774493573329655,-0.592837253932706,0.0,3000,0.19266666666666668,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__vWF,-0.024369401061756824,0.07274328481571017,0.2,15,0.0,-0.02404360227272183,0.15344701136170846,-0.451083231852959,0.09030758341017024,3000,0.14033333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__B cell,0.0,0.0,0.0,15,0.0,-0.00063715567860924,0.028403579254241345,0.0,0.0,3000,0.034,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Endothelial,0.0,0.0,0.0,15,0.0,0.0006875408051944167,0.026245725657409506,0.0,0.0,3000,0.015333333333333332,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Macrophage,0.0,0.0,0.0,15,0.0,0.0009087894142626987,0.021785447650146082,0.0,0.0,3000,0.016666666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Fibronectin hi),0.0,0.0,0.0,15,0.0,-0.0025425016733636747,0.027310523836858697,0.0,0.0,3000,0.02666666666666667,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Large elongated),-0.1097334444582239,0.14246962085510198,0.6,15,1.0,-0.1631420898288912,0.2269864402666813,-0.7437864196436543,0.0,3000,0.519,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),0.09932023619676193,0.18924084991394394,0.26666666666666666,15,0.0,0.08267290044645832,0.18143667458443777,0.0,0.6015156651031905,3000,0.2966666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Small circular),0.0,0.0,0.0,15,0.0,0.0130760606141024,0.0584401419509696,0.0,0.20490084700046132,3000,0.07533333333333334,not selected,crosses zero
