dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_max_composition__B cell,0,0.6577951505654804,0.43437773094880267,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__B cell,1,0.6580315569123705,0.3643082085203604,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__B cell,2,0.6523633924719625,0.245490576258806,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,0,0.519787421781239,0.12454725579991462,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,1,0.5136195203528222,0.3042672586338262,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,2,0.4048110952064506,0.3053416628584574,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Macrophage,0,0.022977044597343305,0.051378233641703915,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Macrophage,1,-0.05213786313317821,0.11658380616736665,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Macrophage,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),0,-0.04363577865797257,0.09757256733036122,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),1,-0.04515903037357609,0.07928618096174166,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),2,-0.13934333610562444,0.14366518098513653,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),0,-0.1285342727762583,0.17488653944903335,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),1,-0.08737411849974994,0.12077261587488311,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),2,-0.21277896335466479,0.30323729227507246,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),0,0.002159858787378255,0.004829591070378042,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),0,0.11410888125726101,0.13198184620947345,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),1,0.21720864193572337,0.218938424256122,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),2,0.188369881000002,0.2759420029061418,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),0,0.409384745954423,0.245949271960063,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),1,0.3739671688113053,0.2686089404365491,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),2,0.33581074140685113,0.18842004621204364,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),0,0.12622143224766857,0.282239702723171,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),1,0.06543419160040405,0.1463153004712492,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),2,0.027995763705874616,0.06260043072835707,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__T & B cells,0,0.08624317108012236,0.19284559313029756,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__T & B cells,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T & B cells,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,1,0.11216740963833076,0.2508139528113727,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,2,0.06417435040867935,0.14349820992569842,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),0,0.06396786135232221,0.1430364863590741,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),1,0.08315787734319802,0.08669266430682827,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),2,0.1301880852298487,0.18957831131269687,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),0,-0.04135350959378051,0.06219881226547298,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),1,-0.048064796628966996,0.09590778211397902,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),2,-0.02536474707329478,0.0499601532518785,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),0,-0.7344356142878369,0.3202085243906609,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),1,-0.7161352954423269,0.4096818482593535,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),2,-0.6197193697126818,0.30661954097861543,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),0,-0.12006656386353462,0.1541176658699363,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),2,-0.1685008947191569,0.2526031324225756,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),0,-0.010931647515184115,0.024443906950018343,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),1,-0.16681629322598818,0.2293071838766145,0.4,5,False
