dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__B cell,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Endothelial,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Macrophage,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (Fibronectin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (Large elongated),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),0.25055901004466385,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (Small circular),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (Small elongated),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Stroma (Vimentin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__T & B cells,-0.1031241645476382,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__T cell,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (Apoptotic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK lo HR hi p53+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK lo HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK7+ CK hi Ecadh hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (CK7+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_composition__Tumor (Epithelial low),0.0,False
