dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_max_composition__B cell,0,0.177588946785623,0.1909469124426259,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__B cell,1,0.2049164290091888,0.21960737736860433,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__B cell,2,0.19993866473657892,0.12558026078804646,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,0,0.8371298067520405,0.11262851790452527,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,1,0.8216894069136227,0.11488723733199091,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Endothelial,2,0.7921756136736249,0.17597029791599683,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Macrophage,0,0.015442296454939743,0.03453002460194929,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Macrophage,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Macrophage,2,0.026909853016953745,0.06017226061043637,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),0,-0.14004542020606356,0.09278422894990632,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),1,-0.2249340659406019,0.19137769070847122,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),2,-0.20204769705188666,0.15989298981278868,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),0,-0.08201233535452643,0.1635705858393944,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),1,-0.04996107981390756,0.11171637069318983,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),2,-0.16602808323908974,0.2367807456326211,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),0,0.021023957401984008,0.07860992565631181,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),1,0.05480364576581479,0.1225446773471804,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),0,0.2309756295760054,0.19964368544346553,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),1,0.36380738347558145,0.28174692634731846,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),2,0.251650509706396,0.27814795637375184,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),0,0.3141439682391014,0.36293213631717036,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),1,0.1766133585850393,0.1970904473281789,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),2,0.18328422534733044,0.11316392798421933,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),0,0.34411039037090946,0.43448863330755894,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),1,0.4752177201133791,0.268002090082357,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),2,0.3751126279664211,0.28192277271182836,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__T & B cells,0,0.0216588453630551,0.048430650545947314,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__T & B cells,1,0.016068824283873386,0.03593098341724028,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__T & B cells,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__T cell,2,-0.004547926009276673,0.010169471713381981,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),0,-0.006271220760165186,0.01402287592163726,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),1,-0.044333599385246156,0.09913294191265329,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),2,-0.09773499172657689,0.1435907648441202,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),0,-0.0059202288890973,0.00943270123467394,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),1,-0.027916963404983442,0.06242422789891697,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),2,-0.01141894052541552,0.02553352724585627,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),0,-0.3582550733330529,0.26734779310655127,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),1,-0.3582589355631877,0.2308860668946707,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),2,-0.34567128274525033,0.30155347489622897,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),0,-0.3007736508996137,0.28897234568086816,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),1,-0.2585508524448838,0.20516510471417387,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),2,-0.2899813235568428,0.2579503628400607,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),0,0.029603210748658675,0.0565317058458238,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),1,0.037495078102146764,0.056412603434651785,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),2,0.04851613562194819,0.06762533863891035,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),0,0.04326313410288875,0.21529331045782232,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),2,0.08477182283587296,0.18955555843758096,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),0,0.08910823678810756,0.15933439484201584,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),1,0.18920137382887003,0.1813014727004544,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),2,0.07390869757110138,0.10963203601720879,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),1,-0.010165733414652184,0.02273127095630334,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),2,-0.04386992792169643,0.09246734404380681,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),0,0.5917652205219044,0.342497904790222,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),1,0.5458452853979784,0.27698864212486685,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),2,0.6121740179151935,0.19433205862050973,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),0,-0.21428683756895445,0.2284762632467754,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),1,-0.1447763312905624,0.17104489381378735,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),2,-0.08700891041375221,0.11618151895528243,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Hypoxic),0,-0.6974348957719652,0.27866180481576674,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Hypoxic),1,-0.6276573550600818,0.19170488415834663,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Hypoxic),2,-0.666261638737119,0.1543267228428667,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Myoepithelial),0,-0.07778594249376244,0.1573381216973259,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Myoepithelial),1,-0.14766451585317025,0.13271433817333952,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Myoepithelial),2,-0.12978968849157474,0.16742145004913397,0.6,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Proliferative),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Proliferative),1,-0.0033248399069743897,0.007434568046298813,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Proliferative),2,0.01642588927524227,0.036729405010326475,0.2,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (p53+ EGFR+),0,-0.2665984030852629,0.22316870155922824,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (p53+ EGFR+),1,-0.3446371857187179,0.21593166840027225,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (p53+ EGFR+),2,-0.2120521734183714,0.15760214857153002,0.8,5,True
BC-Jackson2020,response,1,patch_mean_composition__B cell,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__B cell,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__B cell,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Endothelial,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Endothelial,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Endothelial,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Macrophage,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Macrophage,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Macrophage,2,-0.009642981991240782,0.02156236323822067,0.2,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Fibronectin hi),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Fibronectin hi),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Fibronectin hi),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Large elongated),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Large elongated),1,-0.019855715005976316,0.044398728495225685,0.2,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Large elongated),2,-0.027419533831464383,0.04404299707008515,0.4,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),0,0.24983214466012438,0.38317073933453644,0.8,5,True
BC-Jackson2020,response,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),1,0.22263570191364268,0.4192137032350712,0.6,5,True
BC-Jackson2020,response,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),2,0.06497319086416015,0.08915895575437613,0.6,5,True
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Small circular),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Small circular),1,0.0,0.0,0.0,5,False
