dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,patch_max_expression__CD20,-0.05532219129753416,0.07441540468352878,0.5333333333333333,15,0.6666666666666666,-0.1630333979236647,0.28918322667735175,-0.9507394723143469,0.0,3000,0.4186666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD3,-0.05973757861626367,0.09286349682920493,0.5333333333333333,15,0.6666666666666666,-0.06933308892698932,0.2648165022644216,-0.7839121673373758,0.4440745752919374,3000,0.40166666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD44,0.014225245912532058,0.06139149657114671,0.2,15,0.0,-0.012078427236042043,0.23032827226702587,-0.6045198111890064,0.5246879566517497,3000,0.30533333333333335,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD45,-0.025867964543761456,0.08512175153524343,0.13333333333333333,15,0.0,0.003768395894687804,0.23876891299137676,-0.541276796973641,0.6005851726423523,3000,0.21633333333333332,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__CD68,-0.0106057025220669,0.08505408871283127,0.26666666666666666,15,0.3333333333333333,0.016645067012691164,0.2622768044442216,-0.54587046116631,0.6906854440117614,3000,0.2653333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Carbonic Anhydrase IX,-0.012443268988715976,0.03313902733743518,0.13333333333333333,15,0.0,-0.05922383190275291,0.20628634747586352,-0.7020267667835706,0.0,3000,0.18933333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 19,-0.1048978763027129,0.15233242390879964,0.4666666666666667,15,0.3333333333333333,-0.08016180339166643,0.2208887526512783,-0.7554617036134753,0.0,3000,0.228,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 5,0.001946657236869073,0.007539371059168068,0.06666666666666667,15,0.0,0.021847152906680288,0.15591644913379502,-0.1503442869650168,0.4703189444110648,3000,0.13366666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 7,0.15545573058113968,0.2529551075744636,0.4,15,0.0,0.14446802896104236,0.31215053848782637,0.0,1.094454494094368,3000,0.3006666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 8/18,0.0,0.0,0.0,15,0.0,0.017310813083937865,0.20459416783412993,-0.38352732866445194,0.5777237994854082,3000,0.21633333333333332,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__DNA1,-0.00040552113397648095,0.0015705765984260574,0.06666666666666667,15,0.0,-0.08199768729391908,0.23384884864854394,-0.8360209581197517,0.0,3000,0.23133333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__EGFR,-0.2024365593219861,0.2321426750066768,0.6,15,1.0,-0.20573124906802934,0.39004639784296674,-1.3274481116938155,0.0,3000,0.37533333333333335,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Ecadherin,0.19741901742960366,0.24938243439976057,0.5333333333333333,15,0.6666666666666666,0.2391541184768392,0.3969652501853762,0.0,1.3539825264004817,3000,0.43,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Estrogen,0.0,0.0,0.0,15,0.0,0.03874394741984655,0.17528199975986228,-0.11450044275265285,0.6047111520005227,3000,0.17366666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Fibronectin,-0.024748314882747216,0.0677181081085352,0.2,15,0.0,-0.061314731460099484,0.19547405654898362,-0.672969413480836,0.14822120569407324,3000,0.27266666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__GATA3,0.3833586907929728,0.26118887700476373,0.9333333333333333,15,1.0,0.37229507421324004,0.49462701817907323,0.0,1.6345522145678815,3000,0.5673333333333334,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Histone H3,-0.043985959275798056,0.1213959564276644,0.2,15,0.0,-0.009267304704076702,0.19411165730314578,-0.5486063641206168,0.45277106460995303,3000,0.278,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Keratin 14 (KRT14),-0.041681409431443925,0.10056129012382299,0.2,15,0.0,-0.08710025116006745,0.2805094792371561,-0.9396057110540942,0.143679216800578,3000,0.24033333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Ki-67,-0.028418897668403116,0.08104818975484344,0.3333333333333333,15,0.0,-0.025533566547808785,0.24220928311327405,-0.6403977566651694,0.5207394230501499,3000,0.363,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Progesterone Receptor A/B,-0.07785176590438177,0.127202472274461,0.4666666666666667,15,0.3333333333333333,-0.054891438796566557,0.17854802611758397,-0.6231924559839053,0.0,3000,0.20133333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__SMA,0.39046279617717616,0.26127121944815235,0.8666666666666667,15,1.0,0.245480399124791,0.3809632713131624,0.0,1.257963225207348,3000,0.4673333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Slug,0.24876687512045312,0.19710694234539985,0.8,15,1.0,0.19195918863900063,0.3286611576708399,0.0,1.068667258671885,3000,0.39166666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Twist,0.10309410247543573,0.16577386694446872,0.4,15,0.0,0.21283860838586968,0.36895800794852096,0.0,1.229660187193247,3000,0.4023333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_expression__Vimentin,-0.027657607916239398,0.07314893238145342,0.13333333333333333,15,0.0,-0.039162346449126084,0.20703405382235396,-0.6180178617363443,0.24049179304580562,3000,0.223,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__c-Myc,-0.4623783621493777,0.2969156151467298,0.9333333333333333,15,1.0,-0.4554372078130384,0.5174525931162379,-1.730615089463076,0.0,3000,0.6413333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__c-erbB-2 - Her2,-0.30935522093787216,0.2828290706614782,0.7333333333333333,15,1.0,-0.35124183674244214,0.44908905586685427,-1.4649095257493727,0.0,3000,0.5683333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__cleaved PARP,-0.04562571174767867,0.08121249059289132,0.4666666666666667,15,0.3333333333333333,-0.1107815398661126,0.2880303234427671,-0.9842811353874615,0.21467656535003146,3000,0.329,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__p53,-0.03453471568319572,0.06454820493744128,0.3333333333333333,15,0.0,-0.13798213426739767,0.33803183740355325,-1.0910680398124328,0.29159463940191166,3000,0.38466666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__pan Cytokeratin,-0.09403501577027082,0.1264582907809727,0.4666666666666667,15,0.3333333333333333,-0.22197959638551082,0.3832523694096612,-1.311102444789256,0.0,3000,0.4056666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-Histone,-0.0014918218064431466,0.005470353057250948,0.13333333333333333,15,0.0,-0.004370274794904635,0.22035424242504545,-0.5440757613092531,0.5442702934004697,3000,0.23066666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-S6,-0.15970185310728885,0.17160344105155392,0.6666666666666666,15,1.0,-0.0731795430356259,0.2830467736770166,-0.8990634685488763,0.4239693151681176,3000,0.2886666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__phospho-mTOR,-0.0367484026575767,0.14232595149251892,0.06666666666666667,15,0.0,-0.07656210344307023,0.2733362639235062,-0.9389529698315578,0.17351920547585525,3000,0.22566666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_max_expression__vWF,0.0,0.0,0.0,15,0.0,-0.004764018742157749,0.22247672427221585,-0.5589471981835192,0.4789586273357938,3000,0.15266666666666667,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__CD20,-0.0060883500290033815,0.020513517865852388,0.13333333333333333,15,0.0,-0.01580523872903019,0.06847543657885945,-0.22113193385635596,0.0,3000,0.10533333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__CD3,0.0,0.0,0.0,15,0.0,0.008196969437850877,0.05105447286983519,0.0,0.12668383276804787,3000,0.048,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__CD44,0.0,0.0,0.0,15,0.0,-0.0008701719888234538,0.03714249357620105,-0.02335122760696236,0.0,3000,0.04466666666666667,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__CD45,0.0,0.0,0.0,15,0.0,-0.0042741027554272035,0.036917666210991275,-0.02086733277261066,0.0,3000,0.03166666666666667,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__CD68,0.0,0.0,0.0,15,0.0,0.0019537684305224946,0.02336983254909391,0.0,0.0,3000,0.021,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Carbonic Anhydrase IX,-0.08302098557226122,0.10822551182275554,0.4666666666666667,15,0.3333333333333333,-0.06553946105606251,0.143951787526526,-0.5017756283105326,0.0,3000,0.274,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 19,0.0,0.0,0.0,15,0.0,0.00803416200460207,0.04962526602636933,0.0,0.12718955979047875,3000,0.054,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 5,0.0,0.0,0.0,15,0.0,0.0007281816947618723,0.02012942251614602,0.0,0.0,3000,0.007,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 7,0.04332768021671206,0.11083316150839846,0.26666666666666666,15,0.0,0.07333927432300978,0.17111794314451942,0.0,0.6054559589972611,3000,0.25466666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 8/18,0.0,0.0,0.0,15,0.0,0.011346023642038506,0.07929620343863665,-0.007414421042575163,0.26328322734196735,3000,0.09666666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__DNA1,0.0,0.0,0.0,15,0.0,-0.0029568613346011526,0.02586721504363902,-0.023621006332735266,0.0,3000,0.035,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__EGFR,0.0,0.0,0.0,15,0.0,0.0028625207852908344,0.0423117562028128,0.0,0.00770446480703964,3000,0.036333333333333336,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_expression__Ecadherin,0.0,0.0,0.0,15,0.0,0.01259594217509364,0.06919800000944393,0.0,0.19280871263128466,3000,0.059333333333333335,not selected,crosses zero
