dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__CD20,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__CD3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__CD44,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__CD45,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__CD68,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Carbonic Anhydrase IX,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Cytokeratin 19,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Cytokeratin 5,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Cytokeratin 7,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Cytokeratin 8/18,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__DNA1,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__EGFR,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Ecadherin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Estrogen,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Fibronectin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__GATA3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Histone H3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Keratin 14 (KRT14),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Ki-67,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Progesterone Receptor A/B,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__SMA,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Slug,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Twist,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__Vimentin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__c-Myc,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__c-erbB-2 - Her2,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__cleaved PARP,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__p53,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__pan Cytokeratin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-S6,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-mTOR,0.0,False
