dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_max_expression__CD20,0,-0.07070701437243287,0.07042305314051839,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__CD20,1,-0.06356837795126342,0.09284016613586263,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__CD20,2,-0.03169118156890617,0.06873270315336917,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__CD3,0,-0.06289622249901726,0.08618017401145675,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__CD3,1,-0.014377697614212561,0.020016924146699113,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__CD3,2,-0.10193881573556118,0.13245547060863752,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__CD44,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__CD44,1,0.04376669818890765,0.10746256559502361,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__CD44,2,-0.0010909604513114775,0.0024394617298963135,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__CD45,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__CD45,1,-0.07760389363128437,0.14262312969226712,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__CD45,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__CD68,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__CD68,1,-0.031817107566200695,0.1564483495559997,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__CD68,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__Carbonic Anhydrase IX,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__Carbonic Anhydrase IX,1,-0.01630556075486491,0.036460342259130724,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__Carbonic Anhydrase IX,2,-0.02102424621128302,0.04701164370412123,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 19,0,-0.09238894891605827,0.13861001191722647,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Cytokeratin 19,1,-0.05696544995630354,0.10376874468533054,0.4,5,False
