dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,celltype_density,cv,auc_roc,0.6370856270356536,0.070025162998229,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.637 +/- 0.070
bc_jackson2020,motif_cd8_tumor_contact,attention,celltype_density,cv,auc_roc,0.640194859856772,0.07226292670954484,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.640 +/- 0.072
bc_jackson2020,motif_macrophage_tumor_niche,attention,celltype_density,cv,auc_roc,0.6455201082332508,0.11515202656131539,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.646 +/- 0.115
bc_jackson2020,motif_t_tumor_mixing,attention,celltype_density,cv,auc_roc,0.618028862188856,0.09783419246835637,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.618 +/- 0.098
bc_jackson2020,motif_tumor_high,attention,celltype_density,cv,auc_roc,0.966100143737064,0.02516958520944288,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.966 +/- 0.025
bc_jackson2020,motif_cd8_high,attention,celltype_density,cv,auc_roc,0.9220016378147909,0.0184347954789596,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.922 +/- 0.018
hnc_wu2022,motif_cd8_clustering,attention,celltype_density,cv,auc_roc,0.8482517993484855,0.11233566985132082,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.848 +/- 0.112
hnc_wu2022,motif_immune_exclusion,attention,celltype_density,cv,auc_roc,0.8000773642995004,0.09152545641846853,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.800 +/- 0.092
hnc_wu2022,motif_tumor_high,attention,celltype_density,cv,auc_roc,0.9426082659672123,0.02795179150661216,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.943 +/- 0.028
hnc_wu2022,motif_cd8_high,attention,celltype_density,cv,auc_roc,0.9538473759435112,0.023946054226367818,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.954 +/- 0.024
tnbc_wang2023,motif_cd8_high,attention,celltype_density,cv,auc_roc,0.9666080530699664,0.010243312245935323,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.967 +/- 0.010
tnbc_wang2023,motif_tumor_high,attention,celltype_density,cv,auc_roc,0.9704879072345084,0.01530287623406501,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.970 +/- 0.015
bc_metabric_ali2020,motif_interface_immune,attention,celltype_density,cv,auc_roc,0.5938671644284367,0.07018379187727505,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.594 +/- 0.070
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,celltype_density,cv,auc_roc,0.7466045303672479,0.07707259794445533,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.747 +/- 0.077
bc_metabric_ali2020,motif_tumor_high,attention,celltype_density,cv,auc_roc,0.9697188001718946,0.01443261554674544,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.970 +/- 0.014
bc_metabric_ali2020,motif_cd8_high,attention,celltype_density,cv,auc_roc,0.9642917047883057,0.0176857394402752,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.964 +/- 0.018
