dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,composition+celltype_density,cv,auc_roc,0.6498724585415177,0.08497659538757125,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.650 +/- 0.085
bc_jackson2020,motif_cd8_tumor_contact,attention,composition+celltype_density,cv,auc_roc,0.7010888187503099,0.06677089437762114,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.701 +/- 0.067
bc_jackson2020,motif_macrophage_tumor_niche,attention,composition+celltype_density,cv,auc_roc,0.6759003414081899,0.08739835333628666,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.676 +/- 0.087
bc_jackson2020,motif_t_tumor_mixing,attention,composition+celltype_density,cv,auc_roc,0.7014474979173625,0.08148250434437962,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.701 +/- 0.081
bc_jackson2020,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.972940190129476,0.0163133792749947,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.973 +/- 0.016
bc_jackson2020,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.9318770058574983,0.018638290033882784,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.932 +/- 0.019
hnc_wu2022,motif_cd8_clustering,attention,composition+celltype_density,cv,auc_roc,0.8331065240832882,0.10746149810563563,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.833 +/- 0.107
hnc_wu2022,motif_immune_exclusion,attention,composition+celltype_density,cv,auc_roc,0.8265420262524237,0.09769308241901148,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.827 +/- 0.098
hnc_wu2022,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.9529670764958287,0.030045077202503042,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.953 +/- 0.030
hnc_wu2022,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.9597519428159373,0.026488393910593665,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.960 +/- 0.026
tnbc_wang2023,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.9690458191268818,0.0077668215699680816,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.969 +/- 0.008
tnbc_wang2023,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.9800030325915993,0.009603374970307891,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.980 +/- 0.010
bc_metabric_ali2020,motif_interface_immune,attention,composition+celltype_density,cv,auc_roc,0.5810796544449468,0.05835662843021588,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.581 +/- 0.058
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,composition+celltype_density,cv,auc_roc,0.7379467821325059,0.0811151122493658,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.738 +/- 0.081
bc_metabric_ali2020,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.9806796263235024,0.010398603524622345,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.981 +/- 0.010
bc_metabric_ali2020,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.9665750835572359,0.015679839301525493,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.967 +/- 0.016
