dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,composition+celltype_density,cv,auc_roc,0.6436335561545887,0.07958812932389529,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.644 +/- 0.080
bc_jackson2020,motif_cd8_tumor_contact,attention,composition+celltype_density,cv,auc_roc,0.6751620729875895,0.06955893839275505,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.675 +/- 0.070
bc_jackson2020,motif_macrophage_tumor_niche,attention,composition+celltype_density,cv,auc_roc,0.6539161716871114,0.06102427894784408,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.654 +/- 0.061
bc_jackson2020,motif_t_tumor_mixing,attention,composition+celltype_density,cv,auc_roc,0.7483600131542258,0.07598222038408232,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.748 +/- 0.076
bc_jackson2020,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.8992841266963075,0.0325187263445018,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.899 +/- 0.033
bc_jackson2020,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.8395600432948894,0.027079529601568675,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.840 +/- 0.027
hnc_wu2022,motif_cd8_clustering,attention,composition+celltype_density,cv,auc_roc,0.7445882260290637,0.09347349173390881,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.745 +/- 0.093
hnc_wu2022,motif_immune_exclusion,attention,composition+celltype_density,cv,auc_roc,0.7467807639878398,0.08120716228198549,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.747 +/- 0.081
hnc_wu2022,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.8729030778056963,0.04492698851430901,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.873 +/- 0.045
hnc_wu2022,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.8920088066153314,0.0401470057543401,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.892 +/- 0.040
tnbc_wang2023,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.8854672293483703,0.024733268310457187,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.885 +/- 0.025
tnbc_wang2023,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.8875023099763981,0.02027257831915222,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.888 +/- 0.020
bc_metabric_ali2020,motif_interface_immune,attention,composition+celltype_density,cv,auc_roc,0.5423494728508788,0.06301194281243729,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.542 +/- 0.063
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,composition+celltype_density,cv,auc_roc,0.7154078413532843,0.04383671296336652,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.715 +/- 0.044
bc_metabric_ali2020,motif_tumor_high,attention,composition+celltype_density,cv,auc_roc,0.9154329501494008,0.027719928516425355,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.915 +/- 0.028
bc_metabric_ali2020,motif_cd8_high,attention,composition+celltype_density,cv,auc_roc,0.827380460745173,0.04861793401896965,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.827 +/- 0.049
