dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,composition,cv,auc_roc,0.6012380961330986,0.07713694527483816,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.601 +/- 0.077
bc_jackson2020,motif_cd8_tumor_contact,attention,composition,cv,auc_roc,0.7368512539511429,0.050614472672946886,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.737 +/- 0.051
bc_jackson2020,motif_macrophage_tumor_niche,attention,composition,cv,auc_roc,0.6988601643218448,0.10464495704054004,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.699 +/- 0.105
bc_jackson2020,motif_t_tumor_mixing,attention,composition,cv,auc_roc,0.7301858004985189,0.08046575097257183,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.730 +/- 0.080
bc_jackson2020,motif_tumor_high,attention,composition,cv,auc_roc,0.9559321838565987,0.029257268595428067,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.956 +/- 0.029
bc_jackson2020,motif_cd8_high,attention,composition,cv,auc_roc,0.9308682031721626,0.015704119934857583,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.931 +/- 0.016
hnc_wu2022,motif_cd8_clustering,attention,composition,cv,auc_roc,0.8348110641636045,0.1097319799040973,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.835 +/- 0.110
hnc_wu2022,motif_immune_exclusion,attention,composition,cv,auc_roc,0.8496581582475543,0.09954594180388046,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.850 +/- 0.100
hnc_wu2022,motif_tumor_high,attention,composition,cv,auc_roc,0.9395690575843305,0.03462245342040212,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.940 +/- 0.035
hnc_wu2022,motif_cd8_high,attention,composition,cv,auc_roc,0.9601403615995584,0.02314243591592232,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.960 +/- 0.023
tnbc_wang2023,motif_cd8_high,attention,composition,cv,auc_roc,0.9647882788797041,0.011636980059495261,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.965 +/- 0.012
tnbc_wang2023,motif_tumor_high,attention,composition,cv,auc_roc,0.9774631989251944,0.008776404064319893,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.977 +/- 0.009
bc_metabric_ali2020,motif_interface_immune,attention,composition,cv,auc_roc,0.5730730164126139,0.061477633146250696,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.573 +/- 0.061
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,composition,cv,auc_roc,0.7660506554651324,0.06537184866229576,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.766 +/- 0.065
bc_metabric_ali2020,motif_tumor_high,attention,composition,cv,auc_roc,0.96991201470397,0.011862211888112286,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.970 +/- 0.012
bc_metabric_ali2020,motif_cd8_high,attention,composition,cv,auc_roc,0.9596166201098354,0.01751555468060121,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.960 +/- 0.018
