dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,mixing+celltype_density,cv,auc_roc,0.5940620549701516,0.0964626418878769,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.594 +/- 0.096
bc_jackson2020,motif_cd8_tumor_contact,attention,mixing+celltype_density,cv,auc_roc,0.6266263963517578,0.06695067140360834,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.627 +/- 0.067
bc_jackson2020,motif_macrophage_tumor_niche,attention,mixing+celltype_density,cv,auc_roc,0.6185695392086903,0.08193932153326583,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.619 +/- 0.082
bc_jackson2020,motif_t_tumor_mixing,attention,mixing+celltype_density,cv,auc_roc,0.6422920444058443,0.06387636416800381,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.642 +/- 0.064
bc_jackson2020,motif_tumor_high,attention,mixing+celltype_density,cv,auc_roc,0.8637114963026505,0.04931996285257588,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.864 +/- 0.049
bc_jackson2020,motif_cd8_high,attention,mixing+celltype_density,cv,auc_roc,0.7951139472646606,0.03768396504452978,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.795 +/- 0.038
hnc_wu2022,motif_cd8_clustering,attention,mixing+celltype_density,cv,auc_roc,0.7132345565240619,0.06713388515156507,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.713 +/- 0.067
hnc_wu2022,motif_immune_exclusion,attention,mixing+celltype_density,cv,auc_roc,0.7872223821562686,0.08427485949137654,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.787 +/- 0.084
hnc_wu2022,motif_tumor_high,attention,mixing+celltype_density,cv,auc_roc,0.8958105471079512,0.038719206258644466,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.896 +/- 0.039
hnc_wu2022,motif_cd8_high,attention,mixing+celltype_density,cv,auc_roc,0.8830272124449259,0.04404565230330948,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.883 +/- 0.044
tnbc_wang2023,motif_cd8_high,attention,mixing+celltype_density,cv,auc_roc,0.8677761006898052,0.028193657263074382,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.868 +/- 0.028
tnbc_wang2023,motif_tumor_high,attention,mixing+celltype_density,cv,auc_roc,0.865819453062805,0.03055059767134234,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.866 +/- 0.031
bc_metabric_ali2020,motif_interface_immune,attention,mixing+celltype_density,cv,auc_roc,0.5561850324982972,0.08172313174212135,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.556 +/- 0.082
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,mixing+celltype_density,cv,auc_roc,0.6357149039398533,0.061147511520838284,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.636 +/- 0.061
bc_metabric_ali2020,motif_tumor_high,attention,mixing+celltype_density,cv,auc_roc,0.8743696122143844,0.04568571244132775,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.874 +/- 0.046
bc_metabric_ali2020,motif_cd8_high,attention,mixing+celltype_density,cv,auc_roc,0.8152331197787223,0.044326639218269806,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.815 +/- 0.044
