dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,mixing,cv,auc_roc,0.6585772934018548,0.07046888969642205,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.659 +/- 0.070
bc_jackson2020,motif_cd8_tumor_contact,attention,mixing,cv,auc_roc,0.6285920651495208,0.07142321259712163,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.629 +/- 0.071
bc_jackson2020,motif_macrophage_tumor_niche,attention,mixing,cv,auc_roc,0.6248163063752475,0.07602482888185869,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.625 +/- 0.076
bc_jackson2020,motif_t_tumor_mixing,attention,mixing,cv,auc_roc,0.5964850981692097,0.07193309177114623,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.596 +/- 0.072
bc_jackson2020,motif_tumor_high,attention,mixing,cv,auc_roc,0.9417226436009788,0.03330786470204726,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.942 +/- 0.033
bc_jackson2020,motif_cd8_high,attention,mixing,cv,auc_roc,0.9166494866479911,0.02564865127925807,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.917 +/- 0.026
hnc_wu2022,motif_cd8_clustering,attention,mixing,cv,auc_roc,0.810812859011936,0.09193589937124866,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.811 +/- 0.092
hnc_wu2022,motif_immune_exclusion,attention,mixing,cv,auc_roc,0.8878337451305717,0.05788402799054299,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.888 +/- 0.058
hnc_wu2022,motif_tumor_high,attention,mixing,cv,auc_roc,0.9545935248799781,0.02421588374050358,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.955 +/- 0.024
hnc_wu2022,motif_cd8_high,attention,mixing,cv,auc_roc,0.9577359731066973,0.027437163491587778,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.958 +/- 0.027
tnbc_wang2023,motif_cd8_high,attention,mixing,cv,auc_roc,0.9720046976431157,0.01084990890706454,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.972 +/- 0.011
tnbc_wang2023,motif_tumor_high,attention,mixing,cv,auc_roc,0.9706098562239098,0.01059660247877432,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.971 +/- 0.011
bc_metabric_ali2020,motif_interface_immune,attention,mixing,cv,auc_roc,0.6152279664031474,0.07851480476876126,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.615 +/- 0.079
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,mixing,cv,auc_roc,0.7058145941742333,0.04568708851624253,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.706 +/- 0.046
bc_metabric_ali2020,motif_tumor_high,attention,mixing,cv,auc_roc,0.9682003867073681,0.01426698603360245,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.968 +/- 0.014
bc_metabric_ali2020,motif_cd8_high,attention,mixing,cv,auc_roc,0.9521450805591726,0.021680315691312586,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.952 +/- 0.022
