dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,attention,mixing,cv,auc_roc,0.591267514016987,0.10493651740567221,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.591 +/- 0.105
bc_jackson2020,motif_cd8_tumor_contact,attention,mixing,cv,auc_roc,0.6229915060420209,0.06279280668652898,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.623 +/- 0.063
bc_jackson2020,motif_macrophage_tumor_niche,attention,mixing,cv,auc_roc,0.6257068094475887,0.08896027647706585,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.626 +/- 0.089
bc_jackson2020,motif_t_tumor_mixing,attention,mixing,cv,auc_roc,0.6392384242777803,0.06973086117056201,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.639 +/- 0.070
bc_jackson2020,motif_tumor_high,attention,mixing,cv,auc_roc,0.858859717962745,0.052663086942856235,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.859 +/- 0.053
bc_jackson2020,motif_cd8_high,attention,mixing,cv,auc_roc,0.7951507893599575,0.03806047266911689,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.795 +/- 0.038
hnc_wu2022,motif_cd8_clustering,attention,mixing,cv,auc_roc,0.7419420518999009,0.05795264380636203,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.742 +/- 0.058
hnc_wu2022,motif_immune_exclusion,attention,mixing,cv,auc_roc,0.8107875638593888,0.07553018507383605,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.811 +/- 0.076
hnc_wu2022,motif_tumor_high,attention,mixing,cv,auc_roc,0.901150756292344,0.03291037845439247,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.901 +/- 0.033
hnc_wu2022,motif_cd8_high,attention,mixing,cv,auc_roc,0.8762789126455169,0.03722661473763459,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.876 +/- 0.037
tnbc_wang2023,motif_cd8_high,attention,mixing,cv,auc_roc,0.8672033639128475,0.02766497921122528,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.867 +/- 0.028
tnbc_wang2023,motif_tumor_high,attention,mixing,cv,auc_roc,0.8687296590769598,0.02796241272456653,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.869 +/- 0.028
bc_metabric_ali2020,motif_interface_immune,attention,mixing,cv,auc_roc,0.5473346270661961,0.07958579202507736,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.547 +/- 0.080
bc_metabric_ali2020,motif_tumor_stroma_mixing,attention,mixing,cv,auc_roc,0.626737002180304,0.0558850307220245,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.627 +/- 0.056
bc_metabric_ali2020,motif_tumor_high,attention,mixing,cv,auc_roc,0.8717821335748597,0.04825553653645746,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.872 +/- 0.048
bc_metabric_ali2020,motif_cd8_high,attention,mixing,cv,auc_roc,0.8111520168962251,0.049946420944929466,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.811 +/- 0.050
