dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,celltype_density,cv,auc_roc,0.5912731232478708,0.0731312699216125,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.591 +/- 0.073
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,celltype_density,cv,auc_roc,0.5528391200445546,0.08404740069131178,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.553 +/- 0.084
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,celltype_density,cv,auc_roc,0.5502232247877061,0.07321909874957808,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.550 +/- 0.073
bc_jackson2020,motif_t_tumor_mixing,linear_mean,celltype_density,cv,auc_roc,0.525113033610969,0.07433503380072745,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.525 +/- 0.074
bc_jackson2020,motif_tumor_high,linear_mean,celltype_density,cv,auc_roc,0.9948639101791386,0.006626911739420403,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.995 +/- 0.007
bc_jackson2020,motif_cd8_high,linear_mean,celltype_density,cv,auc_roc,0.9538924091962168,0.017523936350296122,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.954 +/- 0.018
hnc_wu2022,motif_cd8_clustering,linear_mean,celltype_density,cv,auc_roc,0.558711667889844,0.07478284431521201,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.559 +/- 0.075
hnc_wu2022,motif_immune_exclusion,linear_mean,celltype_density,cv,auc_roc,0.654292955759029,0.10624862991511096,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.654 +/- 0.106
hnc_wu2022,motif_tumor_high,linear_mean,celltype_density,cv,auc_roc,0.9959004946021024,0.005433752416655575,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.996 +/- 0.005
hnc_wu2022,motif_cd8_high,linear_mean,celltype_density,cv,auc_roc,0.9890218593605576,0.007289620220483885,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.989 +/- 0.007
tnbc_wang2023,motif_cd8_high,linear_mean,celltype_density,cv,auc_roc,0.9928271525424791,0.00369306103783099,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.993 +/- 0.004
tnbc_wang2023,motif_tumor_high,linear_mean,celltype_density,cv,auc_roc,0.9945445608201242,0.0034496921887758117,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.995 +/- 0.003
bc_metabric_ali2020,motif_interface_immune,linear_mean,celltype_density,cv,auc_roc,0.5988533464143754,0.06911199785347977,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.599 +/- 0.069
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,celltype_density,cv,auc_roc,0.6223332841971453,0.07018778554883039,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.622 +/- 0.070
bc_metabric_ali2020,motif_tumor_high,linear_mean,celltype_density,cv,auc_roc,0.9950874587765915,0.003753350848695195,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.995 +/- 0.004
bc_metabric_ali2020,motif_cd8_high,linear_mean,celltype_density,cv,auc_roc,0.9634708489744291,0.016514286668114248,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.963 +/- 0.017
