dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,composition+celltype_density,cv,auc_roc,0.6201290777960102,0.07351016633261463,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.620 +/- 0.074
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,composition+celltype_density,cv,auc_roc,0.5133471352304781,0.07448307425236646,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.513 +/- 0.074
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,composition+celltype_density,cv,auc_roc,0.5547067755039438,0.07391240989705768,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.555 +/- 0.074
bc_jackson2020,motif_t_tumor_mixing,linear_mean,composition+celltype_density,cv,auc_roc,0.5062143786644568,0.07217220907085442,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.506 +/- 0.072
bc_jackson2020,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9897637242473452,0.010207176943206836,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.990 +/- 0.010
bc_jackson2020,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9620909950642833,0.016344769867648604,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.962 +/- 0.016
hnc_wu2022,motif_cd8_clustering,linear_mean,composition+celltype_density,cv,auc_roc,0.5557674079207549,0.08509885749400786,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.556 +/- 0.085
hnc_wu2022,motif_immune_exclusion,linear_mean,composition+celltype_density,cv,auc_roc,0.7213276876202573,0.10315302346907505,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.721 +/- 0.103
hnc_wu2022,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9891243914221818,0.010937058553649126,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.989 +/- 0.011
hnc_wu2022,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9936219877276964,0.0065472047290375274,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.994 +/- 0.007
tnbc_wang2023,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9905828683933809,0.005404773403622763,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.991 +/- 0.005
tnbc_wang2023,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9950029604101833,0.003502475417615763,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.995 +/- 0.004
bc_metabric_ali2020,motif_interface_immune,linear_mean,composition+celltype_density,cv,auc_roc,0.6427166981873546,0.07209256359183769,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.643 +/- 0.072
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,composition+celltype_density,cv,auc_roc,0.6578047195240097,0.07076987835351665,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.658 +/- 0.071
bc_metabric_ali2020,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9941459077414622,0.004630965653684718,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.994 +/- 0.005
bc_metabric_ali2020,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9744934777541301,0.011738442441649493,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.974 +/- 0.012
