dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,composition+celltype_density,cv,auc_roc,0.6339965962423,0.0765551254595578,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.634 +/- 0.077
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,composition+celltype_density,cv,auc_roc,0.5901453507390186,0.05711000377714807,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.590 +/- 0.057
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,composition+celltype_density,cv,auc_roc,0.5388413694022234,0.08000383815889009,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.539 +/- 0.080
bc_jackson2020,motif_t_tumor_mixing,linear_mean,composition+celltype_density,cv,auc_roc,0.6074552673656323,0.08812268205656287,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.607 +/- 0.088
bc_jackson2020,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9451740347826878,0.025847692117109113,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.945 +/- 0.026
bc_jackson2020,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.8811241897394316,0.031645939493144856,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.881 +/- 0.032
hnc_wu2022,motif_cd8_clustering,linear_mean,composition+celltype_density,cv,auc_roc,0.5762661550427455,0.06438429097491868,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.576 +/- 0.064
hnc_wu2022,motif_immune_exclusion,linear_mean,composition+celltype_density,cv,auc_roc,0.653363592832319,0.10611252871456338,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.653 +/- 0.106
hnc_wu2022,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9402987489551528,0.03039215836103682,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.940 +/- 0.030
hnc_wu2022,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9293237596287582,0.03189150301081426,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.929 +/- 0.032
tnbc_wang2023,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9129710545096578,0.020154627789644237,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.913 +/- 0.020
tnbc_wang2023,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9286565552688787,0.018919700981335722,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.929 +/- 0.019
bc_metabric_ali2020,motif_interface_immune,linear_mean,composition+celltype_density,cv,auc_roc,0.6029813923602546,0.08530210484724775,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.603 +/- 0.085
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,composition+celltype_density,cv,auc_roc,0.6314462821723826,0.05966303816016531,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.631 +/- 0.060
bc_metabric_ali2020,motif_tumor_high,linear_mean,composition+celltype_density,cv,auc_roc,0.9388454333172475,0.019276631541172214,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.939 +/- 0.019
bc_metabric_ali2020,motif_cd8_high,linear_mean,composition+celltype_density,cv,auc_roc,0.8319645820470195,0.030146284995777265,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.832 +/- 0.030
