dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,composition+mixing,cv,auc_roc,0.6056965060851293,0.07846640546719004,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.606 +/- 0.078
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,composition+mixing,cv,auc_roc,0.603335965378722,0.09242572431870333,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.603 +/- 0.092
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,composition+mixing,cv,auc_roc,0.5493315018599721,0.0671390160279083,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.549 +/- 0.067
bc_jackson2020,motif_t_tumor_mixing,linear_mean,composition+mixing,cv,auc_roc,0.6286005919804117,0.08497224385996603,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.629 +/- 0.085
bc_jackson2020,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9688133988269177,0.023639768208456008,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.969 +/- 0.024
bc_jackson2020,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.9421718721728918,0.023963014168021424,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.942 +/- 0.024
hnc_wu2022,motif_cd8_clustering,linear_mean,composition+mixing,cv,auc_roc,0.7484620062212203,0.05497488296815844,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.748 +/- 0.055
hnc_wu2022,motif_immune_exclusion,linear_mean,composition+mixing,cv,auc_roc,0.8601533180919145,0.09170456121811581,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.860 +/- 0.092
hnc_wu2022,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9601064715652721,0.029138954329390655,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.960 +/- 0.029
hnc_wu2022,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.9792272653462547,0.01950659565548767,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.979 +/- 0.020
tnbc_wang2023,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.9593761952825061,0.015143840658715454,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.959 +/- 0.015
tnbc_wang2023,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9613674679918728,0.013326118992809685,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.961 +/- 0.013
bc_metabric_ali2020,motif_interface_immune,linear_mean,composition+mixing,cv,auc_roc,0.5355482053282029,0.056924291619715676,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.536 +/- 0.057
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,composition+mixing,cv,auc_roc,0.7779448189571726,0.03846924029402305,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.778 +/- 0.038
bc_metabric_ali2020,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9701849293020549,0.012109701581445162,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.970 +/- 0.012
bc_metabric_ali2020,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.9104020026447286,0.02482217281535662,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.910 +/- 0.025
