dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,composition+mixing,cv,auc_roc,0.6473833722210578,0.08330126606484889,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.647 +/- 0.083
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,composition+mixing,cv,auc_roc,0.6267165150908139,0.07189820315986778,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.627 +/- 0.072
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,composition+mixing,cv,auc_roc,0.5971438731168219,0.05814817320283411,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.597 +/- 0.058
bc_jackson2020,motif_t_tumor_mixing,linear_mean,composition+mixing,cv,auc_roc,0.6969307727305644,0.05946289546271437,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.697 +/- 0.059
bc_jackson2020,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9165508528100428,0.04759298493521299,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.917 +/- 0.048
bc_jackson2020,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.8349049960039003,0.03992789626072482,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.835 +/- 0.040
hnc_wu2022,motif_cd8_clustering,linear_mean,composition+mixing,cv,auc_roc,0.6860138010169389,0.07418436015089412,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.686 +/- 0.074
hnc_wu2022,motif_immune_exclusion,linear_mean,composition+mixing,cv,auc_roc,0.7712204050902642,0.06437065795816667,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.771 +/- 0.064
hnc_wu2022,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.9039734667122068,0.03975879907840129,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.904 +/- 0.040
hnc_wu2022,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.9298916244373542,0.02535383886432442,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.930 +/- 0.025
tnbc_wang2023,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.8434846228230685,0.03739654174896282,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.843 +/- 0.037
tnbc_wang2023,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.8671598831097638,0.026710321666367026,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.867 +/- 0.027
bc_metabric_ali2020,motif_interface_immune,linear_mean,composition+mixing,cv,auc_roc,0.566587222371736,0.0578937962971337,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.567 +/- 0.058
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,composition+mixing,cv,auc_roc,0.7343795341964795,0.06726623448427116,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.734 +/- 0.067
bc_metabric_ali2020,motif_tumor_high,linear_mean,composition+mixing,cv,auc_roc,0.8713589923322617,0.031085870914746155,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.871 +/- 0.031
bc_metabric_ali2020,motif_cd8_high,linear_mean,composition+mixing,cv,auc_roc,0.7484400017644712,0.04997210512574562,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.748 +/- 0.050
