dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,composition,cv,auc_roc,0.5902041239718007,0.09230153013597996,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.590 +/- 0.092
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,composition,cv,auc_roc,0.5627807833827123,0.06777003194053478,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.563 +/- 0.068
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,composition,cv,auc_roc,0.5662822889523411,0.06722617631965067,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.566 +/- 0.067
bc_jackson2020,motif_t_tumor_mixing,linear_mean,composition,cv,auc_roc,0.5394252602209624,0.06737481024781818,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.539 +/- 0.067
bc_jackson2020,motif_tumor_high,linear_mean,composition,cv,auc_roc,0.979290423073399,0.01613556742718132,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.979 +/- 0.016
bc_jackson2020,motif_cd8_high,linear_mean,composition,cv,auc_roc,0.9596402679800096,0.012307199628883188,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.960 +/- 0.012
hnc_wu2022,motif_cd8_clustering,linear_mean,composition,cv,auc_roc,0.5515544914203827,0.0671573607931894,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.552 +/- 0.067
hnc_wu2022,motif_immune_exclusion,linear_mean,composition,cv,auc_roc,0.6591619808783123,0.1095314257641027,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.659 +/- 0.110
hnc_wu2022,motif_tumor_high,linear_mean,composition,cv,auc_roc,0.9609638485866185,0.028876277949525762,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.961 +/- 0.029
hnc_wu2022,motif_cd8_high,linear_mean,composition,cv,auc_roc,0.9902801336781557,0.0058964290859294215,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.990 +/- 0.006
tnbc_wang2023,motif_cd8_high,linear_mean,composition,cv,auc_roc,0.991373640657127,0.0051142513346287355,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.991 +/- 0.005
tnbc_wang2023,motif_tumor_high,linear_mean,composition,cv,auc_roc,0.9918516470793626,0.0045698565349997266,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.992 +/- 0.005
bc_metabric_ali2020,motif_interface_immune,linear_mean,composition,cv,auc_roc,0.5637277814547169,0.07800813721882177,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.564 +/- 0.078
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,composition,cv,auc_roc,0.6096650240537599,0.06189960339737701,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.610 +/- 0.062
bc_metabric_ali2020,motif_tumor_high,linear_mean,composition,cv,auc_roc,0.9891791170374188,0.004482246954711563,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.989 +/- 0.004
bc_metabric_ali2020,motif_cd8_high,linear_mean,composition,cv,auc_roc,0.9727108074274308,0.012590631055810318,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.973 +/- 0.013
