dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,mixing+celltype_density,cv,auc_roc,0.5837162118897897,0.06785972055756972,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.584 +/- 0.068
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,mixing+celltype_density,cv,auc_roc,0.5929978510941553,0.09891821106766888,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.593 +/- 0.099
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,mixing+celltype_density,cv,auc_roc,0.5474019800520262,0.07716676946972086,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.547 +/- 0.077
bc_jackson2020,motif_t_tumor_mixing,linear_mean,mixing+celltype_density,cv,auc_roc,0.6013401156958392,0.08101108701021122,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.601 +/- 0.081
bc_jackson2020,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9743450573706445,0.017229629386437982,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.974 +/- 0.017
bc_jackson2020,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9277264915561325,0.029562619008885783,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_jackson2020_v2.csv,0.928 +/- 0.030
hnc_wu2022,motif_cd8_clustering,linear_mean,mixing+celltype_density,cv,auc_roc,0.6989247668433849,0.07780497244183661,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.699 +/- 0.078
hnc_wu2022,motif_immune_exclusion,linear_mean,mixing+celltype_density,cv,auc_roc,0.7943789130450637,0.07467942332262942,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.794 +/- 0.075
hnc_wu2022,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9906371233579592,0.010140807956370576,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.991 +/- 0.010
hnc_wu2022,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.976582098896576,0.02307760099220967,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/hnc_wu2022_v2.csv,0.977 +/- 0.023
tnbc_wang2023,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9526437411542634,0.016721213662583036,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.953 +/- 0.017
tnbc_wang2023,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9596464126788964,0.013799061251305157,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/tnbc_wang2023_v2.csv,0.960 +/- 0.014
bc_metabric_ali2020,motif_interface_immune,linear_mean,mixing+celltype_density,cv,auc_roc,0.53716710655037,0.05800569174835979,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.537 +/- 0.058
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,mixing+celltype_density,cv,auc_roc,0.77636027297003,0.03887729823501007,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.776 +/- 0.039
bc_metabric_ali2020,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9755447709647039,0.012513656196578902,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.976 +/- 0.013
bc_metabric_ali2020,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9018777405061722,0.02719852436255946,15,/autofs/nas8/tywang/tjzou/TME_modeling_benchmark/results/pseudo_labels/bc_metabric_ali2020_v2.csv,0.902 +/- 0.027
