dataset,task,method,feature_groups,scheme,metric,mean,sd,n,labels,score
bc_jackson2020,motif_apc_t_contact,linear_mean,mixing+celltype_density,cv,auc_roc,0.650272110207835,0.07374618700166029,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.650 +/- 0.074
bc_jackson2020,motif_cd8_tumor_contact,linear_mean,mixing+celltype_density,cv,auc_roc,0.6289192922726357,0.07303605580293111,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.629 +/- 0.073
bc_jackson2020,motif_macrophage_tumor_niche,linear_mean,mixing+celltype_density,cv,auc_roc,0.585090243530413,0.052669165724662396,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.585 +/- 0.053
bc_jackson2020,motif_t_tumor_mixing,linear_mean,mixing+celltype_density,cv,auc_roc,0.6664902471153059,0.06750272648759899,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.666 +/- 0.068
bc_jackson2020,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9168664836649694,0.04660670187923782,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.917 +/- 0.047
bc_jackson2020,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.8336166579055196,0.03582321618355596,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_jackson2020_v2_noisy.csv,0.834 +/- 0.036
hnc_wu2022,motif_cd8_clustering,linear_mean,mixing+celltype_density,cv,auc_roc,0.6546540457039793,0.07592857771064238,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.655 +/- 0.076
hnc_wu2022,motif_immune_exclusion,linear_mean,mixing+celltype_density,cv,auc_roc,0.6793685713221772,0.07543558097494758,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.679 +/- 0.075
hnc_wu2022,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9204200620767141,0.03183650329525378,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.920 +/- 0.032
hnc_wu2022,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.9189135108185824,0.03075689496871535,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/hnc_wu2022_v2_noisy.csv,0.919 +/- 0.031
tnbc_wang2023,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.8406640158401658,0.03574454008941313,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.841 +/- 0.036
tnbc_wang2023,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.8624079861867495,0.024091923626384803,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/tnbc_wang2023_v2_noisy.csv,0.862 +/- 0.024
bc_metabric_ali2020,motif_interface_immune,linear_mean,mixing+celltype_density,cv,auc_roc,0.5649795648735055,0.06139704459882065,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.565 +/- 0.061
bc_metabric_ali2020,motif_tumor_stroma_mixing,linear_mean,mixing+celltype_density,cv,auc_roc,0.74384679510066,0.0617913933061258,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.744 +/- 0.062
bc_metabric_ali2020,motif_tumor_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.8657180464638067,0.03364538468871543,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.866 +/- 0.034
bc_metabric_ali2020,motif_cd8_high,linear_mean,mixing+celltype_density,cv,auc_roc,0.7339461948645489,0.05703647549293486,15,/autofs/nas8/tywang/tjzou/PseudoNoisyDataset/per_dataset/bc_metabric_ali2020_v2_noisy.csv,0.734 +/- 0.057
