dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_expression,gate2_expression,decision,in_formal_set
bc_jackson2020,tumor_high,control,False,,708,344,364,0.9970130816841648,pass_control,composition_then_expression,0.978718885578832,pass_control,keep_control,True
bc_jackson2020,cd8_high,control,False,,708,255,453,0.9782258095914094,pass_control,composition_then_expression,0.9151176569601674,pass_control,keep_control,True
bc_jackson2020,immune_exclusion,spatial,True,tumor;cd8,368,182,186,0.584379180486655,pass,composition_then_expression,0.6968983149878771,hold,hold,False
bc_jackson2020,t_tumor_mixing,spatial,True,tumor;t_cell,385,143,242,0.5244467284746616,pass,composition_then_expression,0.5009516650006146,pass,keep_spatial,True
bc_jackson2020,cd8_tumor_contact,spatial,True,tumor;cd8,381,142,239,0.549672843335537,pass,composition_then_expression,0.5045138819861635,pass,keep_spatial,True
bc_jackson2020,macrophage_tumor_niche,spatial,True,tumor;macrophage,301,149,152,0.5579175070110742,pass,composition_then_expression,0.4888977486838368,pass,keep_spatial,True
bc_jackson2020,apc_t_contact,spatial,True,apc;t_cell,315,140,175,0.5983675199119112,pass,composition_then_expression,0.6011692174267932,pass,keep_spatial,True
bc_jackson2020,tls_like,spatial,True,b_cell;t_cell,539,327,212,0.770852915266491,fail,composition_then_expression,0.7249747996545969,hold,drop_composition_leak,False
bc_jackson2020,interface_immune,spatial,True,immune;tumor,433,172,261,0.4322952863368031,pass,composition_then_expression,0.6482023402662501,pass,keep_spatial,True
bc_jackson2020,vessel_immune,spatial,True,immune;vessel,435,165,270,0.7252758033384633,fail,composition_then_expression,0.6903514348207442,hold,drop_composition_leak,False
bc_jackson2020,tumor_stroma_mixing,spatial,True,tumor;stroma,430,221,209,0.7015996141245122,fail,composition_then_expression,0.7454120106642492,hold,drop_composition_leak,False
bc_jackson2020,cd8_clustering,spatial,True,cd8,380,234,146,0.5829582381516752,pass,composition_then_expression,0.5388540867964,pass,keep_spatial,True
bc_metabric_ali2020,tumor_high,control,False,,548,274,274,0.9969208505389946,pass_control,composition_then_expression,0.985234462712091,pass_control,keep_control,True
bc_metabric_ali2020,cd8_high,control,False,,548,274,274,0.9845947256046949,pass_control,composition_then_expression,0.9477121874348508,pass_control,keep_control,True
bc_metabric_ali2020,immune_exclusion,spatial,True,tumor;cd8,210,105,105,0.7021398247485204,fail,composition_then_expression,0.6704430880828396,hold,drop_composition_leak,False
bc_metabric_ali2020,t_tumor_mixing,spatial,True,tumor;t_cell,211,105,106,0.5233169315156893,pass,composition_then_expression,0.4638825552179589,pass,keep_spatial,True
bc_metabric_ali2020,cd8_tumor_contact,spatial,True,tumor;cd8,211,105,106,0.5233169315156893,pass,composition_then_expression,0.4638825552179589,pass,keep_spatial,True
bc_metabric_ali2020,macrophage_tumor_niche,spatial,True,tumor;macrophage,206,103,103,0.6915098627112357,fail,composition_then_expression,0.6005667497056838,pass,drop_composition_leak,False
bc_metabric_ali2020,apc_t_contact,spatial,True,apc;t_cell,206,103,103,0.5867521102146799,pass,composition_then_expression,0.6016247440704781,pass,keep_spatial,True
bc_metabric_ali2020,tls_like,spatial,True,b_cell;t_cell,338,169,169,0.8154157862107941,fail,composition_then_expression,0.7893988332382932,fail,drop_composition_leak,False
bc_metabric_ali2020,interface_immune,spatial,True,immune;tumor,276,138,138,0.5807521760091242,pass,composition_then_expression,0.570272751323989,pass,keep_spatial,True
bc_metabric_ali2020,vessel_immune,spatial,True,immune;vessel,277,139,138,0.8233826775844655,fail,composition_then_expression,0.6865930106819848,hold,drop_composition_leak,False
bc_metabric_ali2020,tumor_stroma_mixing,spatial,True,tumor;stroma,327,164,163,0.592093234779858,pass,composition_then_expression,0.582686180846562,pass,keep_spatial,True
bc_metabric_ali2020,cd8_clustering,spatial,True,cd8,211,106,105,0.4800411389852384,pass,composition_then_expression,0.3940825438651524,pass,keep_spatial,True
crc_schurch2020,tumor_high,control,False,,140,70,70,0.9185942889199192,pass_control,composition_then_expression,0.8639590447678683,fail_control,fail_control,False
crc_schurch2020,cd8_high,control,False,,140,70,70,0.936171038928392,pass_control,composition_then_expression,0.795198802714559,fail_control,fail_control,False
crc_schurch2020,immune_exclusion,spatial,True,tumor;cd8,76,39,37,0.5813545603426555,pass,composition_then_expression,0.734432686654909,hold,hold,False
crc_schurch2020,t_tumor_mixing,spatial,True,tumor;t_cell,76,38,38,0.5169894867037725,pass,composition_then_expression,0.6613443448086306,hold,hold,False
crc_schurch2020,cd8_tumor_contact,spatial,True,tumor;cd8,76,38,38,0.5036338488818647,pass,composition_then_expression,0.6265709437534834,pass,keep_spatial,True
crc_schurch2020,macrophage_tumor_niche,spatial,True,tumor;macrophage,77,38,39,0.565143193079701,pass,composition_then_expression,0.6623608486604519,hold,hold,False
crc_schurch2020,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,76,38,38,0.4857400058788947,pass,composition_then_expression,0.4429493680188124,pass,keep_spatial,True
crc_schurch2020,apc_t_contact,spatial,True,apc;t_cell,78,39,39,0.5621672577863054,pass,composition_then_expression,0.5379308244665388,pass,keep_spatial,True
crc_schurch2020,tls_like,spatial,True,b_cell;t_cell,79,40,39,0.5464726631393299,pass,composition_then_expression,0.7752645502645502,fail,drop_expression_leak,False
crc_schurch2020,interface_immune,spatial,True,immune;tumor,84,42,42,0.574464886964887,pass,composition_then_expression,0.6475782961894073,pass,keep_spatial,True
crc_schurch2020,vessel_immune,spatial,True,immune;vessel,80,40,40,0.6960311161501637,fail,composition_then_expression,0.5528584026203074,pass,drop_composition_leak,False
crc_schurch2020,tumor_stroma_mixing,spatial,True,tumor;stroma,78,40,38,0.4912110523221635,pass,composition_then_expression,0.6200999412110523,pass,keep_spatial,True
crc_schurch2020,cd8_clustering,spatial,True,cd8,77,38,39,0.3696753246753247,pass,composition_then_expression,0.5873499736594975,pass,keep_spatial,True
crc_wu2022,tumor_high,control,False,,292,146,146,0.9965138445783608,pass_control,composition_then_expression,0.8873656955358332,fail_control,fail_control,False
