dataset,task,scheme,metric,mean,sd,n,score
bc_jackson2020,response,cv,auc_roc,0.5988647754050971,0.10324308403929272,15,0.599 ± 0.103
bc_jackson2020,clinical_type,cv,balanced_acc,0.46973756010942236,0.06469512930344537,15,0.470 ± 0.065
bc_jackson2020,clinical_type,Basel_to_Zurich,balanced_acc,0.3587242770355596,6.798699777552591e-17,3,0.359 ± 0.000
bc_metabric_ali2020,DSS,cv,c_index,0.5946837351518922,0.040600144498165104,15,0.595 ± 0.041
bc_metabric_ali2020,ER_status,cv,auc_roc,0.9157025863578575,0.03155467002438966,15,0.916 ± 0.032
crc_schurch2020,CLR_DII,cv,auc_roc,0.6635416666666668,0.1456312375188436,15,0.664 ± 0.146
crc_schurch2020,OS,cv,c_index,0.6153959051569345,0.07840116410322946,15,0.615 ± 0.078
hnc_wu2022,primary_outcome,cv,auc_roc,0.6876678500086599,0.09355968316839072,15,0.688 ± 0.094
hnc_wu2022,hpv_status,cv,auc_roc,0.7198933436048706,0.08591499769952475,15,0.720 ± 0.086
hnc_wu2022,OS,cv,c_index,0.6532521312605346,0.08390743497481751,15,0.653 ± 0.084
hnc_wu2022,primary_outcome,UPMC_to_DFCI,auc_roc,0.6284848484848484,0.0,3,0.628 ± 0.000
luad_sorin2023,OS,cv,c_index,0.5277247712034819,0.03408069816703007,15,0.528 ± 0.034
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,auc_roc,0.7101449275362319,0.0,3,0.710 ± 0.000
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,auc_roc,0.47222222222222215,6.798699777552591e-17,3,0.472 ± 0.000
nsclc_gnn_hoebel2026,OS,cv,c_index,0.6794945516702952,0.0339597211905912,15,0.679 ± 0.034
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,0.7387411050930545,0.036211556293711915,15,0.739 ± 0.036
tnbc_wang2023,pCR_all,cv,auc_roc,0.570456007843663,0.06257354698485919,15,0.570 ± 0.063
