dataset,task,method,scheme,metric,mean,sd,n,mask_mode,k_neighbors,n_neighborhoods
bc_jackson2020,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.771805204510173,0.06179837787730412,15,with_secondary_mask,20,20
bc_jackson2020,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.9359930431774356,0.036117368143047855,15,without_secondary_mask,20,20
bc_jackson2020,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.7800251452273639,0.044192031337261135,15,with_secondary_mask,20,20
bc_jackson2020,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.85171645028696,0.02864597232312473,15,without_secondary_mask,20,20
bc_jackson2020,motif_t_tumor_mixing,cellular-neighborhood,cv,auc_roc,0.6854957784566912,0.06841850793554892,15,with_secondary_mask,20,20
bc_jackson2020,motif_t_tumor_mixing,cellular-neighborhood,cv,auc_roc,0.63811238413423,0.08631645908281603,15,without_secondary_mask,20,20
bc_jackson2020,motif_cd8_tumor_contact,cellular-neighborhood,cv,auc_roc,0.6223472488348452,0.07477153600653907,15,with_secondary_mask,20,20
bc_jackson2020,motif_cd8_tumor_contact,cellular-neighborhood,cv,auc_roc,0.5788077209335779,0.06605136324132631,15,without_secondary_mask,20,20
bc_jackson2020,motif_macrophage_tumor_niche,cellular-neighborhood,cv,auc_roc,0.5889441239734388,0.07207836344982768,15,with_secondary_mask,20,20
bc_jackson2020,motif_macrophage_tumor_niche,cellular-neighborhood,cv,auc_roc,0.4654803260449288,0.0683184469400401,15,without_secondary_mask,20,20
bc_jackson2020,motif_apc_t_contact,cellular-neighborhood,cv,auc_roc,0.551737795041739,0.08968348326698405,15,with_secondary_mask,20,20
bc_jackson2020,motif_apc_t_contact,cellular-neighborhood,cv,auc_roc,0.6184219283256838,0.06635132919233147,15,without_secondary_mask,20,20
hnc_wu2022,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.8656714565472091,0.056402482907247885,15,with_secondary_mask,20,20
hnc_wu2022,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.9382310583599318,0.037318548978215474,15,without_secondary_mask,20,20
hnc_wu2022,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.8703903846391031,0.04018151345258372,15,with_secondary_mask,20,20
hnc_wu2022,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.9192468423126793,0.03187998303207759,15,without_secondary_mask,20,20
hnc_wu2022,motif_cd8_clustering,cellular-neighborhood,cv,auc_roc,0.7405291058875019,0.0949245619265023,15,with_secondary_mask,20,20
hnc_wu2022,motif_cd8_clustering,cellular-neighborhood,cv,auc_roc,0.6435862212743195,0.10141485365845432,15,without_secondary_mask,20,20
hnc_wu2022,motif_immune_exclusion,cellular-neighborhood,cv,auc_roc,0.7788364955019131,0.08656446073570936,15,with_secondary_mask,20,20
hnc_wu2022,motif_immune_exclusion,cellular-neighborhood,cv,auc_roc,0.698745348252233,0.056256925059679434,15,without_secondary_mask,20,20
bc_metabric_ali2020,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.8609184089449786,0.03492582649189381,15,with_secondary_mask,20,20
bc_metabric_ali2020,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.9424232464338708,0.022062749821487884,15,without_secondary_mask,20,20
bc_metabric_ali2020,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.7597119894093327,0.04407232142754815,15,with_secondary_mask,20,20
bc_metabric_ali2020,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.781547799424895,0.0395473798306106,15,without_secondary_mask,20,20
bc_metabric_ali2020,motif_tumor_stroma_mixing,cellular-neighborhood,cv,auc_roc,0.6196621713367828,0.06612810165463857,15,with_secondary_mask,20,20
bc_metabric_ali2020,motif_tumor_stroma_mixing,cellular-neighborhood,cv,auc_roc,0.5386297035431935,0.07599409720114872,15,without_secondary_mask,20,20
bc_metabric_ali2020,motif_interface_immune,cellular-neighborhood,cv,auc_roc,0.5968474971136107,0.06160674917442769,15,with_secondary_mask,20,20
bc_metabric_ali2020,motif_interface_immune,cellular-neighborhood,cv,auc_roc,0.5491152513431125,0.08175359489835982,15,without_secondary_mask,20,20
tnbc_wang2023,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.8245057083939826,0.03346966283757286,15,with_secondary_mask,20,20
tnbc_wang2023,motif_tumor_high,cellular-neighborhood,cv,auc_roc,0.9281635550889343,0.01877750128907812,15,without_secondary_mask,20,20
tnbc_wang2023,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.8446238453635577,0.03204870040767044,15,with_secondary_mask,20,20
tnbc_wang2023,motif_cd8_high,cellular-neighborhood,cv,auc_roc,0.8563227641018545,0.02288687062595689,15,without_secondary_mask,20,20
