,,,,GLOBAL,GLOBAL,GLOBAL,GLOBAL,GLOBAL,GLOBAL,,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,LOCAL,,UNSUPERVISED,UNSUPERVISED,,SUPERVISED,SUPERVISED,SUPERVISED,SUPERVISED,,SP-FM,SP-FM
dataset,task,scheme,metric,celltype_density,composition,expression,mixing,point_pattern,spatial_distance,,mean_cell_composition,mean_expression,mean_composition+expretion,patch_point_pattern,mean_celltype_density,mean_mixing,mean_composition+celltype_density,mean_composition+mixing,mean_mixing+celltype_density,attention_composition,attention_expression,attention_composition+expression,attention_celltype_density,attention_mixing,attention_composition+celltype_density,attention_composition+mixing,attention_mixing+celltype_density,,cellular_neighborhood,UTAG,,cyto_community,cell_graph_signature,sorbet,space_gm_origin,,eva,kronos
bc_jackson2020,motif_tumor_high,cv,auc_roc,0.931 ± 0.026,0.947 ± 0.022,0.927 ± 0.024,0.881 ± 0.030,0.771 ± 0.035,0.830 ± 0.033,,0.905 ± 0.039,0.908 ± 0.025,0.931 ± 0.022,,0.949 ± 0.024,0.860 ± 0.053,0.945 ± 0.026,0.917 ± 0.048,0.917 ± 0.047,0.906 ± 0.034,0.910 ± 0.029,0.901 ± 0.040,0.910 ± 0.034,0.859 ± 0.053,0.899 ± 0.033,0.862 ± 0.050,0.864 ± 0.049,,0.936 ± 0.036,0.914 ± 0.029,,0.904 ± 0.031,0.828 ± 0.050,0.901 ± 0.030,0.928 ± 0.026,,0.889 ± 0.034,0.807 ± 0.057
bc_jackson2020,motif_t_tumor_mixing,cv,auc_roc,0.663 ± 0.082,0.620 ± 0.067,0.472 ± 0.104,0.720 ± 0.067,0.584 ± 0.083,0.613 ± 0.068,,0.708 ± 0.073,0.651 ± 0.059,0.591 ± 0.087,,0.640 ± 0.082,0.650 ± 0.084,0.607 ± 0.088,0.697 ± 0.059,0.666 ± 0.068,0.697 ± 0.085,0.575 ± 0.110,0.634 ± 0.095,0.737 ± 0.077,0.639 ± 0.070,0.748 ± 0.076,0.646 ± 0.069,0.642 ± 0.064,,0.638 ± 0.086,0.663 ± 0.083,,0.700 ± 0.098,0.548 ± 0.077,0.561 ± 0.082,0.631 ± 0.070,,0.655 ± 0.054,0.587 ± 0.072
bc_jackson2020,motif_cd8_tumor_contact,cv,auc_roc,0.650 ± 0.083,0.574 ± 0.076,0.511 ± 0.082,0.657 ± 0.078,0.561 ± 0.097,0.526 ± 0.067,,0.661 ± 0.069,0.625 ± 0.088,0.561 ± 0.071,,0.612 ± 0.069,0.660 ± 0.095,0.590 ± 0.057,0.627 ± 0.072,0.629 ± 0.073,0.673 ± 0.069,0.582 ± 0.064,0.649 ± 0.058,0.685 ± 0.063,0.623 ± 0.063,0.675 ± 0.070,0.635 ± 0.070,0.627 ± 0.067,,0.579 ± 0.066,0.673 ± 0.082,,0.652 ± 0.073,0.582 ± 0.093,0.593 ± 0.067,0.615 ± 0.071,,0.650 ± 0.066,0.558 ± 0.079
bc_jackson2020,motif_macrophage_tumor_niche,cv,auc_roc,0.662 ± 0.081,0.520 ± 0.068,0.465 ± 0.082,0.756 ± 0.061,0.610 ± 0.104,0.525 ± 0.071,,0.663 ± 0.099,0.582 ± 0.062,0.539 ± 0.078,,0.515 ± 0.081,0.629 ± 0.048,0.539 ± 0.080,0.597 ± 0.058,0.585 ± 0.053,0.612 ± 0.093,0.577 ± 0.091,0.676 ± 0.080,0.651 ± 0.076,0.626 ± 0.089,0.654 ± 0.061,0.625 ± 0.087,0.619 ± 0.082,,0.466 ± 0.068,0.673 ± 0.072,,0.696 ± 0.071,0.537 ± 0.072,0.528 ± 0.073,0.587 ± 0.070,,0.689 ± 0.059,0.506 ± 0.072
bc_jackson2020,motif_apc_t_contact,cv,auc_roc,0.633 ± 0.067,0.617 ± 0.065,0.563 ± 0.083,0.629 ± 0.066,0.596 ± 0.058,0.562 ± 0.082,,0.654 ± 0.071,0.613 ± 0.087,0.648 ± 0.077,,0.610 ± 0.066,0.663 ± 0.075,0.634 ± 0.077,0.647 ± 0.083,0.650 ± 0.074,0.620 ± 0.081,0.614 ± 0.089,0.656 ± 0.064,0.649 ± 0.061,0.591 ± 0.105,0.644 ± 0.080,0.582 ± 0.098,0.594 ± 0.096,,0.618 ± 0.066,0.616 ± 0.079,,0.604 ± 0.084,0.583 ± 0.101,0.613 ± 0.055,0.680 ± 0.075,,0.654 ± 0.075,0.514 ± 0.071
hnc_wu2022,motif_cd8_clustering,cv,auc_roc,0.629 ± 0.102,0.546 ± 0.107,0.491 ± 0.089,0.774 ± 0.088,0.573 ± 0.083,0.670 ± 0.117,,0.693 ± 0.119,0.542 ± 0.096,0.499 ± 0.107,,0.600 ± 0.070,0.612 ± 0.097,0.576 ± 0.064,0.686 ± 0.074,0.655 ± 0.076,0.614 ± 0.121,0.575 ± 0.099,0.587 ± 0.129,0.760 ± 0.096,0.742 ± 0.058,0.745 ± 0.093,0.718 ± 0.084,0.713 ± 0.067,,0.644 ± 0.101,0.553 ± 0.075,,0.641 ± 0.122,0.532 ± 0.107,0.621 ± 0.113,0.653 ± 0.097,,0.610 ± 0.057,0.625 ± 0.108
hnc_wu2022,motif_immune_exclusion,cv,auc_roc,0.864 ± 0.075,0.595 ± 0.067,0.732 ± 0.084,0.807 ± 0.063,0.630 ± 0.093,0.718 ± 0.092,,0.721 ± 0.061,0.766 ± 0.070,0.736 ± 0.083,,0.565 ± 0.094,0.662 ± 0.118,0.653 ± 0.106,0.771 ± 0.064,0.679 ± 0.075,0.698 ± 0.130,0.677 ± 0.077,0.720 ± 0.107,0.694 ± 0.110,0.811 ± 0.076,0.747 ± 0.081,0.807 ± 0.071,0.787 ± 0.084,,0.699 ± 0.056,0.701 ± 0.099,,0.777 ± 0.112,0.765 ± 0.085,0.787 ± 0.090,0.814 ± 0.072,,0.741 ± 0.048,0.752 ± 0.051
bc_metabric_ali2020,motif_tumor_stroma_mixing,cv,auc_roc,0.796 ± 0.061,0.541 ± 0.071,0.506 ± 0.059,0.732 ± 0.058,0.670 ± 0.071,0.661 ± 0.052,,0.825 ± 0.064,0.851 ± 0.054,0.587 ± 0.045,,0.592 ± 0.063,0.748 ± 0.071,0.631 ± 0.060,0.734 ± 0.067,0.744 ± 0.062,0.699 ± 0.054,0.718 ± 0.064,0.719 ± 0.043,0.700 ± 0.072,0.627 ± 0.056,0.715 ± 0.044,0.628 ± 0.060,0.636 ± 0.061,,0.539 ± 0.076,0.826 ± 0.072,,0.920 ± 0.043,0.745 ± 0.083,0.599 ± 0.060,0.735 ± 0.076,,0.835 ± 0.051,0.629 ± 0.065
bc_metabric_ali2020,motif_interface_immune,cv,auc_roc,0.555 ± 0.087,0.494 ± 0.090,0.560 ± 0.084,0.546 ± 0.084,0.684 ± 0.073,0.591 ± 0.061,,0.552 ± 0.066,0.648 ± 0.089,0.570 ± 0.075,,0.550 ± 0.080,0.574 ± 0.053,0.603 ± 0.085,0.567 ± 0.058,0.565 ± 0.061,0.515 ± 0.077,0.568 ± 0.105,0.557 ± 0.094,0.543 ± 0.066,0.547 ± 0.080,0.542 ± 0.063,0.555 ± 0.075,0.556 ± 0.082,,0.549 ± 0.082,0.538 ± 0.096,,0.565 ± 0.070,0.549 ± 0.077,0.586 ± 0.089,0.670 ± 0.074,,0.693 ± 0.052,0.590 ± 0.052
tnbc_wang2023,motif_cd8_high,cv,auc_roc,0.903 ± 0.023,0.926 ± 0.021,0.903 ± 0.032,0.879 ± 0.028,0.702 ± 0.035,0.841 ± 0.029,,0.891 ± 0.029,0.874 ± 0.032,0.900 ± 0.029,,0.917 ± 0.022,0.800 ± 0.040,0.913 ± 0.020,0.843 ± 0.037,0.841 ± 0.036,0.892 ± 0.029,0.874 ± 0.030,0.880 ± 0.029,0.905 ± 0.022,0.867 ± 0.028,0.885 ± 0.025,0.867 ± 0.030,0.868 ± 0.028,,0.856 ± 0.023,0.883 ± 0.033,,0.909 ± 0.028,0.878 ± 0.025,0.879 ± 0.044,0.896 ± 0.025,,0.802 ± 0.027,0.848 ± 0.027
