dataset,task,combination,scheme,metric,mean,sd,n,score
tnbc_wang2023,pCR_arm_C,composition+density,cv,auc_roc,0.47560837089544417,0.08587910436255886,15,0.476 +/- 0.086
tnbc_wang2023,pCR_arm_CI,composition+density,cv,auc_roc,0.6254330800586897,0.09930897607351714,15,0.625 +/- 0.099
tnbc_wang2023,pCR_all,composition+density,cv,auc_roc,0.5959386345915697,0.05898792010997917,15,0.596 +/- 0.059
tnbc_wang2023,pCR_arm_C,composition+expression,cv,auc_roc,0.43811606213480375,0.09953433461723148,15,0.438 +/- 0.100
tnbc_wang2023,pCR_arm_CI,composition+expression,cv,auc_roc,0.6507819173546887,0.09639978208822146,15,0.651 +/- 0.096
tnbc_wang2023,pCR_all,composition+expression,cv,auc_roc,0.5886094231741372,0.060837152288179416,15,0.589 +/- 0.061
tnbc_wang2023,pCR_arm_C,composition+distance,cv,auc_roc,0.48537261251884967,0.11199001931246809,15,0.485 +/- 0.112
tnbc_wang2023,pCR_arm_CI,composition+distance,cv,auc_roc,0.6594514998513338,0.07692716280458885,15,0.659 +/- 0.077
tnbc_wang2023,pCR_all,composition+distance,cv,auc_roc,0.6121058805900274,0.06219246232184855,15,0.612 +/- 0.062
tnbc_wang2023,pCR_arm_C,composition+point_pattern,cv,auc_roc,0.46515089157980505,0.10511191246625616,15,0.465 +/- 0.105
tnbc_wang2023,pCR_arm_CI,composition+point_pattern,cv,auc_roc,0.6592228094823543,0.07909064773835268,15,0.659 +/- 0.079
tnbc_wang2023,pCR_all,composition+point_pattern,cv,auc_roc,0.6000882420180901,0.06372291507794632,15,0.600 +/- 0.064
tnbc_wang2023,pCR_arm_C,composition+mixing,cv,auc_roc,0.4457094288221189,0.09097743190894121,15,0.446 +/- 0.091
tnbc_wang2023,pCR_arm_CI,composition+mixing,cv,auc_roc,0.674436199460893,0.07913555492648493,15,0.674 +/- 0.079
tnbc_wang2023,pCR_all,composition+mixing,cv,auc_roc,0.5646093637158501,0.057455204910516956,15,0.565 +/- 0.057
tnbc_wang2023,pCR_arm_C,density+expression,cv,auc_roc,0.478579766291832,0.07617758920106912,15,0.479 +/- 0.076
tnbc_wang2023,pCR_arm_CI,density+expression,cv,auc_roc,0.6377350452872746,0.10392351215638024,15,0.638 +/- 0.104
tnbc_wang2023,pCR_all,density+expression,cv,auc_roc,0.6069960062146771,0.05822836954587977,15,0.607 +/- 0.058
tnbc_wang2023,pCR_arm_C,density+distance,cv,auc_roc,0.480649635162614,0.09372784735029628,15,0.481 +/- 0.094
tnbc_wang2023,pCR_arm_CI,density+distance,cv,auc_roc,0.6284909889811218,0.10062751148814736,15,0.628 +/- 0.101
