dataset,task,scheme,metric,mean,sd,n,score
bc_jackson2020,OS,cv,c_index,0.540206185639871,0.062013490703765335,15,0.540 ± 0.062
bc_jackson2020,DFS,cv,c_index,0.56187068208207,0.07259599637809186,15,0.562 ± 0.073
bc_jackson2020,response,cv,auc_roc,0.5958361432358159,0.09614151882308365,15,0.596 ± 0.096
bc_jackson2020,clinical_type,cv,balanced_acc,0.4479785897578997,0.06794624069752167,15,0.448 ± 0.068
bc_jackson2020,clinical_type,Basel_to_Zurich,balanced_acc,0.4126002077584161,0.0,3,0.413 ± 0.000
hnc_wu2022,primary_outcome,cv,auc_roc,0.6754514017884126,0.09592170878775384,15,0.675 ± 0.096
hnc_wu2022,hpv_status,cv,auc_roc,0.7284302826074739,0.09535971061541422,15,0.728 ± 0.095
hnc_wu2022,OS,cv,c_index,0.6627429583054754,0.05655514416864192,15,0.663 ± 0.057
hnc_wu2022,primary_outcome,UPMC_to_DFCI,auc_roc,0.8236363636363636,0.0,3,0.824 ± 0.000
hnc_wu2022,OS,UPMC_to_DFCI,c_index,0.5529061102831595,0.0,3,0.553 ± 0.000
