dataset,task,scheme,metric,mean,sd,n,score
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,auc_roc,0.44565217391304346,0.0,3,0.446 ± 0.000
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,auc_roc,0.5444444444444445,0.0,3,0.544 ± 0.000
bc_metabric_ali2020,DSS,cv,c_index,0.6103393859088764,0.05114001690799722,15,0.610 ± 0.051
bc_metabric_ali2020,ER_status,cv,auc_roc,0.9238692783236996,0.032801085018061435,15,0.924 ± 0.033
crc_schurch2020,CLR_DII,cv,auc_roc,0.6222222222222222,0.13933583838979963,15,0.622 ± 0.139
crc_schurch2020,OS,cv,c_index,0.6208684034511242,0.09696511994210201,15,0.621 ± 0.097
luad_sorin2023,OS,cv,c_index,0.5098678875198052,0.03860067770289537,15,0.510 ± 0.039
tnbc_wang2023,pCR_all,cv,auc_roc,0.5935344791690725,0.05998594591647497,15,0.594 ± 0.060
nsclc_gnn_hoebel2026,OS,cv,c_index,0.6623512263568051,0.03332644156220508,15,0.662 ± 0.033
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,0.7177549273470408,0.03320813586303294,15,0.718 ± 0.033
