task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap
motif_tumor_high,control,0,0,285,81,0.9993788819875776,0.9385093167701863,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;composition::Tumor (Proliferating);density::tumor_density::Tumor,1,1,True,True,False,0.06956521739130439,0.0,True,True,composition::Tumor;density::tissue_density::Tumor;composition::Tumor (Proliferating);density::tumor_density::Tumor;point-pattern::Tumor_L_r10
motif_tumor_high,control,0,1,289,77,0.9959459459459459,0.9722972972972972,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor,composition::Tumor;density::tumor_density::Tumor;density::tissue_density::Tumor;composition::Tumor (Proliferating),1,1,True,True,False,0.07837837837837824,0.009459459459459363,True,True,composition::Tumor;density::tumor_density::Tumor;density::tissue_density::Tumor;composition::Tumor (Proliferating);composition::CD8 T cell
motif_tumor_high,control,0,2,299,67,0.9990925589836661,0.9909255898366607,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating),composition::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,1,1,True,True,False,0.07622504537205077,0.003629764065335772,True,True,composition::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;composition::B cell
motif_tumor_high,control,0,3,300,66,0.9990808823529411,0.9852941176470588,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor,1,1,True,True,False,0.10845588235294112,0.024816176470588203,True,True,composition::Tumor;composition::Macrophage;density::tissue_density::Tumor;composition::CD8 T cell;density::tumor_density::Tumor
motif_tumor_high,control,0,4,291,75,0.9978632478632479,0.9907407407407407,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor,1,1,True,True,False,0.08547008547008539,0.0035612535612534746,True,True,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Macrophage
motif_tumor_high,control,1,0,286,80,0.9993650793650793,0.9422222222222222,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating),1,1,True,True,False,0.08634920634920629,-0.0069841269841269815,True,True,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);composition::CD8 T cell
motif_tumor_high,control,1,1,289,77,0.9972972972972973,0.9878378378378379,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor (Proliferating);density::tissue_density::Tumor,1,1,True,True,False,0.050000000000000044,-0.002027027027027062,True,True,composition::Tumor;composition::Tumor (Proliferating);composition::Macrophage;density::tissue_density::Tumor (Proliferating);density::tissue_density::Tumor
motif_tumor_high,control,1,2,298,68,1.0,0.9939393939393939,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating),1,1,True,True,False,0.026839826839826664,-0.0008658008658009031,True,True,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;point-pattern::Tumor_L_r10;composition::Tumor (Proliferating)
motif_tumor_high,control,1,3,305,61,0.9967320261437909,0.991285403050109,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor,1,1,True,True,False,0.08496732026143805,0.0010893246187365646,True,True,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;composition::Macrophage;density::tumor_density::Tumor
motif_tumor_high,control,1,4,286,80,0.9987492182614134,0.9987492182614134,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tumor_density::Tumor;density::tissue_density::Tumor;composition::Tumor (Proliferating),1,1,True,True,False,0.13946216385240773,-0.001250781738586615,True,True,composition::Tumor;density::tumor_density::Tumor;density::tissue_density::Tumor;composition::Macrophage;composition::Tumor (Proliferating)
motif_tumor_high,control,2,0,294,72,1.0,0.9891219891219891,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor (Proliferating),1,1,True,True,False,0.1515151515151515,-0.0015540015540015384,True,True,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor (Proliferating)
motif_tumor_high,control,2,1,295,71,0.9984101748807631,1.0,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,1,1,True,True,False,0.09379968203497613,0.0,True,True,composition::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;composition::CD8 T cell
motif_tumor_high,control,2,2,293,73,0.9932126696832579,0.9720965309200603,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating),composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor,1,1,True,True,False,0.08069381598793368,0.0037707390648568095,True,True,composition::Tumor;composition::Tumor (Proliferating);composition::Macrophage;density::tissue_density::Tumor;density::tumor_density::Tumor
motif_tumor_high,control,2,3,284,82,0.9988038277511962,0.9808612440191388,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating),1,1,True,True,False,0.07416267942583732,0.0035885167464114742,True,True,composition::Tumor;density::tissue_density::Tumor;density::tumor_density::Tumor;composition::Tumor (Proliferating);composition::CD8 T cell
motif_tumor_high,control,2,4,298,68,0.9930555555555556,0.9288194444444444,composition::Tumor,composition::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor,composition::Tumor;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor,1,1,True,True,False,0.08333333333333326,-0.0008680555555555802,True,True,composition::Tumor;composition::CD8 T cell;composition::Tumor (Proliferating);density::tissue_density::Tumor;density::tumor_density::Tumor
motif_cd8_high,control,0,0,287,79,0.9993464052287582,0.9908496732026144,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.3320261437908497,1.1102230246251565e-16,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,0,1,294,72,1.0,0.9912698412698413,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.13650793650793658,-0.0023809523809523725,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;density::tumor_density::Naive immune cell;point-pattern::CD8 T cell_L_r20
motif_cd8_high,control,0,2,296,70,0.9983619983619983,0.9918099918099919,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.28746928746928746,0.004914004914005066,True,True,composition::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell
motif_cd8_high,control,0,3,291,75,1.0,0.9971550497866288,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,1,1,True,True,False,0.2780938833570413,0.002133712660028597,True,True,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,0,4,296,70,1.0,0.9918099918099919,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.2932022932022933,0.0073710073710073765,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,1,0,279,87,0.999465811965812,0.9893162393162394,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.2350427350427351,-0.0016025641025640969,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,1,1,302,64,1.0,0.9960591133004926,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.2669950738916256,0.0,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,1,2,292,74,1.0,0.9817384952520088,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.4024835646457269,-0.0029218407596786067,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,1,3,298,68,1.0,0.9887152777777778,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.33767361111111116,-0.0026041666666666297,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,1,4,293,73,0.9954954954954954,0.9887387387387387,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.2642642642642643,0.0007507507507507061,True,True,composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell
