task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,domain_names,top_shap
motif_tumor_high,control,0,0,285,81,0.94472049689441,0.9434782608695651,utag_domain::Tumor__08,utag_domain::Tumor__08,utag_domain::Tumor__08;utag_domain::Tumor__02,utag_domain::Tumor__08;utag_domain::Tumor__02,1.0,1.0,True,True,False,0.3788819875776396,0.3204968944099378,True,True,utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::Tumor__02;utag_domain::B cell__03;utag_domain::Tumor__04;utag_domain::Stroma__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::Tumor__08;utag_domain::Stroma__05;utag_domain::CD4 T cell__09;utag_domain::Tumor__02;utag_domain::B cell__03
motif_tumor_high,control,0,1,289,77,0.8729729729729729,0.8756756756756756,utag_domain::Tumor__08,utag_domain::Tumor__08,utag_domain::Tumor__08;utag_domain::Tumor__03;utag_domain::Tumor__01,utag_domain::Tumor__08;utag_domain::Tumor__03,1.0,1.0,True,True,False,0.2439189189189187,0.17432432432432432,True,True,utag_domain::CD8 T cell__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::B cell__09,utag_domain::Tumor__08;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::B cell__09;utag_domain::CD4 T cell__07
motif_tumor_high,control,0,2,299,67,0.9491833030852994,0.9500907441016334,utag_domain::Macrophage__00,utag_domain::CD4 T cell__03,utag_domain::Tumor__09;utag_domain::Tumor__01,utag_domain::Tumor__09;utag_domain::Tumor__01,2.0,2.0,True,True,False,0.46823956442831216,0.205989110707804,True,True,utag_domain::Macrophage__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::CD4 T cell__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::CD4 T cell__03;utag_domain::Tumor__09;utag_domain::Tumor__01;utag_domain::Macrophage__00;utag_domain::CD4 T cell__07
motif_tumor_high,control,0,3,300,66,0.9301470588235294,0.9301470588235294,utag_domain::Macrophage__04,utag_domain::Tumor__01,utag_domain::Tumor__01,utag_domain::Tumor__01,5.0,1.0,True,True,False,0.3667279411764707,0.1534926470588236,True,True,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::CD4 T cell__08;utag_domain::Tumor__09,utag_domain::Tumor__01;utag_domain::Macrophage__04;utag_domain::CD4 T cell__02;utag_domain::CD4 T cell__07;utag_domain::CD4 T cell__08
motif_tumor_high,control,0,4,291,75,0.8831908831908832,0.8853276353276354,utag_domain::CD4 T cell__03,utag_domain::Tumor__08,utag_domain::Tumor__01;utag_domain::Tumor__08,utag_domain::Tumor__08;utag_domain::Tumor__01,2.0,1.0,True,True,False,0.37321937321937326,0.222934472934473,True,True,utag_domain::Macrophage__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::CD4 T cell__03;utag_domain::Stroma__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::B cell__09,utag_domain::Tumor__08;utag_domain::Tumor__01;utag_domain::CD4 T cell__03;utag_domain::Macrophage__00;utag_domain::B cell__09
motif_tumor_high,control,1,0,286,80,0.9561904761904761,0.9530158730158731,utag_domain::Tumor__05,utag_domain::B cell__01,utag_domain::Tumor__05;utag_domain::Tumor__00;utag_domain::Tumor__03,utag_domain::Tumor__00;utag_domain::Tumor__05;utag_domain::Tumor__03,1.0,3.0,True,True,False,0.3663492063492064,0.3650793650793651,True,True,utag_domain::Tumor__00;utag_domain::B cell__01;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Stroma__08;utag_domain::Tumor__09,utag_domain::B cell__01;utag_domain::Stroma__08;utag_domain::Tumor__00;utag_domain::Tumor__05;utag_domain::Tumor__03
motif_tumor_high,control,1,1,289,77,0.9020270270270271,0.9006756756756756,utag_domain::Tumor__04,utag_domain::Tumor__04,utag_domain::Tumor__04;utag_domain::Tumor__02,utag_domain::Tumor__04;utag_domain::Tumor__02,1.0,1.0,True,True,False,0.4236486486486486,0.19864864864864862,True,True,utag_domain::CD4 T cell__00;utag_domain::CD4 T cell__01;utag_domain::Tumor__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::CD4 T cell__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::Stroma__09,utag_domain::Tumor__04;utag_domain::Macrophage__03;utag_domain::Tumor__02;utag_domain::CD4 T cell__00;utag_domain::CD4 T cell__01
motif_tumor_high,control,1,2,298,68,0.9688311688311689,0.967965367965368,utag_domain::Tumor__06,utag_domain::Tumor__06,utag_domain::Tumor__06;utag_domain::Tumor (Proliferating)__02;utag_domain::Tumor__08,utag_domain::Tumor__06;utag_domain::Tumor (Proliferating)__02;utag_domain::Tumor__08,1.0,1.0,True,True,False,0.4095238095238095,0.336796536796537,True,True,utag_domain::CD4 T cell__00;utag_domain::CD4 T cell__01;utag_domain::Tumor (Proliferating)__02;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Stroma__07;utag_domain::Tumor__08;utag_domain::B cell__09,utag_domain::Tumor__06;utag_domain::Tumor (Proliferating)__02;utag_domain::Tumor__08;utag_domain::Macrophage__04;utag_domain::Stroma__07
motif_tumor_high,control,1,3,305,61,0.8899782135076253,0.888888888888889,utag_domain::Tumor__08,utag_domain::Macrophage__01,utag_domain::Tumor__08;utag_domain::Tumor__06,utag_domain::Tumor__08;utag_domain::Tumor__04,1.0,2.0,True,True,False,0.2734204793028323,0.1328976034858389,True,True,utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::Tumor (Proliferating)__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::CD4 T cell__05;utag_domain::Tumor__06;utag_domain::B cell__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::Macrophage__01;utag_domain::Tumor__08;utag_domain::B cell__07;utag_domain::CD4 T cell__05;utag_domain::Tumor__04
motif_tumor_high,control,1,4,286,80,0.9474671669793622,0.9518449030644154,utag_domain::Tumor__07,utag_domain::Tumor__07,utag_domain::Tumor__07;utag_domain::Tumor__06;utag_domain::Tumor__00;utag_domain::Tumor__05,utag_domain::Tumor__07;utag_domain::Tumor__00;utag_domain::Tumor__06,1.0,1.0,True,True,False,0.43964978111319586,0.16447779862414025,True,True,utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::Stroma__02;utag_domain::CD4 T cell__03;utag_domain::CD4 T cell__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::CD4 T cell__08;utag_domain::CD4 T cell__09,utag_domain::Tumor__07;utag_domain::Macrophage__01;utag_domain::CD4 T cell__04;utag_domain::Tumor__00;utag_domain::Tumor__06
