task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap
motif_tumor_high,control,0,0,285,81,0.9770186335403727,0.977639751552795,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.28881987577639756,0.03167701863354033,True,False,utag_mean__CD45;utag_mean__PanCK;utag_std__CD56;utag_mean__CD163;utag_mean__CD11c
motif_tumor_high,control,0,1,289,77,0.8581081081081081,0.8601351351351352,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.09324324324324329,0.0006756756756757243,True,False,utag_mean__CD45;utag_mean__CD163;utag_mean__PanCK;utag_mean__GranzymeB;utag_mean__CD20
motif_tumor_high,control,0,2,299,67,0.970961887477314,0.9818511796733213,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.5226860254083485,0.012704174228675202,True,False,utag_mean__CD45;utag_mean__PanCK;utag_mean__HLA-DR;utag_std__CD56;utag_mean__CD163
motif_tumor_high,control,0,3,300,66,0.9448529411764705,0.9329044117647058,utag_mean__CD45,utag_std__CD56,,,,,False,False,False,0.17647058823529416,0.035845588235293935,True,False,utag_std__CD56;utag_mean__CD45;utag_std__CD31;utag_mean__PanCK;utag_mean__CD163
motif_tumor_high,control,0,4,291,75,0.9487179487179487,0.938034188034188,utag_mean__CD45,utag_mean__PanCK,,,,,False,False,False,0.2834757834757835,0.059116809116809055,True,False,utag_mean__PanCK;utag_mean__CD45;utag_mean__CD163;utag_std__CD56;utag_std__CD3e
motif_tumor_high,control,1,0,286,80,0.9187301587301586,0.9269841269841269,utag_mean__PanCK,utag_mean__CD45,,,,,False,False,False,0.27555555555555555,0.02984126984126978,True,False,utag_mean__CD45;utag_mean__PanCK;utag_std__CD56;utag_mean__CD163;utag_mean__Vimentin
motif_tumor_high,control,1,1,289,77,0.9128378378378379,0.9182432432432432,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.22432432432432436,0.05608108108108101,True,False,utag_mean__CD45;utag_mean__CD163;utag_mean__PanCK;utag_std__CD56;utag_std__CD14
motif_tumor_high,control,1,2,298,68,0.9203463203463204,0.929004329004329,utag_mean__PanCK,utag_mean__PanCK,,,,,False,False,False,0.43030303030303035,0.10216450216450212,True,False,utag_mean__PanCK;utag_mean__CD45;utag_mean__CD163;utag_std__CD56;utag_mean__CD3e
motif_tumor_high,control,1,3,305,61,0.9281045751633986,0.9052287581699345,utag_mean__CD45,utag_mean__PanCK,,,,,False,False,False,0.18191721132897598,0.03376906318082784,True,False,utag_mean__PanCK;utag_mean__CD45;utag_mean__CD20;utag_mean__CD3e;utag_std__CD56
motif_tumor_high,control,1,4,286,80,0.9455909943714822,0.9324577861163228,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.2432770481550971,0.021888680425265927,True,False,utag_mean__CD45;utag_std__CD56;utag_mean__CD163;utag_std__CD31;utag_mean__PanCK
motif_tumor_high,control,2,0,294,72,0.9013209013209013,0.9075369075369075,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.3038073038073038,0.11188811188811187,True,False,utag_mean__CD45;utag_mean__PanCK;utag_std__CD56;utag_mean__CD3e;utag_mean__CD163
motif_tumor_high,control,2,1,295,71,0.9697933227344993,0.9705882352941176,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.21383147853736084,0.09538950715421313,True,False,utag_mean__CD45;utag_mean__PanCK;utag_std__CD56;utag_mean__CD163;utag_mean__CD20
motif_tumor_high,control,2,2,293,73,0.8687782805429864,0.868024132730015,utag_mean__CD45,utag_mean__CD163,,,,,False,False,False,0.15987933634992457,0.03318250377073895,True,False,utag_mean__CD163;utag_mean__CD45;utag_std__CD8;utag_mean__CD14;utag_mean__PanCK
motif_tumor_high,control,2,3,284,82,0.979066985645933,0.9712918660287082,utag_mean__CD45,utag_mean__CD45,,,,,False,False,False,0.24940191387559818,0.01674641148325362,True,False,utag_mean__CD45;utag_mean__PanCK;utag_std__CD56;utag_mean__CD163;utag_std__CD3e
motif_tumor_high,control,2,4,298,68,0.9565972222222222,0.9539930555555556,utag_mean__PanCK,utag_mean__CD45,,,,,False,False,False,0.20225694444444442,0.05815972222222221,True,False,utag_mean__CD45;utag_std__CD56;utag_mean__PanCK;utag_std__CD31;utag_mean__CD163
motif_cd8_high,control,0,0,287,79,0.9287581699346404,0.9287581699346404,utag_std__CD8,utag_std__CD8,,,,,False,False,False,0.25555555555555554,0.015032679738561927,True,False,utag_std__CD8;utag_mean__CD8;utag_mean__CD3e;utag_std__CD11b;utag_mean__Vimentin
motif_cd8_high,control,0,1,294,72,0.9134920634920635,0.9246031746031745,utag_std__CD8,utag_mean__CD8,,,,,False,False,False,0.365079365079365,-0.013492063492063666,True,False,utag_mean__CD8;utag_mean__CD45;utag_std__CD8;utag_std__CD11c;utag_std__GranzymeB
