task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_high,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.21242446602939496,0.07216380474912164,0.1402606612802733,0.6624981301421092
motif_tumor_high,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD8;CD117;PanCK,0.19534138875055654,0.11674042268990449,0.07860096606065205,0.6052356020942409
motif_tumor_high,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.14947252124855806,0.07653705185945898,0.07293546938909908,0.5843829468960359
motif_tumor_high,7,utag_domain::Tumor__07,Tumor,CD117;CD56;PanCK;CD163;CD38,0.06544237601784818,0.05131993867855032,0.014122437339297855,0.49358264771877336
motif_tumor_high,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;CD31;GranzymeB,0.11589261017068025,0.1024426437033606,0.013449966467319649,0.5334330590875094
motif_tumor_high,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.02183221626078906,0.054101692345830656,-0.0322694760850416,0.4306955871353778
motif_tumor_high,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.09476093910739763,0.134527123167779,-0.03976618406038138,0.4573373223635004
motif_tumor_high,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.05815806797686087,0.09816954153196164,-0.04001147355510077,0.4304263275991025
motif_tumor_high,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD4;CD45,0.053742108719274595,0.14078114290669685,-0.08703903418742226,0.3854001495886313
motif_tumor_high,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.032933305718639866,0.15321663836733582,-0.12028333264869595,0.30713537771129396
motif_cd8_high,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.16384008099371164,0.027568150858327287,0.13627193013538436,0.7438263310340709
motif_cd8_high,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD8;CD117;PanCK,0.18291056790130936,0.12573513573322154,0.05717543216808782,0.4412493654632865
motif_cd8_high,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD4;CD45,0.11737397674478603,0.08095425998227489,0.03641971676251114,0.5286959897279704
motif_cd8_high,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.12904534676386425,0.10198112792925255,0.0270642188346117,0.5532115022843321
motif_cd8_high,7,utag_domain::Tumor__07,Tumor,CD117;CD56;PanCK;CD163;CD38,0.05336354141224466,0.06278139897423918,-0.009417857561994515,0.5296067365403565
motif_cd8_high,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.02826094663560621,0.04908364945014101,-0.0208227028145348,0.49042969333213887
motif_cd8_high,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.06748483510509257,0.09059190985969065,-0.023107074754598084,0.45176027949475944
motif_cd8_high,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.09535656313515124,0.1274645741525773,-0.032108011017426066,0.44701245184986116
