domain,n_cells,majority,majority_frac,name,top_markers,top_marker_z,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__macrophage,frac__apc,frac__granulocyte,frac__vessel,frac__stroma,frac__immune,enrich__tumor,enrich__t_cell,enrich__cd8,enrich__cd4,enrich__b_cell,enrich__macrophage,enrich__apc,enrich__granulocyte,enrich__vessel,enrich__stroma,enrich__immune
0,34111,Tumor,0.3068511623816364,utag_domain::Tumor__00,CD69;CD14;CD11c;CD45;CD163,1.369;0.834;0.361;0.319;-0.146,0.40547037612500364,0.2760399871009352,0.02802614992231245,0.24801383717862274,0.02556360118436868,0.08102957990091172,0.10829351235671777,0.053501802937468854,0.02568086540998505,0.02439095892820498,0.4715194512034241,0.9783504382059879,1.6275041841994635,0.37549840446210814,2.6114365450483303,0.4069426823162358,0.8301691961687973,0.8141253408831227,1.9170861704012214,0.6633524735781579,0.3432606389022126,1.103217362930221
1,503044,Tumor,0.3232758963430634,utag_domain::Tumor__01,FoxP3;CD11b;CD8;CD117;PanCK,0.506;0.332;0.292;0.272;0.148,0.4806259492211417,0.1792666247882889,0.09420050731148766,0.08506611747680123,0.03926296705655966,0.08407018073965697,0.13263650893361217,0.021938438784678875,0.02230818775295998,0.06572586095848475,0.3963033054762605,1.1596916463478142,1.0569381088384604,1.2621120022919723,0.8956950565798542,0.6250205913656754,0.8613209454097298,0.9971303054002927,0.7861020617091635,0.5762341451786996,0.9249780253173433,0.9272336198903243
2,323004,CD4 T cell,0.2848261941028594,utag_domain::CD4 T cell__02,CD3e;CD4;CD45RO;CD45;CD20,1.966;1.804;1.561;1.536;1.515,0.06218498842119602,0.43957040779680745,0.15474421369394806,0.2848261941028594,0.2545231637998291,0.10105757204245149,0.12136691805674234,0.011674778021324814,0.023529120382410125,0.0390428601503387,0.859673564414063,0.15004477331521568,2.5916632059469653,2.0732853247017324,2.9990485237786877,4.051711581686336,1.035361203301861,0.9124081524792286,0.4183327338210408,0.6077715823673675,0.5494608538853906,2.0113842605923424
3,261927,Tumor,0.4352624968025442,utag_domain::Tumor__03,CD163;PanCK;CD15;PDL1;CD20,1.249;1.141;0.631;0.525;0.456,0.6538463006868326,0.09247233007670076,0.06218526536019578,0.03028706471650498,0.012354587346856185,0.07174899876683198,0.13629751801074344,0.04174445551623162,0.004195825554448377,0.014996544838829139,0.2862056985343244,1.5776511737052639,0.5452076190232314,0.8331671666830097,0.3189045762231458,0.19667060511467002,0.7350872200622964,1.024652916847947,1.4957947950769133,0.1083807424637485,0.21105047890304526,0.6696374777048569
4,104249,Tumor,0.2331437232011818,utag_domain::Tumor__04,CD69;CD11c;CD14;CD38;CD45,1.877;1.285;0.939;0.855;0.777,0.30689982637723145,0.22683191205671038,0.09096490134197929,0.1358670107147311,0.060787153833609914,0.10888353845120817,0.12699402392349088,0.06449941965870176,0.04096921793014801,0.04053755911327687,0.5652044623929247,0.7405117544985317,1.3373782902231204,1.21876088619553,1.4305979097101125,0.9676605128132216,1.115540271868505,0.9547114205352295,2.311154739422912,1.0582599776392083,0.5704961613734996,1.32241283986502
5,233811,Tumor,0.30236387509569695,utag_domain::Tumor__05,Vimentin;PDL1;PD1;CD31;GranzymeB,0.179;-0.212;-0.369;-0.398;-0.461,0.38255257451531366,0.044262246002112815,0.01740294511378849,0.02685930088832433,0.007364922950588296,0.0547108562043702,0.07389301615407316,0.008002189802874971,0.06444949125575786,0.2555825003956187,0.162947851042081,0.9230525852238858,0.2609657800924471,0.23316717213328997,0.2828122846375807,0.11724097395156667,0.560527002267941,0.5555104424645168,0.2867358960210595,1.6647698106286566,3.5968824610899195,0.3812502285175837
6,217073,Macrophage,0.26154335177566995,utag_domain::Macrophage__06,Vimentin;CD14;CD68;CD4;CD45,1.014;0.813;0.717;0.575;0.496,0.1001368203323306,0.2301345630271844,0.09062389150193714,0.13951067152524727,0.10325558683023683,0.26154335177566995,0.2924269715717754,0.018818554126952686,0.05928420393139635,0.09641917695890323,0.7121843803697374,0.241617903110354,1.3568503903700873,1.2141919871067628,1.4689634666749418,1.6437083791827776,2.679579906157922,2.198397694684455,0.6743097967351341,1.5313472772110375,1.3569334597610403,1.6663027835359208
7,154821,Tumor,0.38289379347762903,utag_domain::Tumor__07,CD117;CD56;PanCK;CD163;CD38,1.583;1.427;1.362;1.236;1.222,0.5889381931391736,0.11048888716646967,0.07115313814017478,0.03933574902629488,0.013667396541812803,0.06401586348105232,0.12038418560789557,0.04100864869752811,0.054979621627556985,0.02017168213614432,0.29401050245121785,1.421035846910598,0.6514314395516162,0.9533200214145967,0.4141817799469529,0.21756899463780707,0.6558592305810375,0.9050201993830278,1.4694292335672932,1.420157281337208,0.2838816021201353,0.6878984321011326
8,304431,Tumor,0.5985330009098941,utag_domain::Tumor__08,CD163;PanCK;CD15;PDL1;Ki67,0.932;0.837;0.376;0.191;0.145,0.8432879700161942,0.02039542622137693,0.013986749049866801,0.006408677171510129,0.003724982015629157,0.014722547966534289,0.040051768709494104,0.0061097588616139615,0.005360820678577412,0.010432577497035453,0.07540624969204844,2.03475075758637,0.12024939525042438,0.18739648386936003,0.06747951631039498,0.059297364330138436,0.15083634674992077,0.3010998456323146,0.21892597211679254,0.138473279648925,0.14682051769962048,0.17642853061819855
9,165424,Macrophage,0.1987559241706161,utag_domain::Macrophage__09,CD31;Vimentin;CD68;PDL1;CD11b,1.186;1.136;0.805;0.797;0.736,0.09655189089853951,0.10492431569784312,0.05256190153786633,0.052362414159976785,0.0290647064513009,0.1987559241706161,0.21793089273624142,0.09542750749588935,0.15696029596672792,0.13249588935100107,0.578283683141503,0.232967906738225,0.6186232821408744,0.7042319482937646,0.5513447293097475,0.46267619020979844,2.0363063217689255,1.6383535677873848,3.4193755135699977,4.054380524988287,1.8646509046411066,1.3530143842691844
