task,seed,fold,auc,dataset,selected
motif_apc_t_contact,0,0,0.6988505747126437,bc_jackson2020,True
motif_apc_t_contact,0,1,0.7736516357206011,bc_jackson2020,True
motif_apc_t_contact,0,2,0.7689075630252101,bc_jackson2020,True
motif_apc_t_contact,0,3,0.7693548387096775,bc_jackson2020,True
motif_apc_t_contact,0,4,0.671195652173913,bc_jackson2020,True
motif_apc_t_contact,1,0,0.6811702925731432,bc_jackson2020,True
motif_apc_t_contact,1,1,0.7307692307692308,bc_jackson2020,True
motif_apc_t_contact,1,2,0.579124579124579,bc_jackson2020,True
motif_apc_t_contact,1,3,0.735930735930736,bc_jackson2020,True
motif_apc_t_contact,1,4,0.699074074074074,bc_jackson2020,True
motif_apc_t_contact,2,0,0.7444196428571429,bc_jackson2020,True
motif_apc_t_contact,2,1,0.7053291536050157,bc_jackson2020,True
motif_apc_t_contact,2,2,0.6946236559139786,bc_jackson2020,True
motif_apc_t_contact,2,3,0.7839506172839507,bc_jackson2020,True
motif_apc_t_contact,2,4,0.6957894736842105,bc_jackson2020,True
motif_cd8_tumor_contact,0,0,0.8439153439153438,bc_jackson2020,True
motif_cd8_tumor_contact,0,1,0.7601199400299851,bc_jackson2020,True
motif_cd8_tumor_contact,0,2,0.7972027972027972,bc_jackson2020,True
motif_cd8_tumor_contact,0,3,0.8222873900293255,bc_jackson2020,True
motif_cd8_tumor_contact,0,4,0.7546419098143237,bc_jackson2020,True
motif_cd8_tumor_contact,1,0,0.7893586005830904,bc_jackson2020,True
motif_cd8_tumor_contact,1,1,0.8323412698412698,bc_jackson2020,True
motif_cd8_tumor_contact,1,2,0.8215931533903884,bc_jackson2020,True
motif_cd8_tumor_contact,1,3,0.8407142857142856,bc_jackson2020,True
motif_cd8_tumor_contact,1,4,0.826201448321264,bc_jackson2020,True
motif_cd8_tumor_contact,2,0,0.75,bc_jackson2020,True
motif_cd8_tumor_contact,2,1,0.8548951048951048,bc_jackson2020,True
motif_cd8_tumor_contact,2,2,0.8200992555831267,bc_jackson2020,True
motif_cd8_tumor_contact,2,3,0.760888888888889,bc_jackson2020,True
motif_cd8_tumor_contact,2,4,0.7818181818181817,bc_jackson2020,True
motif_macrophage_tumor_niche,0,0,0.7056650246305419,bc_jackson2020,True
motif_macrophage_tumor_niche,0,1,0.6305931321540061,bc_jackson2020,True
motif_macrophage_tumor_niche,0,2,0.736904761904762,bc_jackson2020,True
motif_macrophage_tumor_niche,0,3,0.6774193548387096,bc_jackson2020,True
