task,seed,fold,auc,dataset,selected
motif_interface_immune,0,0,0.7763532763532763,bc_metabric_ali2020,True
motif_interface_immune,0,1,0.7242798353909465,bc_metabric_ali2020,True
motif_interface_immune,0,2,0.7538265306122449,bc_metabric_ali2020,True
motif_interface_immune,0,3,0.642962962962963,bc_metabric_ali2020,True
motif_interface_immune,0,4,0.8324175824175825,bc_metabric_ali2020,True
motif_interface_immune,1,0,0.653846153846154,bc_metabric_ali2020,True
motif_interface_immune,1,1,0.798941798941799,bc_metabric_ali2020,True
motif_interface_immune,1,2,0.8082010582010581,bc_metabric_ali2020,True
motif_interface_immune,1,3,0.7307692307692308,bc_metabric_ali2020,True
motif_interface_immune,1,4,0.8614285714285714,bc_metabric_ali2020,True
motif_interface_immune,2,0,0.682962962962963,bc_metabric_ali2020,True
motif_interface_immune,2,1,0.6481481481481481,bc_metabric_ali2020,True
motif_interface_immune,2,2,0.8558201058201058,bc_metabric_ali2020,True
motif_interface_immune,2,3,0.8091133004926109,bc_metabric_ali2020,True
motif_interface_immune,2,4,0.725925925925926,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,0.872159090909091,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,1,0.888671875,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,2,0.84375,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,3,0.9104166666666667,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,4,0.9051724137931034,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,0,0.9348025711662076,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,1,0.8485663082437276,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,2,0.8719211822660098,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,3,0.8838709677419354,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,4,0.9044444444444445,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,0,0.8830357142857143,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,1,0.8668503213957759,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,2,0.8696120689655171,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,3,0.9135416666666667,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,4,0.9219562955254943,bc_metabric_ali2020,True
motif_tumor_high,0,0,0.9680400462071621,bc_metabric_ali2020,False
motif_tumor_high,0,1,0.9501818181818181,bc_metabric_ali2020,False
motif_tumor_high,0,2,0.9441077441077441,bc_metabric_ali2020,False
motif_tumor_high,0,3,0.8716307277628033,bc_metabric_ali2020,False
motif_tumor_high,0,4,0.8983228511530399,bc_metabric_ali2020,False
motif_tumor_high,1,0,0.900075414781297,bc_metabric_ali2020,False
motif_tumor_high,1,1,0.9333333333333333,bc_metabric_ali2020,False
motif_tumor_high,1,2,0.9007843137254902,bc_metabric_ali2020,False
motif_tumor_high,1,3,0.9136967155835081,bc_metabric_ali2020,False
motif_tumor_high,1,4,0.9622641509433962,bc_metabric_ali2020,False
motif_tumor_high,2,0,0.9295340777820562,bc_metabric_ali2020,False
motif_tumor_high,2,1,0.9618518518518518,bc_metabric_ali2020,False
motif_tumor_high,2,2,0.8786533481317055,bc_metabric_ali2020,False
motif_tumor_high,2,3,0.940495867768595,bc_metabric_ali2020,False
motif_tumor_high,2,4,0.8850574712643678,bc_metabric_ali2020,False
motif_cd8_high,0,0,0.803921568627451,bc_metabric_ali2020,False
motif_cd8_high,0,1,0.8016528925619835,bc_metabric_ali2020,False
motif_cd8_high,0,2,0.8185185185185184,bc_metabric_ali2020,False
motif_cd8_high,0,3,0.8284734133790737,bc_metabric_ali2020,False
motif_cd8_high,0,4,0.8644304682040531,bc_metabric_ali2020,False
motif_cd8_high,1,0,0.7911522633744856,bc_metabric_ali2020,False
motif_cd8_high,1,1,0.7279220779220779,bc_metabric_ali2020,False
motif_cd8_high,1,2,0.8929411764705882,bc_metabric_ali2020,False
motif_cd8_high,1,3,0.8398692810457516,bc_metabric_ali2020,False
motif_cd8_high,1,4,0.8193570929419987,bc_metabric_ali2020,False
motif_cd8_high,2,0,0.8315326130452181,bc_metabric_ali2020,False
motif_cd8_high,2,1,0.8045454545454545,bc_metabric_ali2020,False
motif_cd8_high,2,2,0.7958839406207827,bc_metabric_ali2020,False
motif_cd8_high,2,3,0.8038847117794486,bc_metabric_ali2020,False
motif_cd8_high,2,4,0.8583673469387755,bc_metabric_ali2020,False
