task,seed,fold,auc,dataset,selected
motif_cd8_clustering,0,0,0.6125541125541125,hnc_wu2022,True
motif_cd8_clustering,0,1,0.6898550724637682,hnc_wu2022,True
motif_cd8_clustering,0,2,0.7325,hnc_wu2022,True
motif_cd8_clustering,0,3,0.4970588235294118,hnc_wu2022,True
motif_cd8_clustering,0,4,0.7003367003367004,hnc_wu2022,True
motif_cd8_clustering,1,0,0.5775729646697388,hnc_wu2022,True
motif_cd8_clustering,1,1,0.36309523809523814,hnc_wu2022,True
motif_cd8_clustering,1,2,0.662037037037037,hnc_wu2022,True
motif_cd8_clustering,1,3,0.5718518518518518,hnc_wu2022,True
motif_cd8_clustering,1,4,0.702020202020202,hnc_wu2022,True
motif_cd8_clustering,2,0,0.6471571906354515,hnc_wu2022,True
motif_cd8_clustering,2,1,0.4305882352941176,hnc_wu2022,True
motif_cd8_clustering,2,2,0.6799242424242424,hnc_wu2022,True
motif_cd8_clustering,2,3,0.5749559082892417,hnc_wu2022,True
motif_cd8_clustering,2,4,0.7927170868347339,hnc_wu2022,True
motif_immune_exclusion,0,0,0.671592775041051,hnc_wu2022,True
motif_immune_exclusion,0,1,0.7291666666666666,hnc_wu2022,True
motif_immune_exclusion,0,2,0.7060185185185186,hnc_wu2022,True
motif_immune_exclusion,0,3,0.6343490304709141,hnc_wu2022,True
motif_immune_exclusion,0,4,0.8214285714285714,hnc_wu2022,True
motif_immune_exclusion,1,0,0.70995670995671,hnc_wu2022,True
motif_immune_exclusion,1,1,0.7536231884057971,hnc_wu2022,True
motif_immune_exclusion,1,2,0.676470588235294,hnc_wu2022,True
motif_immune_exclusion,1,3,0.7202380952380952,hnc_wu2022,True
motif_immune_exclusion,1,4,0.7646153846153846,hnc_wu2022,True
motif_immune_exclusion,2,0,0.7764705882352941,hnc_wu2022,True
motif_immune_exclusion,2,1,0.6638888888888889,hnc_wu2022,True
motif_immune_exclusion,2,2,0.7708333333333333,hnc_wu2022,True
motif_immune_exclusion,2,3,0.6785714285714286,hnc_wu2022,True
motif_immune_exclusion,2,4,0.7341269841269842,hnc_wu2022,True
motif_tumor_high,0,0,0.7596273291925466,hnc_wu2022,False
motif_tumor_high,0,1,0.7364864864864865,hnc_wu2022,False
motif_tumor_high,0,2,0.8784029038112522,hnc_wu2022,False
motif_tumor_high,0,3,0.7279411764705882,hnc_wu2022,False
motif_tumor_high,0,4,0.6858974358974359,hnc_wu2022,False
motif_tumor_high,1,0,0.7866666666666666,hnc_wu2022,False
motif_tumor_high,1,1,0.7371621621621621,hnc_wu2022,False
motif_tumor_high,1,2,0.8129870129870129,hnc_wu2022,False
motif_tumor_high,1,3,0.7788671023965141,hnc_wu2022,False
motif_tumor_high,1,4,0.6860537836147592,hnc_wu2022,False
motif_tumor_high,2,0,0.7583527583527584,hnc_wu2022,False
motif_tumor_high,2,1,0.8259141494435612,hnc_wu2022,False
motif_tumor_high,2,2,0.7119155354449471,hnc_wu2022,False
motif_tumor_high,2,3,0.7649521531100478,hnc_wu2022,False
motif_tumor_high,2,4,0.8168402777777778,hnc_wu2022,False
motif_cd8_high,0,0,0.6555555555555556,hnc_wu2022,False
motif_cd8_high,0,1,0.7246031746031747,hnc_wu2022,False
motif_cd8_high,0,2,0.8058968058968059,hnc_wu2022,False
motif_cd8_high,0,3,0.7802275960170697,hnc_wu2022,False
motif_cd8_high,0,4,0.7665847665847666,hnc_wu2022,False
motif_cd8_high,1,0,0.7606837606837606,hnc_wu2022,False
motif_cd8_high,1,1,0.7694581280788177,hnc_wu2022,False
motif_cd8_high,1,2,0.7012417823228634,hnc_wu2022,False
motif_cd8_high,1,3,0.6657986111111112,hnc_wu2022,False
motif_cd8_high,1,4,0.7905405405405406,hnc_wu2022,False
motif_cd8_high,2,0,0.7880067567567568,hnc_wu2022,False
motif_cd8_high,2,1,0.6937500000000001,hnc_wu2022,False
motif_cd8_high,2,2,0.7888888888888889,hnc_wu2022,False
motif_cd8_high,2,3,0.7133464825772518,hnc_wu2022,False
motif_cd8_high,2,4,0.7030651340996168,hnc_wu2022,False
