task,seed,fold,auc,dataset,selected
motif_cd8_high,0,0,0.884168482207698,tnbc_wang2023,True
motif_cd8_high,0,1,0.8562836340614118,tnbc_wang2023,True
motif_cd8_high,0,2,0.8611842105263158,tnbc_wang2023,True
motif_cd8_high,0,3,0.8682157100745621,tnbc_wang2023,True
motif_cd8_high,0,4,0.8701298701298701,tnbc_wang2023,True
motif_cd8_high,1,0,0.8988034188034187,tnbc_wang2023,True
motif_cd8_high,1,1,0.842051282051282,tnbc_wang2023,True
motif_cd8_high,1,2,0.9034234234234235,tnbc_wang2023,True
motif_cd8_high,1,3,0.8661538461538462,tnbc_wang2023,True
motif_cd8_high,1,4,0.850801282051282,tnbc_wang2023,True
motif_cd8_high,2,0,0.8785937500000001,tnbc_wang2023,True
motif_cd8_high,2,1,0.880708294501398,tnbc_wang2023,True
motif_cd8_high,2,2,0.846031746031746,tnbc_wang2023,True
motif_cd8_high,2,3,0.8642605633802816,tnbc_wang2023,True
motif_cd8_high,2,4,0.9288235294117648,tnbc_wang2023,True
motif_tumor_high,0,0,0.8202522115565594,tnbc_wang2023,False
motif_tumor_high,0,1,0.8259141494435611,tnbc_wang2023,False
motif_tumor_high,0,2,0.8293807641633728,tnbc_wang2023,False
motif_tumor_high,0,3,0.8411787217757367,tnbc_wang2023,False
motif_tumor_high,0,4,0.8233704292527821,tnbc_wang2023,False
motif_tumor_high,1,0,0.8396616541353384,tnbc_wang2023,False
motif_tumor_high,1,1,0.7825413223140496,tnbc_wang2023,False
motif_tumor_high,1,2,0.7753676470588234,tnbc_wang2023,False
motif_tumor_high,1,3,0.8329113924050633,tnbc_wang2023,False
motif_tumor_high,1,4,0.845264491605955,tnbc_wang2023,False
motif_tumor_high,2,0,0.8342122610415293,tnbc_wang2023,False
motif_tumor_high,2,1,0.8181506849315069,tnbc_wang2023,False
motif_tumor_high,2,2,0.8001524390243903,tnbc_wang2023,False
motif_tumor_high,2,3,0.8184931506849316,tnbc_wang2023,False
motif_tumor_high,2,4,0.8266666666666667,tnbc_wang2023,False
