task,kind,region_id,n_cells,top_k,top_expected_frac,background_frac,enrichment,passed,dataset,selected
motif_cd8_high,control,NTImg0011,1060,106,0.08490566037735849,0.03207547169811321,2.6470588235294117,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0012,644,65,0.12307692307692308,0.059006211180124224,2.0858299595141703,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0013,1286,129,0.007751937984496124,0.020995334370139968,0.369221935113408,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0014,1020,102,0.17647058823529413,0.09705882352941177,1.8181818181818183,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0015,709,71,0.014084507042253521,0.08039492242595205,0.1751914998764517,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0016,954,96,0.0,0.016771488469601678,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0017,857,86,0.4069767441860465,0.12018669778296383,3.38620456084895,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0018,870,87,0.2413793103448276,0.1,2.413793103448276,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0019,1106,111,0.42342342342342343,0.24050632911392406,1.7605500237079184,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0020,901,91,0.16483516483516483,0.06881243063263041,2.3954271534916693,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0021,1636,164,0.006097560975609756,0.019559902200488997,0.3117378048780488,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0022,1365,137,0.0,0.004395604395604396,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0023,732,74,0.47297297297297297,0.31693989071038253,1.4923112767940354,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0025,127,13,0.0,0.0,1.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0026,347,35,0.0,0.002881844380403458,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0027,1042,105,0.0,0.008637236084452975,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0028,658,66,0.0,0.0425531914893617,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0029,310,31,0.0,0.0,1.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0030,412,42,0.0,0.0048543689320388345,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0041,545,55,0.6,0.6311926605504588,0.9505813953488371,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0042,818,82,0.34146341463414637,0.15647921760391198,2.1821646341463414,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0043,773,78,0.05128205128205128,0.04139715394566624,1.238782051282051,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0044,685,69,0.7101449275362319,0.3854014598540146,1.8426108915239352,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0045,587,59,0.15254237288135594,0.3577512776831346,0.42639225181598067,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0046,398,40,0.025,0.13316582914572864,0.1877358490566038,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0047,356,36,0.027777777777777776,0.11797752808988764,0.23544973544973544,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0048,922,93,0.11827956989247312,0.0770065075921909,1.5359684991670453,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0049,657,66,0.3333333333333333,0.1552511415525114,2.1470588235294117,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0050,468,47,0.0425531914893617,0.15384615384615385,0.276595744680851,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0061,1344,135,0.2074074074074074,0.17857142857142858,1.1614814814814813,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0062,1397,140,0.12857142857142856,0.1324266284896206,0.9708880308880308,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0063,1219,122,0.26229508196721313,0.09433962264150944,2.780327868852459,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0064,1836,184,0.33152173913043476,0.35239651416122003,0.9407633895571533,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0065,1380,138,0.2318840579710145,0.15434782608695652,1.5023474178403757,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0066,1006,101,0.22772277227722773,0.12226640159045726,1.8625130805763503,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0067,1326,133,0.5413533834586466,0.4238310708898944,1.277285741042999,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0068,760,76,0.39473684210526316,0.2776315789473684,1.4218009478672988,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0069,1320,132,0.21212121212121213,0.10833333333333334,1.9580419580419581,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0070,276,28,0.32142857142857145,0.12318840579710146,2.6092436974789917,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0081,726,73,0.726027397260274,0.29201101928374656,2.4863013698630136,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0082,604,61,0.3442622950819672,0.173841059602649,1.980327868852459,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0083,1201,121,0.36363636363636365,0.1765195670274771,2.0600343053173242,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0084,810,81,0.5061728395061729,0.3814814814814815,1.3268608414239482,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0085,2040,204,0.09803921568627451,0.049509803921568625,1.9801980198019802,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0086,1816,182,0.17582417582417584,0.1222466960352423,1.4382734382734383,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0087,1261,127,0.2047244094488189,0.20618556701030927,0.9929133858267717,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0088,1011,102,0.2549019607843137,0.19881305637982197,1.282118817676324,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0089,1820,182,0.24175824175824176,0.18846153846153846,1.282798833819242,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0090,1839,184,0.358695652173913,0.3953235454051115,0.9073470486214938,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0585,906,91,0.37362637362637363,0.2781456953642384,1.3432757718472006,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0586,1398,140,0.14285714285714285,0.13948497854077252,1.0241758241758243,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0587,1159,116,0.27586206896551724,0.27523727351164795,1.0022700248621772,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0588,2047,205,0.13170731707317074,0.10942843185148998,1.203593205574913,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0589,1705,171,0.12280701754385964,0.05219941348973607,2.352651291149221,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0590,2090,209,0.20095693779904306,0.1397129186602871,1.4383561643835614,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0594,1669,167,0.03592814371257485,0.0695026962252846,0.5169316539335123,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0595,1695,170,0.06470588235294118,0.04601769911504425,1.406108597285068,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0596,2052,206,0.1262135922330097,0.06432748538011696,1.9620476610767874,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0597,2098,210,0.26666666666666666,0.3217349857006673,0.8288395061728395,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0598,775,78,0.0,0.016774193548387096,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0599,653,66,0.015151515151515152,0.018376722817764167,0.8244949494949494,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0603,1175,118,0.2966101694915254,0.18978723404255318,1.5628562742266474,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0604,1158,116,0.09482758620689655,0.1070811744386874,0.8855672969966629,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0605,1089,109,0.06422018348623854,0.027548209366391185,2.331192660550459,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0612,2257,226,0.02654867256637168,0.04962339388568897,0.5350031605562579,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0613,2225,223,0.20179372197309417,0.11865168539325843,1.7007236037505096,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0614,2005,201,0.13432835820895522,0.07830423940149626,1.7154672497385681,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0615,2005,201,0.004975124378109453,0.027930174563591023,0.1781272210376688,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0616,1530,153,0.006535947712418301,0.023529411764705882,0.2777777777777778,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0617,1503,151,0.046357615894039736,0.020625415834996674,2.2475966673787653,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0622,680,68,0.0,0.01911764705882353,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0623,1068,107,0.0,0.0056179775280898875,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0624,1155,116,0.008620689655172414,0.033766233766233764,0.25530503978779845,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0625,1052,106,0.0,0.0370722433460076,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0626,1187,119,0.4789915966386555,0.22240943555181128,2.15364782276547,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0628,1159,116,0.22413793103448276,0.057808455565142365,3.877251672671127,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0632,1539,154,0.21428571428571427,0.1507472384665367,1.4214901477832513,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0633,1051,106,0.330188679245283,0.219790675547098,1.5022870211549457,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0634,1549,155,0.2,0.14460942543576502,1.3830357142857141,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0638,1138,114,0.0,0.056239015817223195,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0639,1105,111,0.1891891891891892,0.1167420814479638,1.6205740624345277,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0640,985,99,0.010101010101010102,0.04263959390862944,0.23689273689273693,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0647,1757,176,0.1534090909090909,0.08195788275469551,1.871803977272727,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0648,1766,177,0.07344632768361582,0.058323895809739526,1.2592836377598595,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0649,1746,175,0.18857142857142858,0.09564719358533791,1.9715312232677504,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0656,1558,156,0.10897435897435898,0.057766367137355584,1.8864672364672366,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0657,1834,184,0.2717391304347826,0.3244274809160305,0.8375959079283888,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0658,1933,194,0.3402061855670103,0.2793585100879462,1.217812142038946,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0659,2018,202,0.13366336633663367,0.10257680872150644,1.3030563925957814,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0660,2241,225,0.10666666666666667,0.11155734047300313,0.95616,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0661,2426,243,0.22633744855967078,0.23495465787304204,0.9633239477294059,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0665,1354,136,0.19852941176470587,0.08936484490398819,2.2215605250364607,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0666,1303,131,0.07633587786259542,0.08749040675364543,0.8725056917101915,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0667,740,74,0.21621621621621623,0.12837837837837837,1.6842105263157896,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0671,1557,156,0.20512820512820512,0.15350032113037893,1.3363373028644996,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0672,1679,168,0.1488095238095238,0.1232876712328767,1.207010582010582,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0673,1543,155,0.16129032258064516,0.1678548282566429,0.9608917673433802,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0677,717,72,0.0,0.005578800557880056,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0678,552,56,0.03571428571428571,0.059782608695652176,0.5974025974025974,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0679,268,27,0.0,0.0,1.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0680,439,44,0.0,0.02050113895216401,0.0,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0685,1041,105,0.0761904761904762,0.01921229586935639,3.9657142857142857,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0686,1325,133,0.16541353383458646,0.07773584905660377,2.1278925469012338,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0687,1297,130,0.2,0.09175019275250579,2.179831932773109,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0691,1817,182,0.11538461538461539,0.08035222894881673,1.4359852476290833,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0692,2102,211,0.1990521327014218,0.15937202664129402,1.248977859517578,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0693,1365,137,0.0364963503649635,0.01904761904761905,1.9160583941605835,True,tnbc_wang2023,True
motif_cd8_high,control,NTImg0694,1224,123,0.5447154471544715,0.4730392156862745,1.1515228105648931,False,tnbc_wang2023,True
motif_cd8_high,control,NTImg0695,1716,172,0.29069767441860467,0.21678321678321677,1.3409602400600151,True,tnbc_wang2023,True
