task,seed,fold,auc,dataset,selected
motif_interface_immune,0,0,0.5867346938775511,bc_metabric_ali2020,True
motif_interface_immune,0,1,0.6035665294924555,bc_metabric_ali2020,True
motif_interface_immune,0,2,0.6551724137931035,bc_metabric_ali2020,True
motif_interface_immune,0,3,0.5420918367346939,bc_metabric_ali2020,True
motif_interface_immune,0,4,0.603988603988604,bc_metabric_ali2020,True
motif_interface_immune,1,0,0.6395061728395062,bc_metabric_ali2020,True
motif_interface_immune,1,1,0.5912208504801097,bc_metabric_ali2020,True
motif_interface_immune,1,2,0.6111111111111112,bc_metabric_ali2020,True
motif_interface_immune,1,3,0.5829081632653061,bc_metabric_ali2020,True
motif_interface_immune,1,4,0.6812169312169313,bc_metabric_ali2020,True
motif_interface_immune,2,0,0.5925925925925926,bc_metabric_ali2020,True
motif_interface_immune,2,1,0.6071428571428571,bc_metabric_ali2020,True
motif_interface_immune,2,2,0.6626984126984127,bc_metabric_ali2020,True
motif_interface_immune,2,3,0.6135204081632653,bc_metabric_ali2020,True
motif_interface_immune,2,4,0.6227709190672154,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,0.4545454545454546,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,1,0.6970588235294117,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,2,0.6584022038567494,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,3,0.7,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,4,0.5570409982174688,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,0,0.5932047750229568,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,1,0.6099137931034484,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,2,0.5372983870967742,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,3,0.6338383838383838,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,1,4,0.5614973262032086,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,0,0.5241935483870968,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,1,0.7151515151515152,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,2,0.5160697887970616,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,3,0.5620723362658846,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,2,4,0.6306818181818181,bc_metabric_ali2020,True
motif_tumor_high,0,0,0.7766666666666667,bc_metabric_ali2020,False
motif_tumor_high,0,1,0.8192733990147784,bc_metabric_ali2020,False
motif_tumor_high,0,2,0.7294973544973545,bc_metabric_ali2020,False
motif_tumor_high,0,3,0.7986425339366516,bc_metabric_ali2020,False
motif_tumor_high,0,4,0.8124092888243831,bc_metabric_ali2020,False
motif_tumor_high,1,0,0.8379629629629629,bc_metabric_ali2020,False
motif_tumor_high,1,1,0.8233418367346939,bc_metabric_ali2020,False
motif_tumor_high,1,2,0.7823129251700681,bc_metabric_ali2020,False
motif_tumor_high,1,3,0.8156739811912226,bc_metabric_ali2020,False
motif_tumor_high,1,4,0.7636363636363636,bc_metabric_ali2020,False
motif_tumor_high,2,0,0.8255012531328321,bc_metabric_ali2020,False
motif_tumor_high,2,1,0.7661857195708472,bc_metabric_ali2020,False
motif_tumor_high,2,2,0.7381481481481481,bc_metabric_ali2020,False
motif_tumor_high,2,3,0.7912561576354679,bc_metabric_ali2020,False
motif_tumor_high,2,4,0.8243933588761175,bc_metabric_ali2020,False
motif_cd8_high,0,0,0.5670033670033671,bc_metabric_ali2020,False
motif_cd8_high,0,1,0.6390461997019373,bc_metabric_ali2020,False
motif_cd8_high,0,2,0.6113165680473372,bc_metabric_ali2020,False
motif_cd8_high,0,3,0.6239206907579149,bc_metabric_ali2020,False
motif_cd8_high,0,4,0.7425213675213675,bc_metabric_ali2020,False
motif_cd8_high,1,0,0.6388140161725068,bc_metabric_ali2020,False
motif_cd8_high,1,1,0.5752539242843953,bc_metabric_ali2020,False
motif_cd8_high,1,2,0.6588235294117647,bc_metabric_ali2020,False
motif_cd8_high,1,3,0.6217948717948717,bc_metabric_ali2020,False
motif_cd8_high,1,4,0.7245791245791247,bc_metabric_ali2020,False
motif_cd8_high,2,0,0.5776233035418736,bc_metabric_ali2020,False
motif_cd8_high,2,1,0.6795883361921098,bc_metabric_ali2020,False
motif_cd8_high,2,2,0.658116883116883,bc_metabric_ali2020,False
motif_cd8_high,2,3,0.7033788174139052,bc_metabric_ali2020,False
motif_cd8_high,2,4,0.648951048951049,bc_metabric_ali2020,False
