task,seed,fold,auc,dataset,selected
motif_cd8_high,0,0,0.9513435003631083,tnbc_wang2023,True
motif_cd8_high,0,1,0.923076923076923,tnbc_wang2023,True
motif_cd8_high,0,2,0.8886513157894738,tnbc_wang2023,True
motif_cd8_high,0,3,0.9136466100225421,tnbc_wang2023,True
motif_cd8_high,0,4,0.937049062049062,tnbc_wang2023,True
motif_cd8_high,1,0,0.9222222222222223,tnbc_wang2023,True
motif_cd8_high,1,1,0.9217094017094016,tnbc_wang2023,True
motif_cd8_high,1,2,0.9363963963963964,tnbc_wang2023,True
motif_cd8_high,1,3,0.9153846153846155,tnbc_wang2023,True
motif_cd8_high,1,4,0.922275641025641,tnbc_wang2023,True
motif_cd8_high,2,0,0.9029687500000001,tnbc_wang2023,True
motif_cd8_high,2,1,0.934762348555452,tnbc_wang2023,True
motif_cd8_high,2,2,0.9359788359788359,tnbc_wang2023,True
motif_cd8_high,2,3,0.9130281690140845,tnbc_wang2023,True
motif_cd8_high,2,4,0.9472549019607843,tnbc_wang2023,True
motif_tumor_high,0,0,0.78223226049313,tnbc_wang2023,False
motif_tumor_high,0,1,0.8883942766295707,tnbc_wang2023,False
motif_tumor_high,0,2,0.8797760210803689,tnbc_wang2023,False
motif_tumor_high,0,3,0.8740910830463069,tnbc_wang2023,False
motif_tumor_high,0,4,0.8772655007949126,tnbc_wang2023,False
motif_tumor_high,1,0,0.8428571428571429,tnbc_wang2023,False
motif_tumor_high,1,1,0.852961432506887,tnbc_wang2023,False
motif_tumor_high,1,2,0.8152573529411765,tnbc_wang2023,False
motif_tumor_high,1,3,0.8962025316455696,tnbc_wang2023,False
motif_tumor_high,1,4,0.8533417801710484,tnbc_wang2023,False
motif_tumor_high,2,0,0.8177323665128544,tnbc_wang2023,False
motif_tumor_high,2,1,0.825513698630137,tnbc_wang2023,False
motif_tumor_high,2,2,0.8152439024390243,tnbc_wang2023,False
motif_tumor_high,2,3,0.8327625570776255,tnbc_wang2023,False
motif_tumor_high,2,4,0.8520888888888889,tnbc_wang2023,False
