method,dataset,task,kind,passed,verdict,controls_ok,raw_passed
lasso,bc_jackson2020,motif_apc_t_contact,spatial,True,pass_spatial,True,True
lasso,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,pass_spatial,True,True
lasso,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,pass_spatial,True,True
lasso,bc_jackson2020,motif_t_tumor_mixing,spatial,True,pass_spatial,True,True
lasso,bc_jackson2020,motif_tumor_high,control,True,pass_control,True,True
lasso,bc_metabric_ali2020,motif_interface_immune,spatial,False,fail_spatial,True,False
lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,fail_spatial,True,False
lasso,hnc_wu2022,motif_cd8_clustering,spatial,True,pass_spatial,True,True
lasso,hnc_wu2022,motif_immune_exclusion,spatial,True,pass_spatial,True,True
lasso,tnbc_wang2023,motif_cd8_high,control,True,pass_control,True,True
shap,bc_jackson2020,motif_apc_t_contact,spatial,True,pass_spatial,True,True
shap,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,pass_spatial,True,True
shap,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,pass_spatial,True,True
shap,bc_jackson2020,motif_t_tumor_mixing,spatial,True,pass_spatial,True,True
shap,bc_jackson2020,motif_tumor_high,control,True,pass_control,True,True
shap,bc_metabric_ali2020,motif_interface_immune,spatial,False,fail_spatial,True,False
shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,fail_spatial,True,False
shap,hnc_wu2022,motif_cd8_clustering,spatial,True,pass_spatial,True,True
shap,hnc_wu2022,motif_immune_exclusion,spatial,True,pass_spatial,True,True
shap,tnbc_wang2023,motif_cd8_high,control,True,pass_control,True,True
kronos,bc_jackson2020,motif_apc_t_contact,spatial,False,fail_control_block,False,False
kronos,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,fail_control_block,False,True
kronos,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,fail_control_block,False,False
kronos,bc_jackson2020,motif_t_tumor_mixing,spatial,False,fail_control_block,False,True
kronos,bc_jackson2020,motif_tumor_high,control,False,fail_control,False,False
kronos,bc_metabric_ali2020,motif_interface_immune,spatial,False,fail_control_block,False,True
kronos,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,fail_control_block,False,False
kronos,hnc_wu2022,motif_cd8_clustering,spatial,False,fail_control_block,False,True
kronos,hnc_wu2022,motif_immune_exclusion,spatial,False,fail_control_block,False,True
kronos,tnbc_wang2023,motif_cd8_high,control,True,pass_control,False,True
eva,bc_jackson2020,motif_apc_t_contact,spatial,False,fail_control_block,False,True
eva,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,fail_control_block,False,True
eva,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,fail_control_block,False,True
eva,bc_jackson2020,motif_t_tumor_mixing,spatial,False,fail_control_block,False,True
eva,bc_jackson2020,motif_tumor_high,control,True,pass_control,False,True
eva,bc_metabric_ali2020,motif_interface_immune,spatial,False,fail_control_block,False,True
eva,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,fail_control_block,False,True
eva,hnc_wu2022,motif_cd8_clustering,spatial,False,fail_control_block,False,True
eva,hnc_wu2022,motif_immune_exclusion,spatial,False,fail_control_block,False,True
eva,tnbc_wang2023,motif_cd8_high,control,False,fail_control,False,False
utag_cellular,bc_jackson2020,motif_apc_t_contact,spatial,False,fail_spatial,True,False
utag_cellular,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,fail_spatial,True,False
utag_cellular,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,fail_spatial,True,False
utag_cellular,bc_jackson2020,motif_t_tumor_mixing,spatial,False,fail_spatial,True,False
utag_cellular,bc_jackson2020,motif_tumor_high,control,True,pass_control,True,True
utag_cellular,bc_metabric_ali2020,motif_interface_immune,spatial,False,fail_control_block,False,True
utag_cellular,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,fail_control_block,False,False
utag_cellular,hnc_wu2022,motif_cd8_clustering,spatial,False,fail_control_block,False,False
utag_cellular,hnc_wu2022,motif_immune_exclusion,spatial,False,fail_control_block,False,False
utag_cellular,tnbc_wang2023,motif_cd8_high,control,True,pass_control,False,True
