task,seed,fold,method,rank,feature,dataset,selected
motif_tumor_stroma_mixing,0,0,lasso,1,mixing::shannon_entropy_normalized,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,2,mixing::shannon_entropy_global,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,3,mixing::neighbor_fraction__HRlow CKlow__to__HR- CKlow CK5+,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,4,mixing::local_mixing_std,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,5,mixing::neighbor_fraction__Macrophages Vim+ Slug-__to__HR+ CK7-,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,6,mixing::local_mixing_max,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,7,mixing::neighbor_fraction__Fibroblasts CD68+__to__HR+ CK7-,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,8,mixing::neighbor_fraction__HR+ CK7- Slug+__to__HR- CK7+,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,9,mixing::neighbor_fraction__HR- Ki67+__to__Fibroblasts,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,10,mixing::neighbor_fraction__Macrophages Vim+ Slug+__to__Fibroblasts CD68+,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,11,point-pattern::HR- CK7-_L_r50,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,12,mixing::neighbor_fraction__HR+ CK7-__to__HR+ CK7-,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,13,mixing::neighbor_fraction__Basal CKlow__to__Fibroblasts,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,14,mixing::neighbor_fraction__HR- Ki67+__to__Vascular SMA+,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,15,point-pattern::HR+ CK7-_L_r50,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,16,mixing::neighbor_fraction__Fibroblasts__to__HR+ CK7-,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,17,mixing::neighbor_fraction__Fibroblasts__to__Myofibroblasts,bc_metabric_ali2020,True
motif_tumor_stroma_mixing,0,0,lasso,18,mixing::neighbor_fraction__HR- CK7-__to__Macrophages Vim+ Slug+,bc_metabric_ali2020,True
