task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected
motif_tumor_high,control,15,0.9721066973045723,0.9729267388048382,1.0,1.0,1.0,1.0,0.025903921039066528,0.00010620549265196732,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True
motif_cd8_high,control,15,0.965479166824133,0.9506759715688374,1.0,1.0,1.0,1.0,0.05966785277295557,0.0006640671992543738,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False
motif_t_tumor_mixing,spatial,15,0.8804172395580807,0.8832423194389634,1.0,1.0,1.0,1.0,0.04918233893601939,0.0005266670220123022,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,15,0.8757017183602076,0.8810976088249568,1.0,1.0,1.0,1.0,0.04549541335024992,0.0020424285116250164,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,15,0.7913776079784736,0.7899695820827977,1.0,1.0,1.0,1.0,0.0984478229884034,0.003894063274048228,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True
motif_apc_t_contact,spatial,15,0.6806886142837433,0.6839872439309251,1.0,1.0,0.9333333333333333,0.9333333333333333,0.08099804599859309,0.002540096365025472,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True
motif_tumor_high,control,15,0.9713954706648246,0.9730954687076349,1.0,1.0,0.8666666666666667,0.8666666666666667,0.017807976132421074,0.0025384718186073057,1.0,1.0,0.9333333333333333,pass_control,pass_control,pass_control,hnc_wu2022,False
motif_cd8_high,control,15,0.9879110757777563,0.9894210856148462,1.0,1.0,1.0,1.0,0.02678772065330141,0.0009822466546580552,1.0,1.0,0.9333333333333333,pass_control,pass_control,pass_control,hnc_wu2022,False
motif_cd8_clustering,spatial,15,0.9510262882344303,0.9481648231981356,1.0,1.0,1.0,1.0,0.17138469959718666,0.006121625254035501,1.0,1.0,0.9333333333333333,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True
motif_immune_exclusion,spatial,15,0.9795306247910294,0.9785176911026952,0.0,0.0,0.8666666666666667,0.0,0.035049563073145336,0.0017554970332918974,1.0,1.0,0.9333333333333333,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True
motif_tumor_high,control,15,0.9672023419648753,0.9680316449844991,1.0,1.0,0.8,0.8,0.0035829734471945446,0.00018328829768024708,0.5,0.6,0.4,pass_control,pass_control,pass_control,tnbc_wang2023,False
motif_cd8_high,control,15,0.9772897004106226,0.9752298485299818,0.0,0.2,0.9333333333333333,0.0,0.0021732424379100833,-7.536397152105856e-05,0.5,0.6,0.4,fail_control,fail_control,fail_control,tnbc_wang2023,True
motif_tumor_high,control,15,0.9822998525837939,0.9832602459370388,1.0,1.0,0.9333333333333333,0.9333333333333333,0.010776048379644616,0.00031791298897046645,0.5,0.5,0.4666666666666667,pass_control,pass_control,pass_control,bc_metabric_ali2020,False
motif_cd8_high,control,15,0.9609184206676552,0.9543877750290347,0.0,0.0,1.0,0.0,0.02280822310227392,0.0012557044457551052,0.5,0.5,0.4666666666666667,fail_control,fail_control,fail_control,bc_metabric_ali2020,False
motif_tumor_stroma_mixing,spatial,15,0.8721206303099582,0.873742112677661,1.0,1.0,1.0,1.0,0.050670468532506986,0.002028537103463675,0.5,0.5,0.4666666666666667,pass_spatial,pass_spatial,fail_control_block,bc_metabric_ali2020,True
motif_interface_immune,spatial,15,0.5865776068687947,0.5847062845164773,0.0,0.0,0.5333333333333333,0.0,0.009460410132550246,0.0019130476538492017,0.5,0.5,0.4666666666666667,abundance_only_or_fail,abundance_only_or_fail,fail_control_block,bc_metabric_ali2020,True
