task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap,dataset,selected
motif_cd8_high,control,0,0,617,149,0.9807552650689906,0.9836601307189543,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},mixing::neighbor_fraction__M2 Mac__to__CD8^+T,,,62,14,False,False,False,0.002178649237472796,-0.0005446623093681158,True,False,mixing::neighbor_fraction__M2 Mac__to__CD8^+T;mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T;mixing::neighbor_fraction__CD8^+T__to__CD8^+T;mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex};mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,control,0,1,607,159,0.9694523583412472,0.9678695789806901,mixing::local_mixing_max,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,,,53,34,False,False,False,0.005223171889838563,-0.0006331117442228695,True,False,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T;mixing::shannon_entropy_global;mixing::neighbor_fraction__M2 Mac__to__CD8^+T;mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T;mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,control,0,2,610,156,0.9697368421052631,0.9699013157894737,point-pattern::CD8^+T_L_r50,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T,,,30,22,False,False,False,0.0006578947368419685,0.0003289473684211508,True,False,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T;mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex};mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+PD1^+T_{Ex};mixing::shannon_entropy_global;mixing::neighbor_fraction__M2 Mac__to__Treg,tnbc_wang2023,True
motif_cd8_high,control,0,3,614,152,0.9876885729148605,0.9887289752037454,mixing::local_mixing_max,mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T,,composition::CD8^+GZMB^+T,17,2,False,True,False,0.0043350095370208175,0.0,True,False,mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T;composition::CD8^+GZMB^+T;mixing::neighbor_fraction__Treg__to__CD8^+T;mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T;mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,control,0,4,616,150,0.9781746031746031,0.9812409812409812,mixing::neighbor_fraction__CD56^+NK__to__DCs,mixing::neighbor_fraction__CD56^+NK__to__DCs,,,46,22,False,False,False,0.004870129870129913,-0.0003607503607503393,True,False,mixing::neighbor_fraction__CD56^+NK__to__DCs;mixing::neighbor_fraction__CK^{hi}GATA3^{+}__to__Helios^{+};mixing::neighbor_fraction__M2 Mac__to__CD8^+T;mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex};mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,control,1,0,613,153,0.9762393162393161,0.9791452991452991,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,,,46,18,False,False,False,0.0008547008547008517,0.0005128205128206442,True,False,mixing::neighbor_fraction__M2 Mac__to__CD8^+T;mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T;mixing::neighbor_fraction__PD-L1^+APCs__to__CD8^+GZMB^+T;mixing::neighbor_fraction__M2 Mac__to__CD8^+GZMB^+T;mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,control,1,1,613,153,0.9736752136752137,0.974017094017094,mixing::neighbor_fraction__Treg__to__CD8^+T,mixing::neighbor_fraction__Treg__to__CD8^+T,,,37,19,False,False,False,0.0005128205128205332,0.00017094017094021474,True,False,mixing::neighbor_fraction__Treg__to__CD8^+T;mixing::neighbor_fraction__M2 Mac__to__Treg;mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T;mixing::shannon_entropy_global;mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,control,1,2,617,149,0.9724324324324324,0.9736936936936935,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,,,51,27,False,False,False,0.001081081081080848,-0.00018018018018028936,True,False,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T;mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T;mixing::shannon_entropy_global;mixing::shannon_entropy_normalized;mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,control,1,3,613,153,0.9820512820512821,0.9823931623931624,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,,,45,11,False,False,False,0.0006837606837607479,-0.0010256410256409554,True,False,mixing::neighbor_fraction__M2 Mac__to__CD8^+T;mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T;point-pattern::CD8^+T_L_r100;mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T;mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,control,1,4,608,158,0.9751602564102564,0.9762820512820514,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},,,43,15,False,False,False,0.0032051282051281937,-0.0001602564102564097,True,False,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex};mixing::shannon_entropy_global;mixing::neighbor_fraction__CD56^+NK__to__DCs;mixing::neighbor_fraction__DCs__to__CD8^+PD1^+T_{Ex};mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
