task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_high,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.22082952271038508,0.06345973286203085,0.15736978984835423,0.7480833120368006
motif_tumor_high,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.19876268661220026,0.06848560763883114,0.1302770789733691,0.6917286928188091
motif_tumor_high,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.10838567855455522,0.025229150466808084,0.08315652808774714,0.6229275811397904
motif_tumor_high,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.049434180876348655,0.009445307641002031,0.039988873235346625,0.5818984794275491
motif_tumor_high,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.017128486825863355,0.0073419640638322575,0.009786522762031097,0.5379464285714286
motif_tumor_high,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.058846588326815254,0.10571105613450972,-0.04686446780769447,0.4372923588039867
motif_tumor_high,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.008536346353660178,0.056153200158659815,-0.04761685380499964,0.45154373243036033
motif_tumor_high,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.13928992320064762,0.19792531177536862,-0.058635388574721004,0.42401929465882954
motif_tumor_high,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.10077558187818798,0.18580654581583197,-0.08503096393764399,0.3700525491949911
motif_tumor_high,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.0980110046613364,0.28044212344312547,-0.18243111878178908,0.2635845259391771
motif_cd8_high,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.18142392442939237,0.07221461097173287,0.1092093134576595,0.7663074059645933
motif_cd8_high,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.10477150685159489,0.040483407284155344,0.06428809956743956,0.7136216075834307
motif_cd8_high,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.08529752995722184,0.03722130856399444,0.0480762213932274,0.6195991862528676
motif_cd8_high,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.047473728654745084,0.0036013013596539597,0.043872427295091124,0.6888153053715967
motif_cd8_high,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.018750465227386888,0.001044878802220776,0.017705586425166113,0.5566333376617756
motif_cd8_high,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.13984509773381257,0.1524010395988301,-0.012555941865017545,0.5321733108254338
motif_cd8_high,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.025138748096722962,0.03864852854776511,-0.01350978045104215,0.48646496126044236
motif_cd8_high,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.16730593081590422,0.22101376275120402,-0.053707831935299793,0.43113448469895693
motif_cd8_high,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.10647992284775726,0.18695396825319516,-0.0804740454054379,0.4221529671471238
motif_cd8_high,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.1235131453854619,0.24641719386724817,-0.12290404848178627,0.34469116564948277
motif_cd8_clustering,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.21273693711437935,0.11857758153202734,0.09415935558235201,0.6385083713850837
motif_cd8_clustering,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.18491988531157266,0.13749139739276953,0.047428487918803136,0.5977051867462826
motif_cd8_clustering,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.0478835087613617,0.0010235156855279972,0.0468599930758337,0.5540042149631191
motif_cd8_clustering,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.026865100329940036,0.020049917746891573,0.006815182583048463,0.5319927408968504
motif_cd8_clustering,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.1547725504601067,0.16117671869977046,-0.006404168239663749,0.5182355696054326
motif_cd8_clustering,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.01875070434259878,0.04017452919185024,-0.02142382484925146,0.5561263318112634
motif_cd8_clustering,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.051342047626568965,0.07814370495247784,-0.026801657325908876,0.4146616321273855
motif_cd8_clustering,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.06541632456771182,0.09387358492867993,-0.028457260360968115,0.41868633649455567
motif_cd8_clustering,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.11713695338573309,0.15619679842786674,-0.039059845042133653,0.457704015923194
motif_cd8_clustering,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.12017598810002687,0.19329225144213835,-0.07311626334211148,0.38288842055965344
motif_tumor_stroma_mixing,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.20402308346832385,0.14761621155908963,0.05640687190923421,0.5177856199528026
motif_tumor_stroma_mixing,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.14495179305373732,0.09948589979827803,0.045465893255459286,0.4854402563380892
motif_tumor_stroma_mixing,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.02150171281288727,0.003672995165766734,0.017828717647120535,0.5356578406114009
motif_tumor_stroma_mixing,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.15256264512435147,0.1355228435846781,0.017039801539673383,0.4244517092814306
motif_tumor_stroma_mixing,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.07277597544091681,0.05733063401335108,0.015445341427565727,0.44798545108142634
motif_tumor_stroma_mixing,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.017688289009804726,0.022253976768340164,-0.004565687758535438,0.5233713654766287
motif_tumor_stroma_mixing,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.02977567841692406,0.04371384021199831,-0.01393816179507425,0.41482820584987773
motif_tumor_stroma_mixing,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.06410702864115062,0.10657712202518427,-0.04247009338403365,0.3368875706337007
motif_tumor_stroma_mixing,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.11256723479184892,0.1557014566161615,-0.04313422182431258,0.3744398016843837
motif_tumor_stroma_mixing,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.18004655924005494,0.22812502025715217,-0.04807846101709723,0.3476801835934963
motif_interface_immune,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.08594606239821931,0.029652914963267638,0.056293147434951674,0.6392675755145681
motif_interface_immune,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.16467120419994566,0.1128612728111528,0.05180993138879286,0.6570658469215004
motif_interface_immune,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.05020096078594499,0.013648756765001414,0.03655220402094358,0.5802147375924441
motif_interface_immune,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.01459560953435246,0.010791163048459002,0.0038044464858934587,0.5030629065312305
motif_interface_immune,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.1926185528990363,0.19111482091068496,0.0015037319883513256,0.5510558674151297
motif_interface_immune,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.08460624229970343,0.10384366441729795,-0.01923742211759452,0.5438830972110844
motif_interface_immune,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.11654737649455978,0.1388791310551642,-0.02233175456060442,0.5362982268555645
motif_interface_immune,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.13869250457175264,0.16891794388215736,-0.030225439310404723,0.47023968635837127
motif_interface_immune,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.018244268086144416,0.05723254947679806,-0.03898828139065365,0.4742715851376637
motif_interface_immune,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.13387721873034103,0.17305778267001662,-0.03918056393967559,0.4259890403635392
motif_immune_exclusion,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.20158252740670773,0.13613103693270914,0.06545149047399859,0.5745007680491552
motif_immune_exclusion,7,utag_domain::Tumor (p53+ EGFR+)__07,Tumor (p53+ EGFR+),Cytokeratin 5;Keratin 14 (KRT14);EGFR;Carbonic Anhydrase IX;p53,0.04683288351243663,0.016049865429816706,0.03078301808261992,0.5509275670565994
motif_immune_exclusion,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.08941099475650519,0.07147838610970696,0.01793260864679823,0.5664953326243649
motif_immune_exclusion,4,utag_domain::Tumor (Proliferative)__04,Tumor (Proliferative),Ki-67;Slug;p53;c-Myc;phospho-S6,0.020483716311982994,0.006042466194241725,0.014441250117741269,0.5142089093701997
motif_immune_exclusion,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.15427426391038884,0.14936247178486114,0.0049117921255276975,0.5251979203592106
motif_immune_exclusion,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.07005786777405264,0.06568549410935799,0.004372373664694645,0.4818622237977077
motif_immune_exclusion,5,utag_domain::B cell__05,B cell,CD45;CD3;CD20;CD44;CD68,0.021770452611057374,0.042549976199432,-0.020779523588374628,0.5145338532435307
motif_immune_exclusion,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.13788065394500476,0.16250156574658414,-0.02462091180157938,0.500118161408484
motif_immune_exclusion,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.13777679480238242,0.16248510944664354,-0.024708314644261126,0.43035861987474894
motif_immune_exclusion,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.11992984496948142,0.18771362804664662,-0.0677837830771652,0.3869195320808224
motif_t_tumor_mixing,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.2034720895621502,0.15150427530215416,0.051967814259996054,0.5560307461133908
motif_t_tumor_mixing,2,utag_domain::Stromal cells__02,Stromal cells,SMA;vWF;Vimentin;Fibronectin;CD68,0.08472936476320234,0.05953804966410438,0.025191315099097958,0.5437785355140727
motif_t_tumor_mixing,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.08598006507253342,0.062463976113457394,0.023516088959076024,0.5702479338842975
