task,kind,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,passed,verdict,top3_names,top3_any_hit,dataset
motif_tumor_high,control,364,344,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.15736978984835423,0.7480833120368006,True,False,True,True,True,pass_control,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020
motif_cd8_high,control,453,255,True,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.1092093134576595,0.7663074059645933,True,False,True,True,True,pass_control,utag_domain::Stromal cells__03;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020
motif_cd8_clustering,spatial,146,234,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.09415935558235201,0.6385083713850837,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Stromal cells__08;utag_domain::Tumor (Proliferative)__04,False,bc_jackson2020
motif_tumor_stroma_mixing,spatial,209,221,True,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.05640687190923421,0.5177856199528026,True,False,True,False,False,abundance_only_or_fail,utag_domain::Stromal cells__08;utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (Proliferative)__04,True,bc_jackson2020
motif_interface_immune,spatial,261,172,True,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.056293147434951674,0.6392675755145681,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__01;utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (p53+ EGFR+)__07,False,bc_jackson2020
motif_immune_exclusion,spatial,186,182,True,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.06545149047399859,0.5745007680491552,False,False,False,False,False,abundance_only_or_fail,utag_domain::Stromal cells__09;utag_domain::Tumor (p53+ EGFR+)__07;utag_domain::Stromal cells__02,False,bc_jackson2020
motif_t_tumor_mixing,spatial,242,143,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.051967814259996054,0.5560307461133908,True,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020
motif_cd8_tumor_contact,spatial,239,142,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.05423294231450848,0.5605810595792328,True,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020
motif_macrophage_tumor_niche,spatial,152,149,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.04728567355081509,0.5183680678205581,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01;utag_domain::Stromal cells__02,True,bc_jackson2020
motif_apc_t_contact,spatial,175,140,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.026934042426949523,0.5287755102040816,False,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (Proliferative)__04,False,bc_jackson2020
