task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_high,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.27720290672705683,0.10290146967151752,0.1743014370555393,0.759297245457936
motif_tumor_high,4,utag_domain::HR+ CK7-__04,HR+ CK7-,GATA3;HH3_total;ER;Sox9;Ki67,0.1866271723628434,0.0560368960689349,0.1305902762939085,0.7111060791731045
motif_tumor_high,0,utag_domain::HR+ CK7-__00,HR+ CK7-,ER;panCK;CK8_18;Beta_catenin;E_cadherin,0.08129621082431097,0.029856570332201682,0.05143964049210929,0.5898156534711493
motif_tumor_high,3,utag_domain::HR- CK7+__03,HR- CK7+,CK7;CK19;panCK;CK8_18;pmTOR,0.08758626767187269,0.04976688798455537,0.03781937968731732,0.579719217859236
motif_tumor_high,8,utag_domain::HR+ CK7-__08,HR+ CK7-,c_Myc;Twist;Beta_catenin;EpCAM;E_cadherin,0.03421265638559888,0.00918534504485875,0.02502731134074013,0.5240622835526666
motif_tumor_high,6,utag_domain::HR- CK7+__06,HR- CK7+,CK14;CK5;EGFR;CAIX;Sox9,0.030789057837032032,0.01058362186465223,0.020205435972379802,0.5212984176034952
motif_tumor_high,7,utag_domain::HR+ CK7-__07,HR+ CK7-,Slug;c_PARP_c_Casp3;p53;vWF_CD31;c_Myc,0.04087950739365426,0.04855533486820618,-0.007675827474551922,0.49647690340455
motif_tumor_high,2,utag_domain::T cells__02,T cells,CD3;CD45;CD20;CD44;Vimentin,0.005706513084972121,0.06985003145715303,-0.06414351837218091,0.3494392349086259
motif_tumor_high,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.07236393110908951,0.21285306165432666,-0.14048913054523715,0.26295354041238217
motif_tumor_high,5,utag_domain::Fibroblasts__05,Fibroblasts,Fibronectin;DNA2;DNA1;SMA;Vimentin,0.18333577660356934,0.41041078105359363,-0.2270750044500243,0.2674423251105546
motif_cd8_high,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.19513578998518075,0.09008120277823543,0.10505458720694531,0.7087551281368214
motif_cd8_high,2,utag_domain::T cells__02,T cells,CD3;CD45;CD20;CD44;Vimentin,0.07490536131826375,0.0006511832238614044,0.07425417809440235,0.7757805423837179
motif_cd8_high,5,utag_domain::Fibroblasts__05,Fibroblasts,Fibronectin;DNA2;DNA1;SMA;Vimentin,0.33280361290091093,0.26094294475625207,0.07186066814465886,0.5666058394160585
motif_cd8_high,7,utag_domain::HR+ CK7-__07,HR+ CK7-,Slug;c_PARP_c_Casp3;p53;vWF_CD31;c_Myc,0.05865905477579809,0.03077578748606235,0.02788326728973574,0.5955498428259364
motif_cd8_high,8,utag_domain::HR+ CK7-__08,HR+ CK7-,c_Myc;Twist;Beta_catenin;EpCAM;E_cadherin,0.016574331125358815,0.02682367030509882,-0.010249339179740004,0.509223986360488
motif_cd8_high,6,utag_domain::HR- CK7+__06,HR- CK7+,CK14;CK5;EGFR;CAIX;Sox9,0.015492715395867362,0.025879964305816898,-0.010387248909949536,0.48586765411050137
motif_cd8_high,0,utag_domain::HR+ CK7-__00,HR+ CK7-,ER;panCK;CK8_18;Beta_catenin;E_cadherin,0.03790661501658329,0.07324616613992936,-0.03533955112334607,0.4457949278064894
motif_cd8_high,3,utag_domain::HR- CK7+__03,HR- CK7+,CK7;CK19;panCK;CK8_18;pmTOR,0.048122184451854656,0.08923097120457342,-0.041108786752718764,0.43996749960040493
