domain,n_cells,majority,majority_frac,name,top_markers,top_marker_z,frac__tumor,frac__t_cell,frac__cd8,frac__b_cell,frac__macrophage,frac__apc,frac__vessel,frac__stroma,frac__immune,enrich__tumor,enrich__t_cell,enrich__cd8,enrich__b_cell,enrich__macrophage,enrich__apc,enrich__vessel,enrich__stroma,enrich__immune
0,30888,HR+ CK7-,0.7278554778554779,utag_domain::HR+ CK7-__00,ER;panCK;CK8_18;Beta_catenin;E_cadherin,1.815;1.773;1.768;1.733;1.651,0.9693732193732194,0.001036001036001036,0.001036001036001036,0.0,0.010003885003885004,0.010003885003885004,0.002331002331002331,0.017255892255892257,0.01103988603988604,1.5903526146208578,0.022252411867452155,0.022252411867452155,0.0,0.3062590401814595,0.3062590401814595,0.15582578469176409,0.05979042187395379,0.12703957113895004
1,58770,Myofibroblasts,0.34184107537859454,utag_domain::Myofibroblasts__01,Vimentin;Fibronectin;SMA;CD44;CD68,1.148;0.989;0.982;0.649;0.484,0.16617321762804152,0.07932618683001531,0.07932618683001531,0.005632125233962906,0.08072145652543815,0.08072145652543815,0.066547558278033,0.6015994555045091,0.16567976858941638,0.2726235941463205,1.703858316618705,1.703858316618705,0.7333898238170141,2.4712075146734938,2.4712075146734938,4.448655134350024,2.0844987155893424,1.9065311609156075
2,19738,T cells,0.4449285641909008,utag_domain::T cells__02,CD3;CD45;CD20;CD44;Vimentin,3.547;3.458;1.694;1.625;0.940,0.08658425372378153,0.4449285641909008,0.4449285641909008,0.10553247542810822,0.1728645252811835,0.1728645252811835,0.015503090485358192,0.17458709089066773,0.7233255649001925,0.14205002938253844,9.55668316721659,9.55668316721659,13.741960689097736,5.2920763856720825,5.2920763856720825,1.0363701519721673,0.6049316757025373,8.3235433071289
3,33851,HR- CK7+,0.3951729638710821,utag_domain::HR- CK7+__03,CK7;CK19;panCK;CK8_18;pmTOR,1.938;1.704;1.327;1.091;0.744,0.911051372189891,0.0027177926796844998,0.0027177926796844998,2.9541224779179344e-05,0.007739800892144988,0.007739800892144988,0.0035449469735015214,0.07491654603999882,0.010487134796608667,1.4946698576560051,0.05837585096645161,0.05837585096645161,0.003846724413281013,0.23694634549511417,0.23694634549511417,0.23697708770588802,0.25958042775455425,0.1206788822116571
4,73536,HR+ CK7-,0.5672323759791122,utag_domain::HR+ CK7-__04,GATA3;HH3_total;ER;Sox9;Ki67,0.855;0.850;0.733;0.670;0.641,0.8900810487380331,0.009342362924281984,0.009342362924281984,0.0002039817232375979,0.017161662315056572,0.017161662315056572,0.005249129677980853,0.07796181462140993,0.026708006962576154,1.4602659685608732,0.20066592636701722,0.20066592636701722,0.02656157557807922,0.5253873096788316,0.5253873096788316,0.35090044318766295,0.2701320637118252,0.30733775133577285
5,115295,Fibroblasts,0.28525087818205475,utag_domain::Fibroblasts__05,Fibronectin;DNA2;DNA1;SMA;Vimentin,-0.048;-0.079;-0.094;-0.122;-0.139,0.2958411032568628,0.05551845266490307,0.05551845266490307,0.01036471659655666,0.0063662778090983994,0.0063662778090983994,0.009618803937724966,0.622290645734854,0.07224944707055814,0.48535658162816075,1.1924886481887982,1.1924886481887982,1.349646423489317,0.19489729545929646,0.19489729545929646,0.6430099410272637,2.1561921971318063,0.8313979635033191
6,10474,HR- CK7+,0.2250334160779072,utag_domain::HR- CK7+__06,CK14;CK5;EGFR;CAIX;Sox9,3.772;2.837;2.564;2.106;1.324,0.8644261982050793,0.0042963528737827,0.0042963528737827,0.0003818980332251289,0.016230666412067978,0.016230666412067978,0.007256062631277449,0.1074088218445675,0.020908917319075807,1.418176649599523,0.09228196725010679,0.09228196725010679,0.04972903116821676,0.4968857913635541,0.4968857913635541,0.48506242926200843,0.37216381951377503,0.2406057344793547
7,24977,HR+ CK7-,0.12523521639908716,utag_domain::HR+ CK7-__07,Slug;c_PARP_c_Casp3;p53;vWF_CD31;c_Myc,1.432;1.417;1.416;1.354;1.285,0.5935460623773872,0.03871561836889939,0.03871561836889939,0.0008007366777435241,0.15402169996396686,0.15402169996396686,0.038835728870560915,0.17408015374144212,0.19353805501060975,0.9737710030922179,0.8315782086215827,0.8315782086215827,0.1042683013284026,4.7152219342547985,4.7152219342547985,2.5961397999673212,0.6031751750495252,2.227105553334877
8,13821,HR+ CK7-,0.6161638086969105,utag_domain::HR+ CK7-__08,c_Myc;Twist;Beta_catenin;EpCAM;E_cadherin,3.473;3.103;3.035;2.819;2.806,0.9531148252658997,0.0021706099413935317,0.0021706099413935317,0.0,0.03017147818537009,0.03017147818537009,0.0017364879531148252,0.012806598654221837,0.03234208812676362,1.5636791115145614,0.046622836021398294,0.046622836021398294,0.0,0.9236699488567517,0.9236699488567517,0.11608293749992063,0.04437394050399624,0.3721709617760321
9,98494,HR+ CK7-,0.35495563181513595,utag_domain::HR+ CK7-__09,GATA3;DNA2;DNA1;PR;CK8_18,0.358;0.232;0.230;0.220;0.154,0.848884195991634,0.006518163542956932,0.006518163542956932,0.0003655044977359027,0.005249050703596158,0.005249050703596158,0.0020711921538367818,0.1369118931102402,0.012132718744288992,1.3926784582294565,0.140004550900028,0.140004550900028,0.0475943392704441,0.1606944931616942,0.1606944931616942,0.13845766618356878,0.4743898331787336,0.13961515367597802
